Received data from command line argument, length: 874
<<<<<<<<<<<<<<<<  ID: 3d0c172e8f96  <<<<<<<<<<<<<<<<
INFO [ParseReceivedData][1825] new: xmin: -12
INFO [ParseReceivedData][1838] plan_cnt: 0
INFO [ParseReceivedData][1840] xybounds: xmin: -12  xmax: 4  ymin: -6  ymax: 8
INFO [ParseReceivedData][1841] radarnums: 0  sidenums:0
INFO [ParseReceivedData][1842] endpos_correct_flag: 0
INFO [ParseReceivedData][1875] oblslot[6]: -1.000, 2.000
INFO [ParseReceivedData][1875] oblslot[6]: -1.000, 1.000
INFO [ParseReceivedData][1875] oblslot[6]: 4.960, 1.000
INFO [ParseReceivedData][1875] oblslot[6]: 4.960, -2.767
INFO [ParseReceivedData][1875] oblslot[6]: 1.500, -2.767
INFO [ParseReceivedData][1875] oblslot[6]: 1.500, -3.267
INFO [ParseReceivedData][1990] slot_type: 2
INFO [ParseReceivedData][1991] target_dir: 0
INFO [ParseReceivedData][1992] start: 3.197 -1.283 3.142
INFO [ParseReceivedData][1993] end: -0.805 -4.685 2.111
INFO [KeyNodeCheckValid][1105] false rs start
INFO [HybridAStarPlan][2220] -------------------0-------------------
INFO [GenerateDpMap][194] map explored node: 3695
INFO [Plan][681] map time: 78ms
INFO [Plan][746] explored_node_num:9
INFO [Plan][747] heuristic time is 0.136ms.
INFO [Plan][748] reed shepp time is 0.212ms.
INFO [Plan][749] total time: 79ms
INFO [HybridAStarPlan][2243] 2_result: 1   (38)
INFO [HybridAStarPlan][2298] path send success 39
INFO [HybridAStarPlan][2315] traj: [0]	 x:3.197	 y:-1.283	 phi:180.001
INFO [HybridAStarPlan][2315] traj: [1]	 x:2.897	 y:-1.283	 phi:-174.150
INFO [HybridAStarPlan][2315] traj: [2]	 x:2.599	 y:-1.314	 phi:-177.869
INFO [HybridAStarPlan][2315] traj: [3]	 x:2.299	 y:-1.335	 phi:-173.892
INFO [HybridAStarPlan][2315] traj: [4]	 x:2.002	 y:-1.377	 phi:-169.914
INFO [HybridAStarPlan][2315] traj: [5]	 x:1.709	 y:-1.440	 phi:-165.937
INFO [HybridAStarPlan][2315] traj: [6]	 x:1.421	 y:-1.523	 phi:-161.959
INFO [HybridAStarPlan][2315] traj: [7]	 x:1.137	 y:-1.620	 phi:-161.022
INFO [HybridAStarPlan][2315] traj: [8]	 x:0.853	 y:-1.718	 phi:-161.022
INFO [HybridAStarPlan][2315] traj: [9]	 x:0.570	 y:-1.815	 phi:-161.022
INFO [HybridAStarPlan][2315] traj: [10]	 x:0.286	 y:-1.913	 phi:-161.022
INFO [HybridAStarPlan][2315] traj: [11]	 x:0.002	 y:-2.010	 phi:-161.022
INFO [HybridAStarPlan][2315] traj: [12]	 x:-0.281	 y:-2.108	 phi:-161.022
INFO [HybridAStarPlan][2315] traj: [13]	 x:-0.565	 y:-2.205	 phi:-161.022
INFO [HybridAStarPlan][2315] traj: [14]	 x:-0.849	 y:-2.303	 phi:-161.022
INFO [HybridAStarPlan][2315] traj: [15]	 x:-1.133	 y:-2.401	 phi:-161.022
INFO [HybridAStarPlan][2315] traj: [16]	 x:-1.417	 y:-2.496	 phi:-162.912
INFO [HybridAStarPlan][2315] traj: [17]	 x:-1.707	 y:-2.574	 phi:-166.889
INFO [HybridAStarPlan][2315] traj: [18]	 x:-2.001	 y:-2.632	 phi:-170.866
INFO [HybridAStarPlan][2315] traj: [19]	 x:-2.298	 y:-2.669	 phi:-174.844
INFO [HybridAStarPlan][2315] traj: [20]	 x:-2.598	 y:-2.686	 phi:-178.821
INFO [HybridAStarPlan][2315] traj: [21]	 x:-2.898	 y:-2.682	 phi:177.202
INFO [HybridAStarPlan][2315] traj: [22]	 x:-3.197	 y:-2.657	 phi:173.225
INFO [HybridAStarPlan][2315] traj: [23]	 x:-3.493	 y:-2.611	 phi:169.247
INFO [HybridAStarPlan][2315] traj: [24]	 x:-3.693	 y:-2.568	 phi:166.542
INFO [HybridAStarPlan][2315] traj: [25]	 x:-3.403	 y:-2.647	 phi:162.823
INFO [HybridAStarPlan][2315] traj: [26]	 x:-3.120	 y:-2.745	 phi:159.104
INFO [HybridAStarPlan][2315] traj: [27]	 x:-2.843	 y:-2.861	 phi:155.385
INFO [HybridAStarPlan][2315] traj: [28]	 x:-2.575	 y:-2.995	 phi:151.665
INFO [HybridAStarPlan][2315] traj: [29]	 x:-2.315	 y:-3.146	 phi:147.946
INFO [HybridAStarPlan][2315] traj: [30]	 x:-2.067	 y:-3.313	 phi:144.227
INFO [HybridAStarPlan][2315] traj: [31]	 x:-1.829	 y:-3.496	 phi:140.508
INFO [HybridAStarPlan][2315] traj: [32]	 x:-1.604	 y:-3.694	 phi:136.789
INFO [HybridAStarPlan][2315] traj: [33]	 x:-1.392	 y:-3.907	 phi:133.069
INFO [HybridAStarPlan][2315] traj: [34]	 x:-1.194	 y:-4.132	 phi:129.350
INFO [HybridAStarPlan][2315] traj: [35]	 x:-1.012	 y:-4.370	 phi:125.631
INFO [HybridAStarPlan][2315] traj: [36]	 x:-0.845	 y:-4.620	 phi:121.912
INFO [HybridAStarPlan][2315] traj: [37]	 x:-0.805	 y:-4.685	 phi:120.963

