Received data from command line argument, length: 614
<<<<<<<<<<<<<<<<  ID: a3899b268b07  <<<<<<<<<<<<<<<<
INFO [ParseReceivedData][1838] plan_cnt: 1
INFO [ParseReceivedData][1840] xybounds: xmin: -8  xmax: 4  ymin: -4  ymax: 8
INFO [ParseReceivedData][1841] radarnums: 0  sidenums:0
INFO [ParseReceivedData][1842] endpos_correct_flag: 0
INFO [ParseReceivedData][1875] oblslot[6]: -1.000, 1.964
INFO [ParseReceivedData][1875] oblslot[6]: -1.000, 0.964
INFO [ParseReceivedData][1875] oblslot[6]: 4.960, 0.964
INFO [ParseReceivedData][1875] oblslot[6]: 4.960, -3.559
INFO [ParseReceivedData][1875] oblslot[6]: 1.514, -3.559
INFO [ParseReceivedData][1875] oblslot[6]: 1.514, -4.059
INFO [ParseReceivedData][1990] slot_type: 2
INFO [ParseReceivedData][1991] target_dir: 1
INFO [ParseReceivedData][1992] start: 3.197 -1.263 3.152
INFO [ParseReceivedData][1993] end: -5.280 2.774 2.112
INFO [KeyNodeCheckValid][1105] false rs start
INFO [HybridAStarPlan][2220] -------------------0-------------------
INFO [GenerateDpMap][194] map explored node: 2115
INFO [Plan][681] map time: 37ms
INFO [Plan][746] explored_node_num:83
INFO [Plan][747] heuristic time is 1.352ms.
INFO [Plan][748] reed shepp time is 1.040ms.
INFO [Plan][749] total time: 43ms
INFO [HybridAStarPlan][2243] 2_result: 1   (35)
INFO [HybridAStarPlan][2298] path send success 35
INFO [HybridAStarPlan][2315] traj: [0]	 x:3.197	 y:-1.263	 phi:180.625
INFO [HybridAStarPlan][2315] traj: [1]	 x:2.897	 y:-1.266	 phi:176.906
INFO [HybridAStarPlan][2315] traj: [2]	 x:2.597	 y:-1.250	 phi:176.233
INFO [HybridAStarPlan][2315] traj: [3]	 x:2.298	 y:-1.230	 phi:175.560
INFO [HybridAStarPlan][2315] traj: [4]	 x:1.999	 y:-1.207	 phi:177.644
INFO [HybridAStarPlan][2315] traj: [5]	 x:1.699	 y:-1.195	 phi:-176.506
INFO [HybridAStarPlan][2315] traj: [6]	 x:1.400	 y:-1.213	 phi:-170.656
INFO [HybridAStarPlan][2315] traj: [7]	 x:1.102	 y:-1.252	 phi:-174.376
INFO [HybridAStarPlan][2315] traj: [8]	 x:0.803	 y:-1.272	 phi:-178.095
INFO [HybridAStarPlan][2315] traj: [9]	 x:0.503	 y:-1.272	 phi:178.186
INFO [HybridAStarPlan][2315] traj: [10]	 x:0.204	 y:-1.253	 phi:174.467
INFO [HybridAStarPlan][2315] traj: [11]	 x:-0.094	 y:-1.214	 phi:170.748
INFO [HybridAStarPlan][2315] traj: [12]	 x:-0.388	 y:-1.156	 phi:167.029
INFO [HybridAStarPlan][2315] traj: [13]	 x:-0.678	 y:-1.080	 phi:163.310
INFO [HybridAStarPlan][2315] traj: [14]	 x:-0.963	 y:-0.984	 phi:159.590
INFO [HybridAStarPlan][2315] traj: [15]	 x:-1.240	 y:-0.870	 phi:155.871
INFO [HybridAStarPlan][2315] traj: [16]	 x:-1.510	 y:-0.739	 phi:152.152
INFO [HybridAStarPlan][2315] traj: [17]	 x:-1.770	 y:-0.590	 phi:148.433
INFO [HybridAStarPlan][2315] traj: [18]	 x:-2.021	 y:-0.425	 phi:144.714
INFO [HybridAStarPlan][2315] traj: [19]	 x:-2.260	 y:-0.244	 phi:140.994
INFO [HybridAStarPlan][2315] traj: [20]	 x:-2.487	 y:-0.048	 phi:137.428
INFO [HybridAStarPlan][2315] traj: [21]	 x:-2.707	 y:0.155	 phi:137.428
INFO [HybridAStarPlan][2315] traj: [22]	 x:-2.928	 y:0.358	 phi:137.428
INFO [HybridAStarPlan][2315] traj: [23]	 x:-3.149	 y:0.561	 phi:137.428
INFO [HybridAStarPlan][2315] traj: [24]	 x:-3.370	 y:0.764	 phi:137.428
INFO [HybridAStarPlan][2315] traj: [25]	 x:-3.591	 y:0.967	 phi:137.428
INFO [HybridAStarPlan][2315] traj: [26]	 x:-3.812	 y:1.170	 phi:137.428
INFO [HybridAStarPlan][2315] traj: [27]	 x:-4.033	 y:1.373	 phi:137.428
INFO [HybridAStarPlan][2315] traj: [28]	 x:-4.254	 y:1.576	 phi:137.428
INFO [HybridAStarPlan][2315] traj: [29]	 x:-4.475	 y:1.779	 phi:136.927
INFO [HybridAStarPlan][2315] traj: [30]	 x:-4.687	 y:1.991	 phi:133.208
INFO [HybridAStarPlan][2315] traj: [31]	 x:-4.885	 y:2.216	 phi:129.489
INFO [HybridAStarPlan][2315] traj: [32]	 x:-5.068	 y:2.454	 phi:125.770
INFO [HybridAStarPlan][2315] traj: [33]	 x:-5.236	 y:2.702	 phi:122.050
INFO [HybridAStarPlan][2315] traj: [34]	 x:-5.280	 y:2.774	 phi:121.003

