Received data from command line argument, length: 920
<<<<<<<<<<<<<<<<  ID: 51da547a0f14  <<<<<<<<<<<<<<<<
INFO [ParseReceivedData][1838] plan_cnt: 0
INFO [ParseReceivedData][1840] xybounds: xmin: -8  xmax: 4  ymin: -5  ymax: 8
INFO [ParseReceivedData][1841] radarnums: 0  sidenums:0
INFO [ParseReceivedData][1842] endpos_correct_flag: 0
INFO [ParseReceivedData][1875] oblslot[6]: 0.200, 1.200
INFO [ParseReceivedData][1875] oblslot[6]: 0.200, 0.200
INFO [ParseReceivedData][1875] oblslot[6]: 4.960, 0.200
INFO [ParseReceivedData][1875] oblslot[6]: 4.960, -4.455
INFO [ParseReceivedData][1875] oblslot[6]: 1.500, -4.454
INFO [ParseReceivedData][1875] oblslot[6]: 1.500, -4.954
INFO [ParseReceivedData][1990] slot_type: 2
INFO [ParseReceivedData][1991] target_dir: 0
INFO [ParseReceivedData][1992] start: 3.197 -1.076 3.142
INFO [ParseReceivedData][1993] end: -2.326 -3.029 1.515
INFO [KeyNodeCheckValid][1105] false rs start
INFO [HybridAStarPlan][2220] -------------------0-------------------
INFO [GenerateDpMap][194] map explored node: 2345
INFO [Plan][681] map time: 48ms
INFO [Plan][746] explored_node_num:0
INFO [Plan][747] heuristic time is 0.000ms.
INFO [Plan][748] reed shepp time is 0.000ms.
INFO [Plan][749] total time: 48ms
INFO [HybridAStarPlan][2243] 2_result: 1   (37)
INFO [HybridAStarPlan][2298] path send success 38
INFO [HybridAStarPlan][2315] traj: [0]	 x:3.197	 y:-1.076	 phi:180.001
INFO [HybridAStarPlan][2315] traj: [1]	 x:2.897	 y:-1.086	 phi:-176.022
INFO [HybridAStarPlan][2315] traj: [2]	 x:2.598	 y:-1.112	 phi:-174.853
INFO [HybridAStarPlan][2315] traj: [3]	 x:2.300	 y:-1.139	 phi:-174.853
INFO [HybridAStarPlan][2315] traj: [4]	 x:2.001	 y:-1.166	 phi:-174.853
INFO [HybridAStarPlan][2315] traj: [5]	 x:1.702	 y:-1.193	 phi:-174.853
INFO [HybridAStarPlan][2315] traj: [6]	 x:1.403	 y:-1.220	 phi:-174.853
INFO [HybridAStarPlan][2315] traj: [7]	 x:1.104	 y:-1.247	 phi:-174.853
INFO [HybridAStarPlan][2315] traj: [8]	 x:0.806	 y:-1.274	 phi:-174.853
INFO [HybridAStarPlan][2315] traj: [9]	 x:0.507	 y:-1.301	 phi:-174.853
INFO [HybridAStarPlan][2315] traj: [10]	 x:0.208	 y:-1.327	 phi:-175.996
INFO [HybridAStarPlan][2315] traj: [11]	 x:-0.092	 y:-1.337	 phi:-179.973
INFO [HybridAStarPlan][2315] traj: [12]	 x:-0.392	 y:-1.327	 phi:176.050
INFO [HybridAStarPlan][2315] traj: [13]	 x:-0.690	 y:-1.296	 phi:172.072
INFO [HybridAStarPlan][2315] traj: [14]	 x:-0.985	 y:-1.244	 phi:168.095
INFO [HybridAStarPlan][2315] traj: [15]	 x:-1.276	 y:-1.172	 phi:164.118
INFO [HybridAStarPlan][2315] traj: [16]	 x:-1.562	 y:-1.080	 phi:160.140
INFO [HybridAStarPlan][2315] traj: [17]	 x:-1.840	 y:-0.969	 phi:156.163
INFO [HybridAStarPlan][2315] traj: [18]	 x:-2.110	 y:-0.838	 phi:152.185
INFO [HybridAStarPlan][2315] traj: [19]	 x:-2.371	 y:-0.689	 phi:148.208
INFO [HybridAStarPlan][2315] traj: [20]	 x:-2.620	 y:-0.522	 phi:144.231
INFO [HybridAStarPlan][2315] traj: [21]	 x:-2.857	 y:-0.339	 phi:140.253
INFO [HybridAStarPlan][2315] traj: [22]	 x:-3.081	 y:-0.139	 phi:136.276
INFO [HybridAStarPlan][2315] traj: [23]	 x:-3.290	 y:0.076	 phi:132.299
INFO [HybridAStarPlan][2315] traj: [24]	 x:-3.402	 y:0.204	 phi:130.045
INFO [HybridAStarPlan][2315] traj: [25]	 x:-3.217	 y:-0.032	 phi:126.326
INFO [HybridAStarPlan][2315] traj: [26]	 x:-3.047	 y:-0.279	 phi:122.607
INFO [HybridAStarPlan][2315] traj: [27]	 x:-2.894	 y:-0.537	 phi:118.888
INFO [HybridAStarPlan][2315] traj: [28]	 x:-2.757	 y:-0.804	 phi:115.169
INFO [HybridAStarPlan][2315] traj: [29]	 x:-2.639	 y:-1.080	 phi:111.449
INFO [HybridAStarPlan][2315] traj: [30]	 x:-2.538	 y:-1.362	 phi:107.730
INFO [HybridAStarPlan][2315] traj: [31]	 x:-2.456	 y:-1.651	 phi:104.011
INFO [HybridAStarPlan][2315] traj: [32]	 x:-2.393	 y:-1.944	 phi:100.292
INFO [HybridAStarPlan][2315] traj: [33]	 x:-2.349	 y:-2.241	 phi:96.573
INFO [HybridAStarPlan][2315] traj: [34]	 x:-2.324	 y:-2.540	 phi:92.853
INFO [HybridAStarPlan][2315] traj: [35]	 x:-2.319	 y:-2.840	 phi:89.134
INFO [HybridAStarPlan][2315] traj: [36]	 x:-2.326	 y:-3.029	 phi:86.792

