Received data from command line argument, length: 921
<<<<<<<<<<<<<<<<  ID: a27737d6ccc5  <<<<<<<<<<<<<<<<
INFO [ParseReceivedData][1825] new: xmin: -12
INFO [ParseReceivedData][1838] plan_cnt: 0
INFO [ParseReceivedData][1840] xybounds: xmin: -12  xmax: 4  ymin: -6  ymax: 8
INFO [ParseReceivedData][1841] radarnums: 0  sidenums:0
INFO [ParseReceivedData][1842] endpos_correct_flag: 0
INFO [ParseReceivedData][1875] oblslot[6]: -1.000, 1.200
INFO [ParseReceivedData][1875] oblslot[6]: -1.000, 0.200
INFO [ParseReceivedData][1875] oblslot[6]: 5.072, 0.200
INFO [ParseReceivedData][1875] oblslot[6]: 5.072, -2.636
INFO [ParseReceivedData][1875] oblslot[6]: 1.153, -2.636
INFO [ParseReceivedData][1875] oblslot[6]: 1.153, -3.136
INFO [ParseReceivedData][1990] slot_type: 2
INFO [ParseReceivedData][1991] target_dir: 0
INFO [ParseReceivedData][1992] start: 3.197 -1.238 3.142
INFO [ParseReceivedData][1993] end: -1.347 -4.166 2.009
INFO [KeyNodeCheckValid][1105] false rs start
INFO [HybridAStarPlan][2220] -------------------0-------------------
INFO [GenerateDpMap][194] map explored node: 3695
INFO [Plan][681] map time: 83ms
INFO [Plan][746] explored_node_num:137
INFO [Plan][747] heuristic time is 2.232ms.
INFO [Plan][748] reed shepp time is 3.552ms.
INFO [Plan][749] total time: 96ms
INFO [HybridAStarPlan][2243] 2_result: 1   (41)
INFO [HybridAStarPlan][2298] path send success 42
INFO [HybridAStarPlan][2315] traj: [0]	 x:3.197	 y:-1.238	 phi:180.001
INFO [HybridAStarPlan][2315] traj: [1]	 x:2.897	 y:-1.238	 phi:-174.150
INFO [HybridAStarPlan][2315] traj: [2]	 x:2.599	 y:-1.269	 phi:-177.869
INFO [HybridAStarPlan][2315] traj: [3]	 x:2.299	 y:-1.280	 phi:178.412
INFO [HybridAStarPlan][2315] traj: [4]	 x:1.999	 y:-1.271	 phi:-179.504
INFO [HybridAStarPlan][2315] traj: [5]	 x:1.699	 y:-1.274	 phi:176.777
INFO [HybridAStarPlan][2315] traj: [6]	 x:1.399	 y:-1.257	 phi:173.057
INFO [HybridAStarPlan][2315] traj: [7]	 x:1.102	 y:-1.221	 phi:172.385
INFO [HybridAStarPlan][2315] traj: [8]	 x:0.803	 y:-1.191	 phi:176.285
INFO [HybridAStarPlan][2315] traj: [9]	 x:0.504	 y:-1.172	 phi:176.285
INFO [HybridAStarPlan][2315] traj: [10]	 x:0.204	 y:-1.153	 phi:176.285
INFO [HybridAStarPlan][2315] traj: [11]	 x:-0.095	 y:-1.133	 phi:176.285
INFO [HybridAStarPlan][2315] traj: [12]	 x:-0.394	 y:-1.114	 phi:176.285
INFO [HybridAStarPlan][2315] traj: [13]	 x:-0.694	 y:-1.094	 phi:176.285
INFO [HybridAStarPlan][2315] traj: [14]	 x:-0.993	 y:-1.075	 phi:176.285
INFO [HybridAStarPlan][2315] traj: [15]	 x:-1.293	 y:-1.055	 phi:176.285
INFO [HybridAStarPlan][2315] traj: [16]	 x:-1.592	 y:-1.036	 phi:176.285
INFO [HybridAStarPlan][2315] traj: [17]	 x:-1.891	 y:-1.017	 phi:176.285
INFO [HybridAStarPlan][2315] traj: [18]	 x:-2.190	 y:-0.988	 phi:172.573
INFO [HybridAStarPlan][2315] traj: [19]	 x:-2.486	 y:-0.939	 phi:168.595
INFO [HybridAStarPlan][2315] traj: [20]	 x:-2.778	 y:-0.870	 phi:164.618
INFO [HybridAStarPlan][2315] traj: [21]	 x:-3.064	 y:-0.780	 phi:160.641
INFO [HybridAStarPlan][2315] traj: [22]	 x:-3.343	 y:-0.671	 phi:156.663
INFO [HybridAStarPlan][2315] traj: [23]	 x:-3.614	 y:-0.542	 phi:152.686
INFO [HybridAStarPlan][2315] traj: [24]	 x:-3.807	 y:-0.437	 phi:149.773
INFO [HybridAStarPlan][2315] traj: [25]	 x:-3.553	 y:-0.596	 phi:146.054
INFO [HybridAStarPlan][2315] traj: [26]	 x:-3.310	 y:-0.772	 phi:142.076
INFO [HybridAStarPlan][2315] traj: [27]	 x:-3.080	 y:-0.965	 phi:138.099
INFO [HybridAStarPlan][2315] traj: [28]	 x:-2.864	 y:-1.172	 phi:134.121
INFO [HybridAStarPlan][2315] traj: [29]	 x:-2.662	 y:-1.395	 phi:130.144
INFO [HybridAStarPlan][2315] traj: [30]	 x:-2.477	 y:-1.631	 phi:126.167
INFO [HybridAStarPlan][2315] traj: [31]	 x:-2.309	 y:-1.879	 phi:122.189
INFO [HybridAStarPlan][2315] traj: [32]	 x:-2.158	 y:-2.138	 phi:118.212
INFO [HybridAStarPlan][2315] traj: [33]	 x:-2.025	 y:-2.407	 phi:114.235
INFO [HybridAStarPlan][2315] traj: [34]	 x:-1.912	 y:-2.685	 phi:110.315
INFO [HybridAStarPlan][2315] traj: [35]	 x:-1.807	 y:-2.966	 phi:110.315
INFO [HybridAStarPlan][2315] traj: [36]	 x:-1.703	 y:-3.247	 phi:110.315
INFO [HybridAStarPlan][2315] traj: [37]	 x:-1.599	 y:-3.529	 phi:110.315
INFO [HybridAStarPlan][2315] traj: [38]	 x:-1.495	 y:-3.810	 phi:110.315
INFO [HybridAStarPlan][2315] traj: [39]	 x:-1.383	 y:-4.088	 phi:113.954
INFO [HybridAStarPlan][2315] traj: [40]	 x:-1.347	 y:-4.166	 phi:115.090

