Received data from command line argument, length: 830
<<<<<<<<<<<<<<<<  ID: 6dba3d0c9efa  <<<<<<<<<<<<<<<<
INFO [ParseReceivedData][1825] new: xmin: -12
INFO [ParseReceivedData][1838] plan_cnt: 0
INFO [ParseReceivedData][1840] xybounds: xmin: -12  xmax: 4  ymin: -6  ymax: 8
INFO [ParseReceivedData][1841] radarnums: 0  sidenums:0
INFO [ParseReceivedData][1842] endpos_correct_flag: 0
INFO [ParseReceivedData][1875] oblslot[6]: -1.000, 1.200
INFO [ParseReceivedData][1875] oblslot[6]: -1.000, 0.200
INFO [ParseReceivedData][1875] oblslot[6]: 4.960, 0.200
INFO [ParseReceivedData][1875] oblslot[6]: 4.960, -4.800
INFO [ParseReceivedData][1875] oblslot[6]: 1.500, -4.801
INFO [ParseReceivedData][1875] oblslot[6]: 1.500, -5.301
INFO [ParseReceivedData][1990] slot_type: 2
INFO [ParseReceivedData][1991] target_dir: 0
INFO [ParseReceivedData][1992] start: 3.197 -1.249 3.142
INFO [ParseReceivedData][1993] end: -2.025 -4.131 2.067
INFO [KeyNodeCheckValid][1105] false rs start
INFO [HybridAStarPlan][2220] -------------------0-------------------
INFO [GenerateDpMap][194] map explored node: 3695
INFO [Plan][681] map time: 67ms
INFO [Plan][746] explored_node_num:1089
INFO [Plan][747] heuristic time is 17.348ms.
INFO [Plan][748] reed shepp time is 23.798ms.
INFO [Plan][749] total time: 162ms
INFO [HybridAStarPlan][2243] 2_result: 1   (42)
INFO [HybridAStarPlan][2298] path send success 43
INFO [HybridAStarPlan][2315] traj: [0]	 x:3.197	 y:-1.249	 phi:180.001
INFO [HybridAStarPlan][2315] traj: [1]	 x:2.897	 y:-1.249	 phi:-174.150
INFO [HybridAStarPlan][2315] traj: [2]	 x:2.599	 y:-1.280	 phi:-177.869
INFO [HybridAStarPlan][2315] traj: [3]	 x:2.299	 y:-1.291	 phi:-178.542
INFO [HybridAStarPlan][2315] traj: [4]	 x:1.999	 y:-1.298	 phi:177.739
INFO [HybridAStarPlan][2315] traj: [5]	 x:1.699	 y:-1.287	 phi:-176.411
INFO [HybridAStarPlan][2315] traj: [6]	 x:1.400	 y:-1.305	 phi:179.870
INFO [HybridAStarPlan][2315] traj: [7]	 x:1.100	 y:-1.305	 phi:176.151
INFO [HybridAStarPlan][2315] traj: [8]	 x:0.800	 y:-1.284	 phi:175.478
INFO [HybridAStarPlan][2315] traj: [9]	 x:0.501	 y:-1.261	 phi:171.759
INFO [HybridAStarPlan][2315] traj: [10]	 x:0.203	 y:-1.228	 phi:175.736
INFO [HybridAStarPlan][2315] traj: [11]	 x:-0.097	 y:-1.216	 phi:179.714
INFO [HybridAStarPlan][2315] traj: [12]	 x:-0.396	 y:-1.225	 phi:-176.309
INFO [HybridAStarPlan][2315] traj: [13]	 x:-0.695	 y:-1.250	 phi:-175.039
INFO [HybridAStarPlan][2315] traj: [14]	 x:-0.994	 y:-1.276	 phi:-175.039
INFO [HybridAStarPlan][2315] traj: [15]	 x:-1.293	 y:-1.302	 phi:-175.039
INFO [HybridAStarPlan][2315] traj: [16]	 x:-1.592	 y:-1.328	 phi:-175.039
INFO [HybridAStarPlan][2315] traj: [17]	 x:-1.891	 y:-1.354	 phi:-175.039
INFO [HybridAStarPlan][2315] traj: [18]	 x:-2.190	 y:-1.375	 phi:-177.617
INFO [HybridAStarPlan][2315] traj: [19]	 x:-2.490	 y:-1.377	 phi:178.406
INFO [HybridAStarPlan][2315] traj: [20]	 x:-2.789	 y:-1.359	 phi:174.429
INFO [HybridAStarPlan][2315] traj: [21]	 x:-3.087	 y:-1.319	 phi:170.451
INFO [HybridAStarPlan][2315] traj: [22]	 x:-3.381	 y:-1.259	 phi:166.474
INFO [HybridAStarPlan][2315] traj: [23]	 x:-3.670	 y:-1.179	 phi:162.496
INFO [HybridAStarPlan][2315] traj: [24]	 x:-3.952	 y:-1.079	 phi:158.519
INFO [HybridAStarPlan][2315] traj: [25]	 x:-4.227	 y:-0.960	 phi:154.542
INFO [HybridAStarPlan][2315] traj: [26]	 x:-4.474	 y:-0.832	 phi:150.856
INFO [HybridAStarPlan][2315] traj: [27]	 x:-4.217	 y:-0.987	 phi:147.137
INFO [HybridAStarPlan][2315] traj: [28]	 x:-3.971	 y:-1.158	 phi:143.160
INFO [HybridAStarPlan][2315] traj: [29]	 x:-3.737	 y:-1.346	 phi:139.182
INFO [HybridAStarPlan][2315] traj: [30]	 x:-3.517	 y:-1.550	 phi:135.205
INFO [HybridAStarPlan][2315] traj: [31]	 x:-3.312	 y:-1.768	 phi:131.228
INFO [HybridAStarPlan][2315] traj: [32]	 x:-3.122	 y:-2.001	 phi:127.250
INFO [HybridAStarPlan][2315] traj: [33]	 x:-2.949	 y:-2.246	 phi:123.273
INFO [HybridAStarPlan][2315] traj: [34]	 x:-2.793	 y:-2.502	 phi:119.295
INFO [HybridAStarPlan][2315] traj: [35]	 x:-2.656	 y:-2.768	 phi:115.318
INFO [HybridAStarPlan][2315] traj: [36]	 x:-2.531	 y:-3.041	 phi:114.396
INFO [HybridAStarPlan][2315] traj: [37]	 x:-2.407	 y:-3.315	 phi:114.396
INFO [HybridAStarPlan][2315] traj: [38]	 x:-2.284	 y:-3.588	 phi:114.396
INFO [HybridAStarPlan][2315] traj: [39]	 x:-2.160	 y:-3.861	 phi:114.428
INFO [HybridAStarPlan][2315] traj: [40]	 x:-2.026	 y:-4.130	 phi:118.405
INFO [HybridAStarPlan][2315] traj: [41]	 x:-2.025	 y:-4.131	 phi:118.430

