Received data from command line argument, length: 735
<<<<<<<<<<<<<<<<  ID: 6822b97fe78a  <<<<<<<<<<<<<<<<
INFO [ParseReceivedData][1838] plan_cnt: 0
INFO [ParseReceivedData][1840] xybounds: xmin: -8  xmax: 4  ymin: -5  ymax: 8
INFO [ParseReceivedData][1841] radarnums: 0  sidenums:0
INFO [ParseReceivedData][1842] endpos_correct_flag: 0
INFO [ParseReceivedData][1875] oblslot[6]: 0.200, 2.000
INFO [ParseReceivedData][1875] oblslot[6]: 0.200, 1.000
INFO [ParseReceivedData][1875] oblslot[6]: 4.960, 1.000
INFO [ParseReceivedData][1875] oblslot[6]: 4.960, -4.460
INFO [ParseReceivedData][1875] oblslot[6]: 1.500, -4.460
INFO [ParseReceivedData][1875] oblslot[6]: 1.500, -4.960
INFO [ParseReceivedData][1990] slot_type: 2
INFO [ParseReceivedData][1991] target_dir: 0
INFO [ParseReceivedData][1992] start: 3.197 -1.079 3.142
INFO [ParseReceivedData][1993] end: -2.168 -3.309 1.605
INFO [KeyNodeCheckValid][1105] false rs start
INFO [HybridAStarPlan][2220] -------------------0-------------------
INFO [GenerateDpMap][194] map explored node: 2345
INFO [Plan][681] map time: 46ms
INFO [Plan][746] explored_node_num:182
INFO [Plan][747] heuristic time is 2.760ms.
INFO [Plan][748] reed shepp time is 3.628ms.
INFO [Plan][749] total time: 61ms
INFO [HybridAStarPlan][2243] 2_result: 1   (44)
INFO [HybridAStarPlan][2298] path send success 46
INFO [HybridAStarPlan][2315] traj: [0]	 x:3.197	 y:-1.079	 phi:180.001
INFO [HybridAStarPlan][2315] traj: [1]	 x:2.897	 y:-1.079	 phi:-174.150
INFO [HybridAStarPlan][2315] traj: [2]	 x:2.599	 y:-1.110	 phi:-177.869
INFO [HybridAStarPlan][2315] traj: [3]	 x:2.299	 y:-1.121	 phi:-178.542
INFO [HybridAStarPlan][2315] traj: [4]	 x:1.999	 y:-1.128	 phi:-179.214
INFO [HybridAStarPlan][2315] traj: [5]	 x:1.699	 y:-1.132	 phi:-179.887
INFO [HybridAStarPlan][2315] traj: [6]	 x:1.399	 y:-1.133	 phi:-177.803
INFO [HybridAStarPlan][2315] traj: [7]	 x:1.099	 y:-1.145	 phi:-178.476
INFO [HybridAStarPlan][2315] traj: [8]	 x:0.799	 y:-1.153	 phi:-172.626
INFO [HybridAStarPlan][2315] traj: [9]	 x:0.502	 y:-1.191	 phi:-166.776
INFO [HybridAStarPlan][2315] traj: [10]	 x:0.210	 y:-1.260	 phi:-167.449
INFO [HybridAStarPlan][2315] traj: [11]	 x:-0.083	 y:-1.325	 phi:-161.599
INFO [HybridAStarPlan][2315] traj: [12]	 x:-0.371	 y:-1.410	 phi:-165.318
INFO [HybridAStarPlan][2315] traj: [13]	 x:-0.663	 y:-1.477	 phi:-169.038
INFO [HybridAStarPlan][2315] traj: [14]	 x:-0.959	 y:-1.524	 phi:-172.757
INFO [HybridAStarPlan][2315] traj: [15]	 x:-1.258	 y:-1.552	 phi:-176.476
INFO [HybridAStarPlan][2315] traj: [16]	 x:-1.558	 y:-1.561	 phi:179.805
