Received data from command line argument, length: 695
<<<<<<<<<<<<<<<<  ID: 6c737c2371a5  <<<<<<<<<<<<<<<<
INFO [ParseReceivedData][1838] plan_cnt: 0
INFO [ParseReceivedData][1840] xybounds: xmin: -9  xmax: 5  ymin: -7  ymax: 9
INFO [ParseReceivedData][1841] radarnums: 0  sidenums:0
INFO [ParseReceivedData][1842] endpos_correct_flag: 0
INFO [ParseReceivedData][1875] oblslot[6]: 0.200, 1.200
INFO [ParseReceivedData][1875] oblslot[6]: 0.200, 0.200
INFO [ParseReceivedData][1875] oblslot[6]: 4.960, 0.200
INFO [ParseReceivedData][1875] oblslot[6]: 4.960, -4.486
INFO [ParseReceivedData][1875] oblslot[6]: 0.200, -4.486
INFO [ParseReceivedData][1875] oblslot[6]: 0.200, -4.986
INFO [ParseReceivedData][1990] slot_type: 2
INFO [ParseReceivedData][1991] target_dir: 0
INFO [ParseReceivedData][1992] start: 3.197 -1.092 3.142
INFO [ParseReceivedData][1993] end: -1.883 -4.300 1.665
INFO [HybridAStarPlan][2220] -------------------1-------------------
INFO [RSCurveQuickCalTraj][1197] RS cal time: 0.484ms
INFO [HybridAStarPlan][2231] 1_result: 1   (43)
INFO [HybridAStarPlan][2298] path send success 44
INFO [HybridAStarPlan][2315] traj: [0]	 x:3.197	 y:-1.092	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [1]	 x:2.897	 y:-1.092	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [2]	 x:2.597	 y:-1.092	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [3]	 x:2.297	 y:-1.092	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [4]	 x:1.997	 y:-1.092	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [5]	 x:1.697	 y:-1.092	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [6]	 x:1.397	 y:-1.092	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [7]	 x:1.097	 y:-1.092	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [8]	 x:0.797	 y:-1.092	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [9]	 x:0.497	 y:-1.092	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [10]	 x:0.197	 y:-1.092	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [11]	 x:-0.103	 y:-1.092	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [12]	 x:-0.403	 y:-1.092	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [13]	 x:-0.703	 y:-1.092	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [14]	 x:-1.003	 y:-1.092	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [15]	 x:-1.303	 y:-1.092	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [16]	 x:-1.603	 y:-1.092	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [17]	 x:-1.903	 y:-1.092	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [18]	 x:-2.203	 y:-1.092	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [19]	 x:-2.503	 y:-1.089	 phi:178.054
INFO [HybridAStarPlan][2315] traj: [20]	 x:-2.802	 y:-1.069	 phi:174.334
INFO [HybridAStarPlan][2315] traj: [21]	 x:-3.100	 y:-1.030	 phi:170.615
INFO [HybridAStarPlan][2315] traj: [22]	 x:-3.394	 y:-0.972	 phi:166.896
INFO [HybridAStarPlan][2315] traj: [23]	 x:-3.684	 y:-0.894	 phi:163.177
INFO [HybridAStarPlan][2315] traj: [24]	 x:-3.968	 y:-0.798	 phi:159.458
INFO [HybridAStarPlan][2315] traj: [25]	 x:-4.245	 y:-0.684	 phi:155.738
INFO [HybridAStarPlan][2315] traj: [26]	 x:-4.516	 y:-0.554	 phi:154.785
INFO [HybridAStarPlan][2315] traj: [27]	 x:-4.248	 y:-0.691	 phi:151.066
INFO [HybridAStarPlan][2315] traj: [28]	 x:-3.991	 y:-0.844	 phi:147.347
INFO [HybridAStarPlan][2315] traj: [29]	 x:-3.744	 y:-1.014	 phi:143.627
INFO [HybridAStarPlan][2315] traj: [30]	 x:-3.508	 y:-1.200	 phi:139.908
INFO [HybridAStarPlan][2315] traj: [31]	 x:-3.285	 y:-1.400	 phi:136.189
INFO [HybridAStarPlan][2315] traj: [32]	 x:-3.075	 y:-1.615	 phi:132.470
INFO [HybridAStarPlan][2315] traj: [33]	 x:-2.880	 y:-1.843	 phi:128.751
INFO [HybridAStarPlan][2315] traj: [34]	 x:-2.700	 y:-2.083	 phi:125.031
INFO [HybridAStarPlan][2315] traj: [35]	 x:-2.536	 y:-2.334	 phi:121.312
INFO [HybridAStarPlan][2315] traj: [36]	 x:-2.388	 y:-2.595	 phi:117.593
INFO [HybridAStarPlan][2315] traj: [37]	 x:-2.258	 y:-2.865	 phi:113.874
INFO [HybridAStarPlan][2315] traj: [38]	 x:-2.146	 y:-3.143	 phi:110.155
INFO [HybridAStarPlan][2315] traj: [39]	 x:-2.052	 y:-3.428	 phi:106.435
INFO [HybridAStarPlan][2315] traj: [40]	 x:-1.976	 y:-3.718	 phi:102.716
INFO [HybridAStarPlan][2315] traj: [41]	 x:-1.920	 y:-4.013	 phi:98.997
INFO [HybridAStarPlan][2315] traj: [42]	 x:-1.883	 y:-4.300	 phi:95.409

