Received data from command line argument, length: 713
<<<<<<<<<<<<<<<<  ID: 96a0aa023d66  <<<<<<<<<<<<<<<<
INFO [ParseReceivedData][1838] plan_cnt: 0
INFO [ParseReceivedData][1840] xybounds: xmin: -9  xmax: 5  ymin: -5  ymax: 9
INFO [ParseReceivedData][1841] radarnums: 0  sidenums:0
INFO [ParseReceivedData][1842] endpos_correct_flag: 0
INFO [ParseReceivedData][1875] oblslot[6]: 0.200, 3.300
INFO [ParseReceivedData][1875] oblslot[6]: 0.200, 2.300
INFO [ParseReceivedData][1875] oblslot[6]: 4.960, 2.300
INFO [ParseReceivedData][1875] oblslot[6]: 4.960, -4.459
INFO [ParseReceivedData][1875] oblslot[6]: 0.200, -4.459
INFO [ParseReceivedData][1875] oblslot[6]: 0.200, -4.960
INFO [ParseReceivedData][1990] slot_type: 2
INFO [ParseReceivedData][1991] target_dir: 0
INFO [ParseReceivedData][1992] start: 3.197 -0.979 3.142
INFO [ParseReceivedData][1993] end: -1.938 -2.730 1.637
INFO [HybridAStarPlan][2220] -------------------1-------------------
INFO [RSCurveQuickCalTraj][1197] RS cal time: 0.527ms
INFO [HybridAStarPlan][2231] 1_result: 1   (50)
INFO [HybridAStarPlan][2298] path send success 51
INFO [HybridAStarPlan][2315] traj: [0]	 x:3.197	 y:-0.979	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [1]	 x:2.897	 y:-0.979	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [2]	 x:2.597	 y:-0.979	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [3]	 x:2.297	 y:-0.979	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [4]	 x:1.997	 y:-0.971	 phi:176.599
INFO [HybridAStarPlan][2315] traj: [5]	 x:1.698	 y:-0.943	 phi:172.880
INFO [HybridAStarPlan][2315] traj: [6]	 x:1.402	 y:-0.897	 phi:169.161
INFO [HybridAStarPlan][2315] traj: [7]	 x:1.110	 y:-0.831	 phi:165.441
INFO [HybridAStarPlan][2315] traj: [8]	 x:0.822	 y:-0.746	 phi:161.722
INFO [HybridAStarPlan][2315] traj: [9]	 x:0.540	 y:-0.643	 phi:158.003
INFO [HybridAStarPlan][2315] traj: [10]	 x:0.266	 y:-0.521	 phi:154.284
INFO [HybridAStarPlan][2315] traj: [11]	 x:0.000	 y:-0.382	 phi:150.565
INFO [HybridAStarPlan][2315] traj: [12]	 x:-0.256	 y:-0.227	 phi:146.845
INFO [HybridAStarPlan][2315] traj: [13]	 x:-0.502	 y:-0.054	 phi:143.126
INFO [HybridAStarPlan][2315] traj: [14]	 x:-0.736	 y:0.133	 phi:139.407
