Received data from command line argument, length: 885
<<<<<<<<<<<<<<<<  ID: 70a841172d5e  <<<<<<<<<<<<<<<<
INFO [ParseReceivedData][1825] new: xmin: -13
INFO [ParseReceivedData][1838] plan_cnt: 0
INFO [ParseReceivedData][1840] xybounds: xmin: -13  xmax: 5  ymin: -7  ymax: 9
INFO [ParseReceivedData][1841] radarnums: 0  sidenums:0
INFO [ParseReceivedData][1842] endpos_correct_flag: 0
INFO [ParseReceivedData][1875] oblslot[6]: -1.000, 1.200
INFO [ParseReceivedData][1875] oblslot[6]: -1.000, 0.200
INFO [ParseReceivedData][1875] oblslot[6]: 4.960, 0.200
INFO [ParseReceivedData][1875] oblslot[6]: 4.960, -3.022
INFO [ParseReceivedData][1875] oblslot[6]: 0.577, -3.022
INFO [ParseReceivedData][1875] oblslot[6]: 0.577, -3.522
INFO [ParseReceivedData][1990] slot_type: 2
INFO [ParseReceivedData][1991] target_dir: 0
INFO [ParseReceivedData][1992] start: 3.197 -1.255 3.142
INFO [ParseReceivedData][1993] end: -1.033 -4.369 2.024
INFO [HybridAStarPlan][2220] -------------------1-------------------
INFO [RSCurveQuickCalTraj][1197] RS cal time: 0.551ms
INFO [HybridAStarPlan][2231] 1_result: 1   (50)
INFO [HybridAStarPlan][2298] path send success 51
INFO [HybridAStarPlan][2315] traj: [0]	 x:3.197	 y:-1.255	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [1]	 x:2.897	 y:-1.255	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [2]	 x:2.597	 y:-1.255	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [3]	 x:2.297	 y:-1.255	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [4]	 x:1.997	 y:-1.255	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [5]	 x:1.697	 y:-1.255	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [6]	 x:1.397	 y:-1.255	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [7]	 x:1.097	 y:-1.255	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [8]	 x:0.797	 y:-1.255	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [9]	 x:0.497	 y:-1.255	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [10]	 x:0.197	 y:-1.253	 phi:178.219
INFO [HybridAStarPlan][2315] traj: [11]	 x:-0.102	 y:-1.234	 phi:174.500
INFO [HybridAStarPlan][2315] traj: [12]	 x:-0.400	 y:-1.195	 phi:170.781
INFO [HybridAStarPlan][2315] traj: [13]	 x:-0.694	 y:-1.138	 phi:167.062
INFO [HybridAStarPlan][2315] traj: [14]	 x:-0.984	 y:-1.061	 phi:163.343
INFO [HybridAStarPlan][2315] traj: [15]	 x:-1.269	 y:-0.966	 phi:159.623
INFO [HybridAStarPlan][2315] traj: [16]	 x:-1.546	 y:-0.852	 phi:155.904
INFO [HybridAStarPlan][2315] traj: [17]	 x:-1.816	 y:-0.721	 phi:152.185
INFO [HybridAStarPlan][2315] traj: [18]	 x:-2.077	 y:-0.573	 phi:148.466
INFO [HybridAStarPlan][2315] traj: [19]	 x:-2.327	 y:-0.407	 phi:144.747
INFO [HybridAStarPlan][2315] traj: [20]	 x:-2.566	 y:-0.226	 phi:141.027
INFO [HybridAStarPlan][2315] traj: [21]	 x:-2.793	 y:-0.030	 phi:137.308
INFO [HybridAStarPlan][2315] traj: [22]	 x:-3.007	 y:0.180	 phi:133.589
INFO [HybridAStarPlan][2315] traj: [23]	 x:-3.206	 y:0.404	 phi:129.870
INFO [HybridAStarPlan][2315] traj: [24]	 x:-3.391	 y:0.640	 phi:126.151
INFO [HybridAStarPlan][2315] traj: [25]	 x:-3.560	 y:0.888	 phi:122.431
INFO [HybridAStarPlan][2315] traj: [26]	 x:-3.713	 y:1.146	 phi:118.712
INFO [HybridAStarPlan][2315] traj: [27]	 x:-3.849	 y:1.414	 phi:115.961
INFO [HybridAStarPlan][2315] traj: [28]	 x:-3.717	 y:1.144	 phi:115.961
INFO [HybridAStarPlan][2315] traj: [29]	 x:-3.586	 y:0.874	 phi:115.961
INFO [HybridAStarPlan][2315] traj: [30]	 x:-3.455	 y:0.604	 phi:115.961
INFO [HybridAStarPlan][2315] traj: [31]	 x:-3.324	 y:0.335	 phi:115.961
INFO [HybridAStarPlan][2315] traj: [32]	 x:-3.192	 y:0.065	 phi:115.961
INFO [HybridAStarPlan][2315] traj: [33]	 x:-3.061	 y:-0.205	 phi:115.961
INFO [HybridAStarPlan][2315] traj: [34]	 x:-2.930	 y:-0.474	 phi:115.961
INFO [HybridAStarPlan][2315] traj: [35]	 x:-2.798	 y:-0.744	 phi:115.961
INFO [HybridAStarPlan][2315] traj: [36]	 x:-2.667	 y:-1.014	 phi:115.961
INFO [HybridAStarPlan][2315] traj: [37]	 x:-2.536	 y:-1.284	 phi:115.961
INFO [HybridAStarPlan][2315] traj: [38]	 x:-2.404	 y:-1.553	 phi:115.961
INFO [HybridAStarPlan][2315] traj: [39]	 x:-2.273	 y:-1.823	 phi:115.961
INFO [HybridAStarPlan][2315] traj: [40]	 x:-2.142	 y:-2.093	 phi:115.961
INFO [HybridAStarPlan][2315] traj: [41]	 x:-2.010	 y:-2.363	 phi:115.961
INFO [HybridAStarPlan][2315] traj: [42]	 x:-1.879	 y:-2.632	 phi:115.961
INFO [HybridAStarPlan][2315] traj: [43]	 x:-1.748	 y:-2.902	 phi:115.961
INFO [HybridAStarPlan][2315] traj: [44]	 x:-1.616	 y:-3.172	 phi:115.961
INFO [HybridAStarPlan][2315] traj: [45]	 x:-1.485	 y:-3.441	 phi:115.961
INFO [HybridAStarPlan][2315] traj: [46]	 x:-1.354	 y:-3.711	 phi:115.961
INFO [HybridAStarPlan][2315] traj: [47]	 x:-1.222	 y:-3.981	 phi:115.961
INFO [HybridAStarPlan][2315] traj: [48]	 x:-1.091	 y:-4.251	 phi:115.961
INFO [HybridAStarPlan][2315] traj: [49]	 x:-1.033	 y:-4.369	 phi:115.961

