Received data from command line argument, length: 939
<<<<<<<<<<<<<<<<  ID: 4160dff76a60  <<<<<<<<<<<<<<<<
INFO [ParseReceivedData][1838] plan_cnt: 0
INFO [ParseReceivedData][1840] xybounds: xmin: -9  xmax: 5  ymin: -5  ymax: 9
INFO [ParseReceivedData][1841] radarnums: 0  sidenums:0
INFO [ParseReceivedData][1842] endpos_correct_flag: 0
INFO [ParseReceivedData][1875] oblslot[6]: 0.801, 2.274
INFO [ParseReceivedData][1875] oblslot[6]: 0.801, 1.274
INFO [ParseReceivedData][1875] oblslot[6]: 4.960, 1.274
INFO [ParseReceivedData][1875] oblslot[6]: 4.960, -3.329
INFO [ParseReceivedData][1875] oblslot[6]: 1.500, -3.329
INFO [ParseReceivedData][1875] oblslot[6]: 1.500, -3.829
INFO [ParseReceivedData][1990] slot_type: 2
INFO [ParseReceivedData][1991] target_dir: 0
INFO [ParseReceivedData][1992] start: 3.197 -1.064 3.142
INFO [ParseReceivedData][1993] end: -2.970 -0.622 1.047
INFO [HybridAStarPlan][2220] -------------------1-------------------
INFO [RSCurveQuickCalTraj][1197] RS cal time: 0.501ms
INFO [HybridAStarPlan][2231] 1_result: 1   (40)
INFO [HybridAStarPlan][2298] path send success 41
INFO [HybridAStarPlan][2315] traj: [0]	 x:3.197	 y:-1.064	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [1]	 x:2.897	 y:-1.054	 phi:176.281
INFO [HybridAStarPlan][2315] traj: [2]	 x:2.599	 y:-1.025	 phi:172.562
INFO [HybridAStarPlan][2315] traj: [3]	 x:2.303	 y:-0.977	 phi:168.843
INFO [HybridAStarPlan][2315] traj: [4]	 x:2.010	 y:-0.909	 phi:165.124
INFO [HybridAStarPlan][2315] traj: [5]	 x:1.723	 y:-0.823	 phi:161.405
INFO [HybridAStarPlan][2315] traj: [6]	 x:1.442	 y:-0.718	 phi:157.685
INFO [HybridAStarPlan][2315] traj: [7]	 x:1.169	 y:-0.595	 phi:153.966
INFO [HybridAStarPlan][2315] traj: [8]	 x:0.903	 y:-0.455	 phi:150.247
INFO [HybridAStarPlan][2315] traj: [9]	 x:0.648	 y:-0.298	 phi:146.528
INFO [HybridAStarPlan][2315] traj: [10]	 x:0.403	 y:-0.124	 phi:142.809
INFO [HybridAStarPlan][2315] traj: [11]	 x:0.170	 y:0.065	 phi:139.089
INFO [HybridAStarPlan][2315] traj: [12]	 x:-0.050	 y:0.269	 phi:135.370
INFO [HybridAStarPlan][2315] traj: [13]	 x:-0.256	 y:0.486	 phi:131.651
INFO [HybridAStarPlan][2315] traj: [14]	 x:-0.448	 y:0.717	 phi:127.932
INFO [HybridAStarPlan][2315] traj: [15]	 x:-0.625	 y:0.959	 phi:124.213
INFO [HybridAStarPlan][2315] traj: [16]	 x:-0.785	 y:1.212	 phi:120.493
INFO [HybridAStarPlan][2315] traj: [17]	 x:-0.929	 y:1.476	 phi:116.774
INFO [HybridAStarPlan][2315] traj: [18]	 x:-1.056	 y:1.748	 phi:113.055
INFO [HybridAStarPlan][2315] traj: [19]	 x:-1.164	 y:2.027	 phi:109.336
INFO [HybridAStarPlan][2315] traj: [20]	 x:-1.254	 y:2.313	 phi:105.617
INFO [HybridAStarPlan][2315] traj: [21]	 x:-1.325	 y:2.605	 phi:101.897
INFO [HybridAStarPlan][2315] traj: [22]	 x:-1.378	 y:2.900	 phi:98.178
INFO [HybridAStarPlan][2315] traj: [23]	 x:-1.411	 y:3.198	 phi:94.459
INFO [HybridAStarPlan][2315] traj: [24]	 x:-1.425	 y:3.498	 phi:92.490
INFO [HybridAStarPlan][2315] traj: [25]	 x:-1.422	 y:3.198	 phi:88.771
INFO [HybridAStarPlan][2315] traj: [26]	 x:-1.438	 y:2.898	 phi:85.051
INFO [HybridAStarPlan][2315] traj: [27]	 x:-1.474	 y:2.601	 phi:81.332
INFO [HybridAStarPlan][2315] traj: [28]	 x:-1.529	 y:2.306	 phi:77.613
INFO [HybridAStarPlan][2315] traj: [29]	 x:-1.602	 y:2.015	 phi:73.894
INFO [HybridAStarPlan][2315] traj: [30]	 x:-1.695	 y:1.730	 phi:70.175
INFO [HybridAStarPlan][2315] traj: [31]	 x:-1.806	 y:1.451	 phi:66.455
INFO [HybridAStarPlan][2315] traj: [32]	 x:-1.934	 y:1.180	 phi:62.736
INFO [HybridAStarPlan][2315] traj: [33]	 x:-2.080	 y:0.918	 phi:59.972
INFO [HybridAStarPlan][2315] traj: [34]	 x:-2.230	 y:0.658	 phi:59.972
INFO [HybridAStarPlan][2315] traj: [35]	 x:-2.380	 y:0.398	 phi:59.972
INFO [HybridAStarPlan][2315] traj: [36]	 x:-2.530	 y:0.139	 phi:59.972
INFO [HybridAStarPlan][2315] traj: [37]	 x:-2.680	 y:-0.121	 phi:59.972
INFO [HybridAStarPlan][2315] traj: [38]	 x:-2.830	 y:-0.381	 phi:59.972
INFO [HybridAStarPlan][2315] traj: [39]	 x:-2.970	 y:-0.622	 phi:59.972

