Received data from command line argument, length: 577
<<<<<<<<<<<<<<<<  ID: 9414e686960c  <<<<<<<<<<<<<<<<
INFO [ParseReceivedData][1838] plan_cnt: 0
INFO [ParseReceivedData][1840] xybounds: xmin: -9  xmax: 5  ymin: -6  ymax: 9
INFO [ParseReceivedData][1841] radarnums: 0  sidenums:0
INFO [ParseReceivedData][1842] endpos_correct_flag: 0
INFO [ParseReceivedData][1875] oblslot[6]: 0.200, 3.300
INFO [ParseReceivedData][1875] oblslot[6]: 0.200, 2.300
INFO [ParseReceivedData][1875] oblslot[6]: 4.960, 2.300
INFO [ParseReceivedData][1875] oblslot[6]: 4.960, -4.474
INFO [ParseReceivedData][1875] oblslot[6]: 0.200, -4.474
INFO [ParseReceivedData][1875] oblslot[6]: 0.200, -4.974
INFO [ParseReceivedData][1990] slot_type: 2
INFO [ParseReceivedData][1991] target_dir: 0
INFO [ParseReceivedData][1992] start: 3.197 -0.986 3.142
INFO [ParseReceivedData][1993] end: -0.850 -2.884 1.681
INFO [HybridAStarPlan][2220] -------------------1-------------------
INFO [RSCurveQuickCalTraj][1197] RS cal time: 0.709ms
INFO [HybridAStarPlan][2231] 1_result: 1   (33)
INFO [HybridAStarPlan][2298] path send success 34
INFO [HybridAStarPlan][2315] traj: [0]	 x:3.197	 y:-0.986	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [1]	 x:2.897	 y:-0.986	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [2]	 x:2.597	 y:-0.986	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [3]	 x:2.297	 y:-0.986	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [4]	 x:1.997	 y:-0.986	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [5]	 x:1.697	 y:-0.986	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [6]	 x:1.397	 y:-0.986	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [7]	 x:1.097	 y:-0.986	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [8]	 x:0.797	 y:-0.986	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [9]	 x:0.497	 y:-0.986	 phi:179.184
INFO [HybridAStarPlan][2315] traj: [10]	 x:0.197	 y:-0.972	 phi:175.465
INFO [HybridAStarPlan][2315] traj: [11]	 x:-0.101	 y:-0.938	 phi:171.746
INFO [HybridAStarPlan][2315] traj: [12]	 x:-0.396	 y:-0.885	 phi:168.027
INFO [HybridAStarPlan][2315] traj: [13]	 x:-0.687	 y:-0.814	 phi:164.308
INFO [HybridAStarPlan][2315] traj: [14]	 x:-0.973	 y:-0.723	 phi:160.588
INFO [HybridAStarPlan][2315] traj: [15]	 x:-1.253	 y:-0.614	 phi:156.869
INFO [HybridAStarPlan][2315] traj: [16]	 x:-1.525	 y:-0.488	 phi:153.150
INFO [HybridAStarPlan][2315] traj: [17]	 x:-1.788	 y:-0.344	 phi:149.431
INFO [HybridAStarPlan][2315] traj: [18]	 x:-2.041	 y:-0.183	 phi:145.712
INFO [HybridAStarPlan][2315] traj: [19]	 x:-2.283	 y:-0.006	 phi:141.992
INFO [HybridAStarPlan][2315] traj: [20]	 x:-2.515	 y:0.185	 phi:140.669
INFO [HybridAStarPlan][2315] traj: [21]	 x:-2.289	 y:-0.013	 phi:136.949
INFO [HybridAStarPlan][2315] traj: [22]	 x:-2.076	 y:-0.224	 phi:133.230
INFO [HybridAStarPlan][2315] traj: [23]	 x:-1.878	 y:-0.450	 phi:129.511
INFO [HybridAStarPlan][2315] traj: [24]	 x:-1.695	 y:-0.687	 phi:125.792
INFO [HybridAStarPlan][2315] traj: [25]	 x:-1.528	 y:-0.936	 phi:122.073
INFO [HybridAStarPlan][2315] traj: [26]	 x:-1.377	 y:-1.195	 phi:118.353
INFO [HybridAStarPlan][2315] traj: [27]	 x:-1.243	 y:-1.464	 phi:114.634
INFO [HybridAStarPlan][2315] traj: [28]	 x:-1.127	 y:-1.740	 phi:110.915
INFO [HybridAStarPlan][2315] traj: [29]	 x:-1.029	 y:-2.024	 phi:107.196
INFO [HybridAStarPlan][2315] traj: [30]	 x:-0.949	 y:-2.313	 phi:103.477
INFO [HybridAStarPlan][2315] traj: [31]	 x:-0.889	 y:-2.607	 phi:99.757
INFO [HybridAStarPlan][2315] traj: [32]	 x:-0.850	 y:-2.884	 phi:96.291

