Received data from command line argument, length: 816
<<<<<<<<<<<<<<<<  ID: c0664cddd0ce  <<<<<<<<<<<<<<<<
INFO [ParseReceivedData][1825] new: xmin: -13
INFO [ParseReceivedData][1838] plan_cnt: 0
INFO [ParseReceivedData][1840] xybounds: xmin: -13  xmax: 5  ymin: -5  ymax: 9
INFO [ParseReceivedData][1841] radarnums: 0  sidenums:0
INFO [ParseReceivedData][1842] endpos_correct_flag: 0
INFO [ParseReceivedData][1875] oblslot[6]: -1.000, 1.214
INFO [ParseReceivedData][1875] oblslot[6]: -1.000, 0.214
INFO [ParseReceivedData][1875] oblslot[6]: 4.960, 0.214
INFO [ParseReceivedData][1875] oblslot[6]: 4.960, -3.120
INFO [ParseReceivedData][1875] oblslot[6]: 0.373, -3.120
INFO [ParseReceivedData][1875] oblslot[6]: 0.373, -3.620
INFO [ParseReceivedData][1990] slot_type: 2
INFO [ParseReceivedData][1991] target_dir: 0
INFO [ParseReceivedData][1992] start: 3.197 -1.261 3.142
INFO [ParseReceivedData][1993] end: -1.774 -2.278 2.108
INFO [HybridAStarPlan][2220] -------------------1-------------------
INFO [RSCurveQuickCalTraj][1197] RS cal time: 0.516ms
INFO [HybridAStarPlan][2231] 1_result: 1   (33)
INFO [HybridAStarPlan][2298] path send success 34
INFO [HybridAStarPlan][2315] traj: [0]	 x:3.197	 y:-1.261	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [1]	 x:2.897	 y:-1.261	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [2]	 x:2.597	 y:-1.261	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [3]	 x:2.297	 y:-1.261	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [4]	 x:1.997	 y:-1.261	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [5]	 x:1.697	 y:-1.261	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [6]	 x:1.397	 y:-1.261	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [7]	 x:1.097	 y:-1.261	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [8]	 x:0.797	 y:-1.261	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [9]	 x:0.497	 y:-1.261	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [10]	 x:0.197	 y:-1.261	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [11]	 x:-0.103	 y:-1.261	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [12]	 x:-0.403	 y:-1.261	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [13]	 x:-0.703	 y:-1.261	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [14]	 x:-1.003	 y:-1.261	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [15]	 x:-1.303	 y:-1.258	 phi:177.762
INFO [HybridAStarPlan][2315] traj: [16]	 x:-1.602	 y:-1.236	 phi:174.043
INFO [HybridAStarPlan][2315] traj: [17]	 x:-1.899	 y:-1.195	 phi:170.324
INFO [HybridAStarPlan][2315] traj: [18]	 x:-2.193	 y:-1.135	 phi:166.605
INFO [HybridAStarPlan][2315] traj: [19]	 x:-2.483	 y:-1.056	 phi:162.885
INFO [HybridAStarPlan][2315] traj: [20]	 x:-2.766	 y:-0.959	 phi:159.166
INFO [HybridAStarPlan][2315] traj: [21]	 x:-3.043	 y:-0.843	 phi:155.447
INFO [HybridAStarPlan][2315] traj: [22]	 x:-3.312	 y:-0.710	 phi:151.728
INFO [HybridAStarPlan][2315] traj: [23]	 x:-3.574	 y:-0.564	 phi:151.993
INFO [HybridAStarPlan][2315] traj: [24]	 x:-3.314	 y:-0.713	 phi:148.274
INFO [HybridAStarPlan][2315] traj: [25]	 x:-3.064	 y:-0.879	 phi:144.554
INFO [HybridAStarPlan][2315] traj: [26]	 x:-2.825	 y:-1.061	 phi:140.835
INFO [HybridAStarPlan][2315] traj: [27]	 x:-2.599	 y:-1.258	 phi:137.116
INFO [HybridAStarPlan][2315] traj: [28]	 x:-2.386	 y:-1.469	 phi:133.397
INFO [HybridAStarPlan][2315] traj: [29]	 x:-2.187	 y:-1.694	 phi:129.678
INFO [HybridAStarPlan][2315] traj: [30]	 x:-2.003	 y:-1.931	 phi:125.958
INFO [HybridAStarPlan][2315] traj: [31]	 x:-1.835	 y:-2.179	 phi:122.239
INFO [HybridAStarPlan][2315] traj: [32]	 x:-1.774	 y:-2.278	 phi:120.797

