Received data from command line argument, length: 803
<<<<<<<<<<<<<<<<  ID: b11c82ba6042  <<<<<<<<<<<<<<<<
INFO [ParseReceivedData][1838] plan_cnt: 2
INFO [ParseReceivedData][1840] xybounds: xmin: -9  xmax: 5  ymin: -5  ymax: 9
INFO [ParseReceivedData][1841] radarnums: 0  sidenums:0
INFO [ParseReceivedData][1842] endpos_correct_flag: 0
INFO [ParseReceivedData][1875] oblslot[6]: 1.355, 3.250
INFO [ParseReceivedData][1875] oblslot[6]: 1.355, 2.250
INFO [ParseReceivedData][1875] oblslot[6]: 4.960, 2.250
INFO [ParseReceivedData][1875] oblslot[6]: 4.960, -2.476
INFO [ParseReceivedData][1875] oblslot[6]: 1.680, -2.476
INFO [ParseReceivedData][1875] oblslot[6]: 1.680, -2.976
INFO [ParseReceivedData][1990] slot_type: 2
INFO [ParseReceivedData][1991] target_dir: 0
INFO [ParseReceivedData][1992] start: 3.697 -1.117 3.141
INFO [ParseReceivedData][1993] end: 2.227 -0.262 2.879
INFO [HybridAStarPlan][2220] -------------------1-------------------
INFO [RSCurveQuickCalTraj][1197] RS cal time: 1.457ms
INFO [HybridAStarPlan][2231] 1_result: 1   (54)
INFO [HybridAStarPlan][2298] path send success 55
INFO [HybridAStarPlan][2315] traj: [0]	 x:3.697	 y:-1.117	 phi:179.966
INFO [HybridAStarPlan][2315] traj: [1]	 x:3.397	 y:-1.114	 phi:178.893
INFO [HybridAStarPlan][2315] traj: [2]	 x:3.097	 y:-1.105	 phi:177.821
INFO [HybridAStarPlan][2315] traj: [3]	 x:2.797	 y:-1.091	 phi:176.748
INFO [HybridAStarPlan][2315] traj: [4]	 x:2.498	 y:-1.071	 phi:175.675
INFO [HybridAStarPlan][2315] traj: [5]	 x:2.199	 y:-1.046	 phi:174.602
INFO [HybridAStarPlan][2315] traj: [6]	 x:1.901	 y:-1.015	 phi:173.529
INFO [HybridAStarPlan][2315] traj: [7]	 x:1.603	 y:-0.978	 phi:172.456
INFO [HybridAStarPlan][2315] traj: [8]	 x:1.306	 y:-0.936	 phi:171.383
INFO [HybridAStarPlan][2315] traj: [9]	 x:1.010	 y:-0.888	 phi:170.311
INFO [HybridAStarPlan][2315] traj: [10]	 x:0.714	 y:-0.835	 phi:169.238
INFO [HybridAStarPlan][2315] traj: [11]	 x:0.420	 y:-0.776	 phi:168.165
INFO [HybridAStarPlan][2315] traj: [12]	 x:0.127	 y:-0.712	 phi:167.092
INFO [HybridAStarPlan][2315] traj: [13]	 x:-0.165	 y:-0.642	 phi:166.019
INFO [HybridAStarPlan][2315] traj: [14]	 x:-0.455	 y:-0.567	 phi:164.946
