Received data from command line argument, length: 1296
<<<<<<<<<<<<<<<<  ID: 60bf64e63056  <<<<<<<<<<<<<<<<
INFO [ParseReceivedData][1838] plan_cnt: 1
INFO [ParseReceivedData][1840] xybounds: xmin: -6  xmax: 3  ymin: -8  ymax: 8
INFO [ParseReceivedData][1841] radarnums: 0  sidenums:0
INFO [ParseReceivedData][1842] endpos_correct_flag: 0
INFO [ParseReceivedData][1875] oblslot[6]: -0.100, 2.400
INFO [ParseReceivedData][1875] oblslot[6]: -0.100, 0.400
INFO [ParseReceivedData][1875] oblslot[6]: 2.651, 0.400
INFO [ParseReceivedData][1875] oblslot[6]: 2.560, -7.244
INFO [ParseReceivedData][1875] oblslot[6]: 0.200, -7.244
INFO [ParseReceivedData][1875] oblslot[6]: 0.200, -9.244
INFO [ParseReceivedData][1990] slot_type: 1
INFO [ParseReceivedData][1991] target_dir: 3
INFO [ParseReceivedData][1992] start: 1.267 -5.039 1.556
INFO [ParseReceivedData][1993] end: 1.710 -4.126 2.085
INFO [HybridAStarPlan][2164] 0_start: 1.2670 -5.0394 1.5558
INFO [HybridAStarPlan][2212] 1_start: 1.3249 -5.7690 1.7143
INFO [KeyNodeCheckValid][1110] false rs end
INFO [HybridAStarPlan][2220] -------------------0-------------------
INFO [GenerateDpMap][194] map explored node: 2045
INFO [Plan][681] map time: 49ms
INFO [Plan][746] explored_node_num:220
INFO [Plan][747] heuristic time is 3.4970ms.
INFO [Plan][748] reed shepp time is 3.2850ms.
INFO [Plan][749] total time: 66ms
INFO [HybridAStarPlan][2243] 2_result: 1   (37)
INFO [HybridAStarPlan][2298] path send success 39
INFO [HybridAStarPlan][2315] traj: [0]	 x:1.268	 y:-4.939	 phi:89.141
INFO [HybridAStarPlan][2315] traj: [1]	 x:1.267	 y:-5.039	 phi:89.141
INFO [HybridAStarPlan][2315] traj: [2]	 x:1.311	 y:-5.670	 phi:98.221
INFO [HybridAStarPlan][2315] traj: [3]	 x:1.325	 y:-5.769	 phi:98.221
INFO [HybridAStarPlan][2315] traj: [4]	 x:1.282	 y:-5.472	 phi:104.071
INFO [HybridAStarPlan][2315] traj: [5]	 x:1.209	 y:-5.181	 phi:109.921
INFO [HybridAStarPlan][2315] traj: [6]	 x:1.107	 y:-4.899	 phi:109.248
INFO [HybridAStarPlan][2315] traj: [7]	 x:1.008	 y:-4.616	 phi:115.098
INFO [HybridAStarPlan][2315] traj: [8]	 x:0.881	 y:-4.344	 phi:114.425
INFO [HybridAStarPlan][2315] traj: [9]	 x:0.757	 y:-4.071	 phi:120.275
INFO [HybridAStarPlan][2315] traj: [10]	 x:0.605	 y:-3.812	 phi:126.125
INFO [HybridAStarPlan][2315] traj: [11]	 x:0.434	 y:-3.565	 phi:123.406
INFO [HybridAStarPlan][2315] traj: [12]	 x:0.275	 y:-3.311	 phi:120.687
INFO [HybridAStarPlan][2315] traj: [13]	 x:0.128	 y:-3.050	 phi:117.968
INFO [HybridAStarPlan][2315] traj: [14]	 x:-0.012	 y:-2.784	 phi:117.837
INFO [HybridAStarPlan][2315] traj: [15]	 x:-0.152	 y:-2.519	 phi:117.837
INFO [HybridAStarPlan][2315] traj: [16]	 x:-0.292	 y:-2.254	 phi:117.837
INFO [HybridAStarPlan][2315] traj: [17]	 x:-0.432	 y:-1.989	 phi:117.837
INFO [HybridAStarPlan][2315] traj: [18]	 x:-0.572	 y:-1.723	 phi:117.837
INFO [HybridAStarPlan][2315] traj: [19]	 x:-0.717	 y:-1.461	 phi:120.196
INFO [HybridAStarPlan][2315] traj: [20]	 x:-0.874	 y:-1.205	 phi:122.915
INFO [HybridAStarPlan][2315] traj: [21]	 x:-1.040	 y:-0.960	 phi:125.596
INFO [HybridAStarPlan][2315] traj: [22]	 x:-0.861	 y:-1.201	 phi:128.079
INFO [HybridAStarPlan][2315] traj: [23]	 x:-0.670	 y:-1.432	 phi:130.798
INFO [HybridAStarPlan][2315] traj: [24]	 x:-0.469	 y:-1.655	 phi:133.517
INFO [HybridAStarPlan][2315] traj: [25]	 x:-0.257	 y:-1.867	 phi:136.127
INFO [HybridAStarPlan][2315] traj: [26]	 x:-0.041	 y:-2.075	 phi:136.127
INFO [HybridAStarPlan][2315] traj: [27]	 x:0.176	 y:-2.283	 phi:136.127
INFO [HybridAStarPlan][2315] traj: [28]	 x:0.392	 y:-2.491	 phi:136.127
INFO [HybridAStarPlan][2315] traj: [29]	 x:0.608	 y:-2.699	 phi:135.867
INFO [HybridAStarPlan][2315] traj: [30]	 x:0.818	 y:-2.913	 phi:133.148
INFO [HybridAStarPlan][2315] traj: [31]	 x:1.018	 y:-3.137	 phi:130.429
INFO [HybridAStarPlan][2315] traj: [32]	 x:1.207	 y:-3.369	 phi:127.710
INFO [HybridAStarPlan][2315] traj: [33]	 x:1.385	 y:-3.611	 phi:124.991
INFO [HybridAStarPlan][2315] traj: [34]	 x:1.551	 y:-3.861	 phi:122.272
INFO [HybridAStarPlan][2315] traj: [35]	 x:1.705	 y:-4.118	 phi:119.553
INFO [HybridAStarPlan][2315] traj: [36]	 x:1.710	 y:-4.126	 phi:119.468

