Received data from command line argument, length: 920
<<<<<<<<<<<<<<<<  ID: 51da547a0f14  <<<<<<<<<<<<<<<<
INFO [ParseReceivedData][1838] plan_cnt: 0
INFO [ParseReceivedData][1840] xybounds: xmin: -9  xmax: 5  ymin: -6  ymax: 9
INFO [ParseReceivedData][1841] radarnums: 0  sidenums:0
INFO [ParseReceivedData][1842] endpos_correct_flag: 0
INFO [ParseReceivedData][1875] oblslot[6]: 0.200, 1.200
INFO [ParseReceivedData][1875] oblslot[6]: 0.200, 0.200
INFO [ParseReceivedData][1875] oblslot[6]: 4.960, 0.200
INFO [ParseReceivedData][1875] oblslot[6]: 4.960, -4.455
INFO [ParseReceivedData][1875] oblslot[6]: 1.500, -4.454
INFO [ParseReceivedData][1875] oblslot[6]: 1.500, -4.954
INFO [ParseReceivedData][1990] slot_type: 2
INFO [ParseReceivedData][1991] target_dir: 0
INFO [ParseReceivedData][1992] start: 3.197 -1.076 3.142
INFO [ParseReceivedData][1993] end: -1.826 -2.529 1.515
INFO [HybridAStarPlan][2220] -------------------1-------------------
INFO [RSCurveQuickCalTraj][1197] RS cal time: 0.467ms
INFO [HybridAStarPlan][2231] 1_result: 1   (35)
INFO [HybridAStarPlan][2298] path send success 36
INFO [HybridAStarPlan][2315] traj: [0]	 x:3.197	 y:-1.076	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [1]	 x:2.897	 y:-1.076	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [2]	 x:2.597	 y:-1.076	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [3]	 x:2.297	 y:-1.076	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [4]	 x:1.997	 y:-1.076	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [5]	 x:1.697	 y:-1.076	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [6]	 x:1.397	 y:-1.076	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [7]	 x:1.097	 y:-1.076	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [8]	 x:0.797	 y:-1.076	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [9]	 x:0.497	 y:-1.069	 phi:176.933
INFO [HybridAStarPlan][2315] traj: [10]	 x:0.198	 y:-1.044	 phi:173.214
INFO [HybridAStarPlan][2315] traj: [11]	 x:-0.098	 y:-0.999	 phi:169.495
INFO [HybridAStarPlan][2315] traj: [12]	 x:-0.391	 y:-0.934	 phi:165.775
INFO [HybridAStarPlan][2315] traj: [13]	 x:-0.679	 y:-0.851	 phi:162.056
INFO [HybridAStarPlan][2315] traj: [14]	 x:-0.962	 y:-0.750	 phi:158.337
INFO [HybridAStarPlan][2315] traj: [15]	 x:-1.237	 y:-0.630	 phi:154.618
INFO [HybridAStarPlan][2315] traj: [16]	 x:-1.503	 y:-0.493	 phi:150.899
INFO [HybridAStarPlan][2315] traj: [17]	 x:-1.761	 y:-0.338	 phi:147.179
INFO [HybridAStarPlan][2315] traj: [18]	 x:-2.007	 y:-0.168	 phi:143.460
INFO [HybridAStarPlan][2315] traj: [19]	 x:-2.242	 y:0.019	 phi:139.741
INFO [HybridAStarPlan][2315] traj: [20]	 x:-2.465	 y:0.220	 phi:136.022
INFO [HybridAStarPlan][2315] traj: [21]	 x:-2.674	 y:0.435	 phi:132.303
INFO [HybridAStarPlan][2315] traj: [22]	 x:-2.869	 y:0.663	 phi:129.393
INFO [HybridAStarPlan][2315] traj: [23]	 x:-2.686	 y:0.425	 phi:125.673
INFO [HybridAStarPlan][2315] traj: [24]	 x:-2.519	 y:0.176	 phi:121.954
INFO [HybridAStarPlan][2315] traj: [25]	 x:-2.368	 y:-0.083	 phi:118.235
INFO [HybridAStarPlan][2315] traj: [26]	 x:-2.235	 y:-0.352	 phi:114.516
INFO [HybridAStarPlan][2315] traj: [27]	 x:-2.120	 y:-0.629	 phi:110.797
INFO [HybridAStarPlan][2315] traj: [28]	 x:-2.022	 y:-0.913	 phi:107.077
INFO [HybridAStarPlan][2315] traj: [29]	 x:-1.944	 y:-1.202	 phi:103.358
INFO [HybridAStarPlan][2315] traj: [30]	 x:-1.884	 y:-1.496	 phi:99.639
INFO [HybridAStarPlan][2315] traj: [31]	 x:-1.843	 y:-1.793	 phi:95.920
INFO [HybridAStarPlan][2315] traj: [32]	 x:-1.822	 y:-2.092	 phi:92.201
INFO [HybridAStarPlan][2315] traj: [33]	 x:-1.820	 y:-2.392	 phi:88.481
INFO [HybridAStarPlan][2315] traj: [34]	 x:-1.826	 y:-2.529	 phi:86.792

