Received data from command line argument, length: 1131
<<<<<<<<<<<<<<<<  ID: 1291a4d649ec  <<<<<<<<<<<<<<<<
INFO [ParseReceivedData][1825] new: xmin: -13
INFO [ParseReceivedData][1838] plan_cnt: 0
INFO [ParseReceivedData][1840] xybounds: xmin: -13  xmax: 5  ymin: -6  ymax: 9
INFO [ParseReceivedData][1841] radarnums: 0  sidenums:0
INFO [ParseReceivedData][1842] endpos_correct_flag: 0
INFO [ParseReceivedData][1875] oblslot[6]: -1.515, 1.392
INFO [ParseReceivedData][1875] oblslot[6]: -1.515, 0.392
INFO [ParseReceivedData][1875] oblslot[6]: 4.960, 0.392
INFO [ParseReceivedData][1875] oblslot[6]: 4.960, -3.312
INFO [ParseReceivedData][1875] oblslot[6]: 1.139, -3.312
INFO [ParseReceivedData][1875] oblslot[6]: 1.139, -3.812
INFO [ParseReceivedData][1990] slot_type: 2
INFO [ParseReceivedData][1991] target_dir: 0
INFO [ParseReceivedData][1992] start: 3.197 -1.250 3.142
INFO [ParseReceivedData][1993] end: -1.122 -3.197 2.059
INFO [HybridAStarPlan][2220] -------------------1-------------------
INFO [RSCurveQuickCalTraj][1197] RS cal time: 0.624ms
INFO [HybridAStarPlan][2231] 1_result: 1   (38)
INFO [HybridAStarPlan][2298] path send success 39
INFO [HybridAStarPlan][2315] traj: [0]	 x:3.197	 y:-1.250	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [1]	 x:2.897	 y:-1.250	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [2]	 x:2.597	 y:-1.250	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [3]	 x:2.297	 y:-1.250	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [4]	 x:1.997	 y:-1.250	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [5]	 x:1.697	 y:-1.250	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [6]	 x:1.397	 y:-1.250	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [7]	 x:1.097	 y:-1.250	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [8]	 x:0.797	 y:-1.250	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [9]	 x:0.497	 y:-1.250	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [10]	 x:0.197	 y:-1.250	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [11]	 x:-0.103	 y:-1.250	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [12]	 x:-0.403	 y:-1.250	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [13]	 x:-0.703	 y:-1.250	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [14]	 x:-1.003	 y:-1.250	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [15]	 x:-1.303	 y:-1.250	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [16]	 x:-1.603	 y:-1.250	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [17]	 x:-1.903	 y:-1.250	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [18]	 x:-2.203	 y:-1.250	 phi:179.856
INFO [HybridAStarPlan][2315] traj: [19]	 x:-2.503	 y:-1.240	 phi:176.137
INFO [HybridAStarPlan][2315] traj: [20]	 x:-2.801	 y:-1.210	 phi:172.418
INFO [HybridAStarPlan][2315] traj: [21]	 x:-3.097	 y:-1.160	 phi:168.698
INFO [HybridAStarPlan][2315] traj: [22]	 x:-3.389	 y:-1.092	 phi:164.979
INFO [HybridAStarPlan][2315] traj: [23]	 x:-3.676	 y:-1.005	 phi:161.260
INFO [HybridAStarPlan][2315] traj: [24]	 x:-3.962	 y:-0.915	 phi:164.429
INFO [HybridAStarPlan][2315] traj: [25]	 x:-3.676	 y:-1.005	 phi:160.709
INFO [HybridAStarPlan][2315] traj: [26]	 x:-3.396	 y:-1.113	 phi:156.990
INFO [HybridAStarPlan][2315] traj: [27]	 x:-3.124	 y:-1.239	 phi:153.271
INFO [HybridAStarPlan][2315] traj: [28]	 x:-2.861	 y:-1.383	 phi:149.552
INFO [HybridAStarPlan][2315] traj: [29]	 x:-2.607	 y:-1.543	 phi:145.833
INFO [HybridAStarPlan][2315] traj: [30]	 x:-2.365	 y:-1.720	 phi:142.113
INFO [HybridAStarPlan][2315] traj: [31]	 x:-2.134	 y:-1.912	 phi:138.394
INFO [HybridAStarPlan][2315] traj: [32]	 x:-1.917	 y:-2.118	 phi:134.675
INFO [HybridAStarPlan][2315] traj: [33]	 x:-1.713	 y:-2.338	 phi:130.956
INFO [HybridAStarPlan][2315] traj: [34]	 x:-1.524	 y:-2.571	 phi:127.237
INFO [HybridAStarPlan][2315] traj: [35]	 x:-1.350	 y:-2.815	 phi:123.517
INFO [HybridAStarPlan][2315] traj: [36]	 x:-1.192	 y:-3.071	 phi:119.798
INFO [HybridAStarPlan][2315] traj: [37]	 x:-1.122	 y:-3.197	 phi:118.001

