Received data from command line argument, length: 735
<<<<<<<<<<<<<<<<  ID: 6822b97fe78a  <<<<<<<<<<<<<<<<
INFO [ParseReceivedData][1838] plan_cnt: 0
INFO [ParseReceivedData][1840] xybounds: xmin: -9  xmax: 5  ymin: -6  ymax: 9
INFO [ParseReceivedData][1841] radarnums: 0  sidenums:0
INFO [ParseReceivedData][1842] endpos_correct_flag: 0
INFO [ParseReceivedData][1875] oblslot[6]: 0.200, 2.000
INFO [ParseReceivedData][1875] oblslot[6]: 0.200, 1.000
INFO [ParseReceivedData][1875] oblslot[6]: 4.960, 1.000
INFO [ParseReceivedData][1875] oblslot[6]: 4.960, -4.460
INFO [ParseReceivedData][1875] oblslot[6]: 1.500, -4.460
INFO [ParseReceivedData][1875] oblslot[6]: 1.500, -4.960
INFO [ParseReceivedData][1990] slot_type: 2
INFO [ParseReceivedData][1991] target_dir: 0
INFO [ParseReceivedData][1992] start: 3.197 -1.079 3.142
INFO [ParseReceivedData][1993] end: -1.668 -2.809 1.605
INFO [HybridAStarPlan][2220] -------------------1-------------------
INFO [RSCurveQuickCalTraj][1197] RS cal time: 1.301ms
INFO [HybridAStarPlan][2231] 1_result: 1   (34)
INFO [HybridAStarPlan][2298] path send success 35
INFO [HybridAStarPlan][2315] traj: [0]	 x:3.197	 y:-1.079	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [1]	 x:2.897	 y:-1.089	 phi:-177.021
INFO [HybridAStarPlan][2315] traj: [2]	 x:2.598	 y:-1.104	 phi:-177.021
INFO [HybridAStarPlan][2315] traj: [3]	 x:2.298	 y:-1.120	 phi:-177.021
INFO [HybridAStarPlan][2315] traj: [4]	 x:1.998	 y:-1.136	 phi:-177.021
INFO [HybridAStarPlan][2315] traj: [5]	 x:1.699	 y:-1.151	 phi:-177.021
INFO [HybridAStarPlan][2315] traj: [6]	 x:1.399	 y:-1.167	 phi:-177.021
INFO [HybridAStarPlan][2315] traj: [7]	 x:1.100	 y:-1.182	 phi:-177.021
INFO [HybridAStarPlan][2315] traj: [8]	 x:0.800	 y:-1.198	 phi:-177.021
INFO [HybridAStarPlan][2315] traj: [9]	 x:0.500	 y:-1.213	 phi:-177.090
INFO [HybridAStarPlan][2315] traj: [10]	 x:0.201	 y:-1.218	 phi:178.933
INFO [HybridAStarPlan][2315] traj: [11]	 x:-0.099	 y:-1.202	 phi:174.956
INFO [HybridAStarPlan][2315] traj: [12]	 x:-0.397	 y:-1.166	 phi:170.978
INFO [HybridAStarPlan][2315] traj: [13]	 x:-0.691	 y:-1.108	 phi:167.001
INFO [HybridAStarPlan][2315] traj: [14]	 x:-0.981	 y:-1.031	 phi:163.024
INFO [HybridAStarPlan][2315] traj: [15]	 x:-1.264	 y:-0.933	 phi:159.046
INFO [HybridAStarPlan][2315] traj: [16]	 x:-1.541	 y:-0.816	 phi:155.069
INFO [HybridAStarPlan][2315] traj: [17]	 x:-1.808	 y:-0.681	 phi:151.092
INFO [HybridAStarPlan][2315] traj: [18]	 x:-2.065	 y:-0.527	 phi:147.114
INFO [HybridAStarPlan][2315] traj: [19]	 x:-2.312	 y:-0.355	 phi:143.137
INFO [HybridAStarPlan][2315] traj: [20]	 x:-2.545	 y:-0.167	 phi:139.159
INFO [HybridAStarPlan][2315] traj: [21]	 x:-2.765	 y:0.037	 phi:135.182
INFO [HybridAStarPlan][2315] traj: [22]	 x:-2.893	 y:0.170	 phi:132.742
INFO [HybridAStarPlan][2315] traj: [23]	 x:-2.697	 y:-0.057	 phi:129.022
INFO [HybridAStarPlan][2315] traj: [24]	 x:-2.515	 y:-0.296	 phi:125.303
INFO [HybridAStarPlan][2315] traj: [25]	 x:-2.350	 y:-0.547	 phi:121.584
INFO [HybridAStarPlan][2315] traj: [26]	 x:-2.201	 y:-0.807	 phi:117.865
INFO [HybridAStarPlan][2315] traj: [27]	 x:-2.070	 y:-1.077	 phi:114.146
INFO [HybridAStarPlan][2315] traj: [28]	 x:-1.956	 y:-1.354	 phi:110.426
INFO [HybridAStarPlan][2315] traj: [29]	 x:-1.861	 y:-1.639	 phi:106.707
INFO [HybridAStarPlan][2315] traj: [30]	 x:-1.784	 y:-1.928	 phi:102.988
INFO [HybridAStarPlan][2315] traj: [31]	 x:-1.726	 y:-2.223	 phi:99.269
INFO [HybridAStarPlan][2315] traj: [32]	 x:-1.687	 y:-2.520	 phi:95.550
INFO [HybridAStarPlan][2315] traj: [33]	 x:-1.668	 y:-2.809	 phi:91.960

