Received data from command line argument, length: 782
<<<<<<<<<<<<<<<<  ID: eaa2e5a4f676  <<<<<<<<<<<<<<<<
INFO [ParseReceivedData][1838] plan_cnt: 0
INFO [ParseReceivedData][1840] xybounds: xmin: -9  xmax: 5  ymin: -5  ymax: 9
INFO [ParseReceivedData][1841] radarnums: 0  sidenums:0
INFO [ParseReceivedData][1842] endpos_correct_flag: 0
INFO [ParseReceivedData][1875] oblslot[6]: 0.200, 1.178
INFO [ParseReceivedData][1875] oblslot[6]: 0.200, 0.178
INFO [ParseReceivedData][1875] oblslot[6]: 4.960, 0.178
INFO [ParseReceivedData][1875] oblslot[6]: 4.960, -4.543
INFO [ParseReceivedData][1875] oblslot[6]: 0.200, -4.543
INFO [ParseReceivedData][1875] oblslot[6]: 0.200, -5.043
INFO [ParseReceivedData][1990] slot_type: 2
INFO [ParseReceivedData][1991] target_dir: 0
INFO [ParseReceivedData][1992] start: 3.197 -1.254 3.142
INFO [ParseReceivedData][1993] end: -1.576 -2.482 1.570
INFO [HybridAStarPlan][2220] -------------------1-------------------
INFO [RSCurveQuickCalTraj][1197] RS cal time: 1.057ms
INFO [HybridAStarPlan][2231] 1_result: 1   (30)
INFO [HybridAStarPlan][2298] path send success 31
INFO [HybridAStarPlan][2315] traj: [0]	 x:2.197	 y:-1.254	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [1]	 x:1.897	 y:-1.254	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [2]	 x:1.597	 y:-1.254	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [3]	 x:1.297	 y:-1.254	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [4]	 x:0.997	 y:-1.254	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [5]	 x:0.697	 y:-1.246	 phi:176.691
INFO [HybridAStarPlan][2315] traj: [6]	 x:0.398	 y:-1.219	 phi:172.971
INFO [HybridAStarPlan][2315] traj: [7]	 x:0.102	 y:-1.173	 phi:169.252
INFO [HybridAStarPlan][2315] traj: [8]	 x:-0.191	 y:-1.107	 phi:165.533
INFO [HybridAStarPlan][2315] traj: [9]	 x:-0.478	 y:-1.023	 phi:161.814
INFO [HybridAStarPlan][2315] traj: [10]	 x:-0.760	 y:-0.920	 phi:158.095
INFO [HybridAStarPlan][2315] traj: [11]	 x:-1.035	 y:-0.799	 phi:154.375
INFO [HybridAStarPlan][2315] traj: [12]	 x:-1.301	 y:-0.661	 phi:150.656
INFO [HybridAStarPlan][2315] traj: [13]	 x:-1.557	 y:-0.506	 phi:146.937
INFO [HybridAStarPlan][2315] traj: [14]	 x:-1.803	 y:-0.334	 phi:143.218
INFO [HybridAStarPlan][2315] traj: [15]	 x:-2.038	 y:-0.147	 phi:139.499
INFO [HybridAStarPlan][2315] traj: [16]	 x:-2.259	 y:0.055	 phi:135.779
INFO [HybridAStarPlan][2315] traj: [17]	 x:-2.467	 y:0.272	 phi:132.060
INFO [HybridAStarPlan][2315] traj: [18]	 x:-2.662	 y:0.500	 phi:130.089
INFO [HybridAStarPlan][2315] traj: [19]	 x:-2.476	 y:0.264	 phi:126.370
INFO [HybridAStarPlan][2315] traj: [20]	 x:-2.306	 y:0.017	 phi:122.651
INFO [HybridAStarPlan][2315] traj: [21]	 x:-2.153	 y:-0.240	 phi:118.932
INFO [HybridAStarPlan][2315] traj: [22]	 x:-2.016	 y:-0.508	 phi:115.212
INFO [HybridAStarPlan][2315] traj: [23]	 x:-1.897	 y:-0.783	 phi:111.493
INFO [HybridAStarPlan][2315] traj: [24]	 x:-1.796	 y:-1.065	 phi:107.774
INFO [HybridAStarPlan][2315] traj: [25]	 x:-1.714	 y:-1.354	 phi:104.055
INFO [HybridAStarPlan][2315] traj: [26]	 x:-1.651	 y:-1.647	 phi:100.336
INFO [HybridAStarPlan][2315] traj: [27]	 x:-1.607	 y:-1.944	 phi:96.616
INFO [HybridAStarPlan][2315] traj: [28]	 x:-1.582	 y:-2.243	 phi:92.897
INFO [HybridAStarPlan][2315] traj: [29]	 x:-1.576	 y:-2.482	 phi:89.932

