Received data from command line argument, length: 820
<<<<<<<<<<<<<<<<  ID: fb1eb68bdff5  <<<<<<<<<<<<<<<<
INFO [ParseReceivedData][1838] plan_cnt: 2
INFO [ParseReceivedData][1840] xybounds: xmin: -9  xmax: 5  ymin: -5  ymax: 9
INFO [ParseReceivedData][1841] radarnums: 0  sidenums:0
INFO [ParseReceivedData][1842] endpos_correct_flag: 0
INFO [ParseReceivedData][1875] oblslot[6]: 3.435, 2.599
INFO [ParseReceivedData][1875] oblslot[6]: 3.435, 1.599
INFO [ParseReceivedData][1875] oblslot[6]: 4.960, 1.599
INFO [ParseReceivedData][1875] oblslot[6]: 4.960, -5.645
INFO [ParseReceivedData][1875] oblslot[6]: 1.404, -5.645
INFO [ParseReceivedData][1875] oblslot[6]: 1.404, -6.145
INFO [ParseReceivedData][1990] slot_type: 2
INFO [ParseReceivedData][1991] target_dir: 0
INFO [ParseReceivedData][1992] start: 3.685 -1.487 3.082
INFO [ParseReceivedData][1993] end: 2.046 -0.584 2.821
INFO [HybridAStarPlan][2220] -------------------1-------------------
INFO [RSCurveQuickCalTraj][1197] RS cal time: 1.586ms
INFO [HybridAStarPlan][2231] 1_result: 1   (37)
INFO [HybridAStarPlan][2298] path send success 38
INFO [HybridAStarPlan][2315] traj: [0]	 x:3.685	 y:-1.487	 phi:176.557
INFO [HybridAStarPlan][2315] traj: [1]	 x:3.386	 y:-1.465	 phi:174.842
INFO [HybridAStarPlan][2315] traj: [2]	 x:3.088	 y:-1.433	 phi:173.127
INFO [HybridAStarPlan][2315] traj: [3]	 x:2.790	 y:-1.393	 phi:171.412
INFO [HybridAStarPlan][2315] traj: [4]	 x:2.494	 y:-1.344	 phi:169.696
INFO [HybridAStarPlan][2315] traj: [5]	 x:2.200	 y:-1.286	 phi:167.981
INFO [HybridAStarPlan][2315] traj: [6]	 x:1.908	 y:-1.219	 phi:166.266
INFO [HybridAStarPlan][2315] traj: [7]	 x:1.617	 y:-1.143	 phi:164.551
INFO [HybridAStarPlan][2315] traj: [8]	 x:1.329	 y:-1.059	 phi:162.836
INFO [HybridAStarPlan][2315] traj: [9]	 x:1.044	 y:-0.966	 phi:161.121
INFO [HybridAStarPlan][2315] traj: [10]	 x:0.762	 y:-0.865	 phi:159.405
INFO [HybridAStarPlan][2315] traj: [11]	 x:0.482	 y:-0.756	 phi:158.403
INFO [HybridAStarPlan][2315] traj: [12]	 x:0.203	 y:-0.646	 phi:158.403
INFO [HybridAStarPlan][2315] traj: [13]	 x:-0.076	 y:-0.535	 phi:158.403
INFO [HybridAStarPlan][2315] traj: [14]	 x:-0.355	 y:-0.425	 phi:158.403
INFO [HybridAStarPlan][2315] traj: [15]	 x:-0.633	 y:-0.314	 phi:158.403
INFO [HybridAStarPlan][2315] traj: [16]	 x:-0.912	 y:-0.204	 phi:158.403
INFO [HybridAStarPlan][2315] traj: [17]	 x:-1.191	 y:-0.093	 phi:158.403
INFO [HybridAStarPlan][2315] traj: [18]	 x:-1.470	 y:0.017	 phi:158.403
INFO [HybridAStarPlan][2315] traj: [19]	 x:-1.750	 y:0.125	 phi:159.701
INFO [HybridAStarPlan][2315] traj: [20]	 x:-2.033	 y:0.225	 phi:161.416
INFO [HybridAStarPlan][2315] traj: [21]	 x:-2.312	 y:0.314	 phi:163.093
INFO [HybridAStarPlan][2315] traj: [22]	 x:-2.024	 y:0.231	 phi:164.712
INFO [HybridAStarPlan][2315] traj: [23]	 x:-1.734	 y:0.156	 phi:166.427
INFO [HybridAStarPlan][2315] traj: [24]	 x:-1.441	 y:0.090	 phi:168.142
INFO [HybridAStarPlan][2315] traj: [25]	 x:-1.147	 y:0.033	 phi:169.857
INFO [HybridAStarPlan][2315] traj: [26]	 x:-0.851	 y:-0.015	 phi:171.572
INFO [HybridAStarPlan][2315] traj: [27]	 x:-0.553	 y:-0.057	 phi:172.208
INFO [HybridAStarPlan][2315] traj: [28]	 x:-0.256	 y:-0.097	 phi:172.208
INFO [HybridAStarPlan][2315] traj: [29]	 x:0.041	 y:-0.138	 phi:172.208
INFO [HybridAStarPlan][2315] traj: [30]	 x:0.338	 y:-0.179	 phi:171.674
INFO [HybridAStarPlan][2315] traj: [31]	 x:0.634	 y:-0.227	 phi:169.959
INFO [HybridAStarPlan][2315] traj: [32]	 x:0.929	 y:-0.284	 phi:168.244
INFO [HybridAStarPlan][2315] traj: [33]	 x:1.222	 y:-0.349	 phi:166.529
INFO [HybridAStarPlan][2315] traj: [34]	 x:1.512	 y:-0.423	 phi:164.813
INFO [HybridAStarPlan][2315] traj: [35]	 x:1.801	 y:-0.506	 phi:163.098
INFO [HybridAStarPlan][2315] traj: [36]	 x:2.046	 y:-0.584	 phi:161.626

