Received data from command line argument, length: 659
<<<<<<<<<<<<<<<<  ID: 13350437d859  <<<<<<<<<<<<<<<<
INFO [ParseReceivedData][1838] plan_cnt: 7
INFO [ParseReceivedData][1840] xybounds: xmin: -9  xmax: 5  ymin: -5  ymax: 9
INFO [ParseReceivedData][1841] radarnums: 0  sidenums:0
INFO [ParseReceivedData][1842] endpos_correct_flag: 0
INFO [ParseReceivedData][1875] oblslot[6]: -0.011, 3.666
INFO [ParseReceivedData][1875] oblslot[6]: -0.011, 1.666
INFO [ParseReceivedData][1875] oblslot[6]: 4.960, 1.716
INFO [ParseReceivedData][1875] oblslot[6]: 4.960, -2.608
INFO [ParseReceivedData][1875] oblslot[6]: 1.850, -2.608
INFO [ParseReceivedData][1875] oblslot[6]: 1.850, -3.108
INFO [ParseReceivedData][1990] slot_type: 2
INFO [ParseReceivedData][1991] target_dir: 0
INFO [ParseReceivedData][1992] start: 3.697 -1.101 3.152
INFO [ParseReceivedData][1993] end: 2.375 -0.570 2.891
INFO [HybridAStarPlan][2220] -------------------1-------------------
INFO [RSCurveQuickCalTraj][1197] RS cal time: 1.435ms
INFO [HybridAStarPlan][2231] 1_result: 1   (47)
INFO [HybridAStarPlan][2298] path send success 48
INFO [HybridAStarPlan][2315] traj: [0]	 x:3.697	 y:-1.101	 phi:-179.421
INFO [HybridAStarPlan][2315] traj: [1]	 x:3.397	 y:-1.101	 phi:179.506
INFO [HybridAStarPlan][2315] traj: [2]	 x:3.097	 y:-1.096	 phi:178.434
INFO [HybridAStarPlan][2315] traj: [3]	 x:2.797	 y:-1.085	 phi:177.361
INFO [HybridAStarPlan][2315] traj: [4]	 x:2.497	 y:-1.068	 phi:176.288
INFO [HybridAStarPlan][2315] traj: [5]	 x:2.198	 y:-1.046	 phi:175.215
INFO [HybridAStarPlan][2315] traj: [6]	 x:1.900	 y:-1.018	 phi:174.142
INFO [HybridAStarPlan][2315] traj: [7]	 x:1.601	 y:-0.985	 phi:173.069
INFO [HybridAStarPlan][2315] traj: [8]	 x:1.304	 y:-0.946	 phi:171.996
INFO [HybridAStarPlan][2315] traj: [9]	 x:1.007	 y:-0.901	 phi:170.924
INFO [HybridAStarPlan][2315] traj: [10]	 x:0.712	 y:-0.851	 phi:169.851
INFO [HybridAStarPlan][2315] traj: [11]	 x:0.417	 y:-0.795	 phi:168.778
INFO [HybridAStarPlan][2315] traj: [12]	 x:0.123	 y:-0.734	 phi:167.705
INFO [HybridAStarPlan][2315] traj: [13]	 x:-0.169	 y:-0.668	 phi:166.632
INFO [HybridAStarPlan][2315] traj: [14]	 x:-0.461	 y:-0.596	 phi:165.559
INFO [HybridAStarPlan][2315] traj: [15]	 x:-0.751	 y:-0.521	 phi:165.550
INFO [HybridAStarPlan][2315] traj: [16]	 x:-1.042	 y:-0.446	 phi:165.550
INFO [HybridAStarPlan][2315] traj: [17]	 x:-1.332	 y:-0.371	 phi:165.550
INFO [HybridAStarPlan][2315] traj: [18]	 x:-1.623	 y:-0.296	 phi:165.550
INFO [HybridAStarPlan][2315] traj: [19]	 x:-1.913	 y:-0.221	 phi:165.550
INFO [HybridAStarPlan][2315] traj: [20]	 x:-2.204	 y:-0.146	 phi:165.550
INFO [HybridAStarPlan][2315] traj: [21]	 x:-2.494	 y:-0.072	 phi:166.129
INFO [HybridAStarPlan][2315] traj: [22]	 x:-2.786	 y:-0.003	 phi:167.202
INFO [HybridAStarPlan][2315] traj: [23]	 x:-3.080	 y:0.060	 phi:168.275
INFO [HybridAStarPlan][2315] traj: [24]	 x:-3.374	 y:0.119	 phi:169.348
INFO [HybridAStarPlan][2315] traj: [25]	 x:-3.666	 y:0.171	 phi:170.410
INFO [HybridAStarPlan][2315] traj: [26]	 x:-3.370	 y:0.124	 phi:171.444
INFO [HybridAStarPlan][2315] traj: [27]	 x:-3.073	 y:0.082	 phi:172.517
INFO [HybridAStarPlan][2315] traj: [28]	 x:-2.775	 y:0.045	 phi:173.590
INFO [HybridAStarPlan][2315] traj: [29]	 x:-2.477	 y:0.015	 phi:174.663
INFO [HybridAStarPlan][2315] traj: [30]	 x:-2.178	 y:-0.010	 phi:175.735
INFO [HybridAStarPlan][2315] traj: [31]	 x:-1.878	 y:-0.030	 phi:176.808
INFO [HybridAStarPlan][2315] traj: [32]	 x:-1.579	 y:-0.046	 phi:176.861
INFO [HybridAStarPlan][2315] traj: [33]	 x:-1.279	 y:-0.063	 phi:176.861
INFO [HybridAStarPlan][2315] traj: [34]	 x:-0.980	 y:-0.079	 phi:176.861
INFO [HybridAStarPlan][2315] traj: [35]	 x:-0.680	 y:-0.096	 phi:176.712
INFO [HybridAStarPlan][2315] traj: [36]	 x:-0.381	 y:-0.116	 phi:175.639
INFO [HybridAStarPlan][2315] traj: [37]	 x:-0.082	 y:-0.141	 phi:174.566
INFO [HybridAStarPlan][2315] traj: [38]	 x:0.216	 y:-0.172	 phi:173.493
INFO [HybridAStarPlan][2315] traj: [39]	 x:0.514	 y:-0.209	 phi:172.421
