Received data from command line argument, length: 886
<<<<<<<<<<<<<<<<  ID: b73168c7070c  <<<<<<<<<<<<<<<<
INFO [ParseReceivedData][1838] plan_cnt: 0
INFO [ParseReceivedData][1840] xybounds: xmin: -9  xmax: 5  ymin: -5  ymax: 9
INFO [ParseReceivedData][1841] radarnums: 0  sidenums:0
INFO [ParseReceivedData][1842] endpos_correct_flag: 0
INFO [ParseReceivedData][1875] oblslot[6]: 0.200, 3.300
INFO [ParseReceivedData][1875] oblslot[6]: 0.200, 2.300
INFO [ParseReceivedData][1875] oblslot[6]: 4.960, 2.300
INFO [ParseReceivedData][1875] oblslot[6]: 4.960, -2.476
INFO [ParseReceivedData][1875] oblslot[6]: 0.200, -2.476
INFO [ParseReceivedData][1875] oblslot[6]: 0.200, -2.976
INFO [ParseReceivedData][1990] slot_type: 2
INFO [ParseReceivedData][1991] target_dir: 0
INFO [ParseReceivedData][1992] start: 3.197 -1.037 3.142
INFO [ParseReceivedData][1993] end: -1.117 -1.485 1.537
INFO [HybridAStarPlan][2220] -------------------1-------------------
INFO [RSCurveQuickCalTraj][1197] RS cal time: 0.516ms
INFO [HybridAStarPlan][2231] 1_result: 1   (31)
INFO [HybridAStarPlan][2298] path send success 32
INFO [HybridAStarPlan][2315] traj: [0]	 x:3.197	 y:-1.037	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [1]	 x:2.897	 y:-1.037	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [2]	 x:2.597	 y:-1.037	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [3]	 x:2.297	 y:-1.037	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [4]	 x:1.997	 y:-1.036	 phi:178.806
INFO [HybridAStarPlan][2315] traj: [5]	 x:1.697	 y:-1.020	 phi:175.086
INFO [HybridAStarPlan][2315] traj: [6]	 x:1.400	 y:-0.985	 phi:171.367
INFO [HybridAStarPlan][2315] traj: [7]	 x:1.105	 y:-0.930	 phi:167.648
INFO [HybridAStarPlan][2315] traj: [8]	 x:0.814	 y:-0.856	 phi:163.929
INFO [HybridAStarPlan][2315] traj: [9]	 x:0.529	 y:-0.764	 phi:160.210
INFO [HybridAStarPlan][2315] traj: [10]	 x:0.250	 y:-0.653	 phi:156.490
INFO [HybridAStarPlan][2315] traj: [11]	 x:-0.021	 y:-0.525	 phi:152.771
INFO [HybridAStarPlan][2315] traj: [12]	 x:-0.283	 y:-0.379	 phi:149.052
INFO [HybridAStarPlan][2315] traj: [13]	 x:-0.535	 y:-0.217	 phi:145.333
INFO [HybridAStarPlan][2315] traj: [14]	 x:-0.777	 y:-0.038	 phi:141.614
INFO [HybridAStarPlan][2315] traj: [15]	 x:-1.005	 y:0.156	 phi:137.894
INFO [HybridAStarPlan][2315] traj: [16]	 x:-1.221	 y:0.364	 phi:134.175
INFO [HybridAStarPlan][2315] traj: [17]	 x:-1.423	 y:0.586	 phi:130.456
INFO [HybridAStarPlan][2315] traj: [18]	 x:-1.610	 y:0.820	 phi:126.737
INFO [HybridAStarPlan][2315] traj: [19]	 x:-1.782	 y:1.066	 phi:123.018
INFO [HybridAStarPlan][2315] traj: [20]	 x:-1.947	 y:1.317	 phi:124.932
INFO [HybridAStarPlan][2315] traj: [21]	 x:-1.783	 y:1.066	 phi:121.213
INFO [HybridAStarPlan][2315] traj: [22]	 x:-1.636	 y:0.804	 phi:117.494
INFO [HybridAStarPlan][2315] traj: [23]	 x:-1.506	 y:0.534	 phi:113.775
INFO [HybridAStarPlan][2315] traj: [24]	 x:-1.394	 y:0.256	 phi:110.055
INFO [HybridAStarPlan][2315] traj: [25]	 x:-1.300	 y:-0.029	 phi:106.336
INFO [HybridAStarPlan][2315] traj: [26]	 x:-1.225	 y:-0.320	 phi:102.617
INFO [HybridAStarPlan][2315] traj: [27]	 x:-1.169	 y:-0.614	 phi:98.898
INFO [HybridAStarPlan][2315] traj: [28]	 x:-1.133	 y:-0.912	 phi:95.179
INFO [HybridAStarPlan][2315] traj: [29]	 x:-1.115	 y:-1.212	 phi:91.459
INFO [HybridAStarPlan][2315] traj: [30]	 x:-1.117	 y:-1.485	 phi:88.069

