Received data from command line argument, length: 708
<<<<<<<<<<<<<<<<  ID: 45d1ef29c953  <<<<<<<<<<<<<<<<
INFO [ParseReceivedData][1838] plan_cnt: 1
INFO [ParseReceivedData][1840] xybounds: xmin: -9  xmax: 5  ymin: -5  ymax: 9
INFO [ParseReceivedData][1841] radarnums: 0  sidenums:0
INFO [ParseReceivedData][1842] endpos_correct_flag: 0
INFO [ParseReceivedData][1875] oblslot[6]: -0.730, 1.453
INFO [ParseReceivedData][1875] oblslot[6]: -0.730, 0.453
INFO [ParseReceivedData][1875] oblslot[6]: 4.960, 0.453
INFO [ParseReceivedData][1875] oblslot[6]: 4.960, -5.087
INFO [ParseReceivedData][1875] oblslot[6]: 0.865, -5.087
INFO [ParseReceivedData][1875] oblslot[6]: 0.865, -5.587
INFO [ParseReceivedData][1990] slot_type: 3
INFO [ParseReceivedData][1991] target_dir: 0
INFO [ParseReceivedData][1992] start: 3.697 -1.212 3.134
INFO [ParseReceivedData][1993] end: -0.486 -1.009 2.903
INFO [HybridAStarPlan][2220] -------------------1-------------------
INFO [RSCurveQuickCalTraj][1197] RS cal time: 1.019ms
INFO [HybridAStarPlan][2231] 1_result: 1   (31)
INFO [HybridAStarPlan][2298] path send success 33
INFO [HybridAStarPlan][2315] traj: [0]	 x:2.697	 y:-1.205	 phi:179.571
INFO [HybridAStarPlan][2315] traj: [1]	 x:2.997	 y:-1.207	 phi:179.571
INFO [HybridAStarPlan][2315] traj: [2]	 x:3.297	 y:-1.208	 phi:-179.971
INFO [HybridAStarPlan][2315] traj: [3]	 x:2.997	 y:-1.207	 phi:179.332
INFO [HybridAStarPlan][2315] traj: [4]	 x:2.697	 y:-1.201	 phi:178.633
INFO [HybridAStarPlan][2315] traj: [5]	 x:2.397	 y:-1.192	 phi:177.935
INFO [HybridAStarPlan][2315] traj: [6]	 x:2.098	 y:-1.180	 phi:177.237
INFO [HybridAStarPlan][2315] traj: [7]	 x:1.798	 y:-1.163	 phi:176.539
INFO [HybridAStarPlan][2315] traj: [8]	 x:1.499	 y:-1.143	 phi:175.841
INFO [HybridAStarPlan][2315] traj: [9]	 x:1.200	 y:-1.120	 phi:175.143
INFO [HybridAStarPlan][2315] traj: [10]	 x:0.901	 y:-1.093	 phi:174.445
INFO [HybridAStarPlan][2315] traj: [11]	 x:0.602	 y:-1.062	 phi:173.747
INFO [HybridAStarPlan][2315] traj: [12]	 x:0.304	 y:-1.027	 phi:173.049
INFO [HybridAStarPlan][2315] traj: [13]	 x:0.007	 y:-0.989	 phi:172.350
INFO [HybridAStarPlan][2315] traj: [14]	 x:-0.290	 y:-0.947	 phi:171.652
INFO [HybridAStarPlan][2315] traj: [15]	 x:-0.587	 y:-0.902	 phi:170.954
INFO [HybridAStarPlan][2315] traj: [16]	 x:-0.883	 y:-0.853	 phi:170.256
INFO [HybridAStarPlan][2315] traj: [17]	 x:-1.178	 y:-0.800	 phi:169.558
INFO [HybridAStarPlan][2315] traj: [18]	 x:-1.473	 y:-0.744	 phi:168.860
INFO [HybridAStarPlan][2315] traj: [19]	 x:-1.767	 y:-0.685	 phi:168.162
INFO [HybridAStarPlan][2315] traj: [20]	 x:-2.060	 y:-0.621	 phi:167.464
INFO [HybridAStarPlan][2315] traj: [21]	 x:-2.352	 y:-0.554	 phi:166.766
INFO [HybridAStarPlan][2315] traj: [22]	 x:-2.644	 y:-0.484	 phi:166.318
INFO [HybridAStarPlan][2315] traj: [23]	 x:-2.353	 y:-0.555	 phi:166.318
INFO [HybridAStarPlan][2315] traj: [24]	 x:-2.061	 y:-0.626	 phi:166.318
INFO [HybridAStarPlan][2315] traj: [25]	 x:-1.770	 y:-0.697	 phi:166.318
INFO [HybridAStarPlan][2315] traj: [26]	 x:-1.478	 y:-0.768	 phi:166.318
INFO [HybridAStarPlan][2315] traj: [27]	 x:-1.187	 y:-0.839	 phi:166.318
INFO [HybridAStarPlan][2315] traj: [28]	 x:-0.895	 y:-0.910	 phi:166.318
INFO [HybridAStarPlan][2315] traj: [29]	 x:-0.604	 y:-0.981	 phi:166.318
INFO [HybridAStarPlan][2315] traj: [30]	 x:-0.486	 y:-1.009	 phi:166.318

