Received data from command line argument, length: 644
<<<<<<<<<<<<<<<<  ID: d6a75be2cd63  <<<<<<<<<<<<<<<<
INFO [ParseReceivedData][1838] plan_cnt: 1
INFO [ParseReceivedData][1840] xybounds: xmin: -9  xmax: 5  ymin: -5  ymax: 9
INFO [ParseReceivedData][1841] radarnums: 0  sidenums:0
INFO [ParseReceivedData][1842] endpos_correct_flag: 0
INFO [ParseReceivedData][1875] oblslot[6]: -1.424, 1.319
INFO [ParseReceivedData][1875] oblslot[6]: -1.424, 0.319
INFO [ParseReceivedData][1875] oblslot[6]: 4.960, 0.319
INFO [ParseReceivedData][1875] oblslot[6]: 4.960, -2.757
INFO [ParseReceivedData][1875] oblslot[6]: 1.523, -2.757
INFO [ParseReceivedData][1875] oblslot[6]: 1.523, -3.257
INFO [ParseReceivedData][1990] slot_type: 3
INFO [ParseReceivedData][1991] target_dir: 1
INFO [ParseReceivedData][1992] start: 3.197 -1.266 3.159
INFO [ParseReceivedData][1993] end: -2.942 -1.315 2.275
INFO [HybridAStarPlan][2220] -------------------1-------------------
INFO [OneCircleToEndPosLineCalTraj][1534] CE cal time: 0.013ms
INFO [HybridAStarPlan][2225] 0_result: 0   (0)
INFO [RSCurveQuickCalTraj][1197] RS cal time: 0.893ms
INFO [HybridAStarPlan][2231] 1_result: 0   (0)
INFO [GenerateDpMap][194] map explored node: 3135
INFO [Plan][681] map time: 60ms
INFO [Plan][746] explored_node_num:145
INFO [Plan][747] heuristic time is 2.207ms.
INFO [Plan][748] reed shepp time is 2.297ms.
INFO [Plan][749] total time: 71ms
INFO [HybridAStarPlan][2243] 2_result: 1   (32)
INFO [HybridAStarPlan][2298] path send success 34
INFO [HybridAStarPlan][2315] traj: [0]	 x:3.197	 y:-1.266	 phi:181.003
INFO [HybridAStarPlan][2315] traj: [1]	 x:2.897	 y:-1.271	 phi:177.284
INFO [HybridAStarPlan][2315] traj: [2]	 x:2.597	 y:-1.257	 phi:176.611
INFO [HybridAStarPlan][2315] traj: [3]	 x:2.298	 y:-1.239	 phi:-177.539
INFO [HybridAStarPlan][2315] traj: [4]	 x:1.998	 y:-1.252	 phi:-178.212
INFO [HybridAStarPlan][2315] traj: [5]	 x:1.698	 y:-1.261	 phi:178.069
INFO [HybridAStarPlan][2315] traj: [6]	 x:1.399	 y:-1.251	 phi:-179.847
INFO [HybridAStarPlan][2315] traj: [7]	 x:1.099	 y:-1.252	 phi:-177.764
INFO [HybridAStarPlan][2315] traj: [8]	 x:0.799	 y:-1.264	 phi:-178.436
INFO [HybridAStarPlan][2315] traj: [9]	 x:0.499	 y:-1.272	 phi:-179.109
INFO [HybridAStarPlan][2315] traj: [10]	 x:0.199	 y:-1.276	 phi:-179.782
INFO [HybridAStarPlan][2315] traj: [11]	 x:-0.101	 y:-1.278	 phi:-177.698
INFO [HybridAStarPlan][2315] traj: [12]	 x:-0.401	 y:-1.290	 phi:-171.848
INFO [HybridAStarPlan][2315] traj: [13]	 x:-0.698	 y:-1.332	 phi:-165.998
INFO [HybridAStarPlan][2315] traj: [14]	 x:-0.991	 y:-1.395	 phi:-169.717
INFO [HybridAStarPlan][2315] traj: [15]	 x:-1.288	 y:-1.439	 phi:-173.437
INFO [HybridAStarPlan][2315] traj: [16]	 x:-1.587	 y:-1.464	 phi:-177.156
INFO [HybridAStarPlan][2315] traj: [17]	 x:-1.887	 y:-1.469	 phi:179.125
INFO [HybridAStarPlan][2315] traj: [18]	 x:-2.186	 y:-1.455	 phi:175.406
INFO [HybridAStarPlan][2315] traj: [19]	 x:-2.484	 y:-1.421	 phi:171.687
INFO [HybridAStarPlan][2315] traj: [20]	 x:-2.779	 y:-1.368	 phi:167.968
INFO [HybridAStarPlan][2315] traj: [21]	 x:-3.071	 y:-1.296	 phi:164.249
INFO [HybridAStarPlan][2315] traj: [22]	 x:-3.356	 y:-1.205	 phi:160.529
INFO [HybridAStarPlan][2315] traj: [23]	 x:-3.636	 y:-1.096	 phi:157.463
INFO [HybridAStarPlan][2315] traj: [24]	 x:-3.363	 y:-1.220	 phi:153.743
INFO [HybridAStarPlan][2315] traj: [25]	 x:-3.098	 y:-1.361	 phi:150.024
INFO [HybridAStarPlan][2315] traj: [26]	 x:-2.843	 y:-1.520	 phi:146.305
INFO [HybridAStarPlan][2315] traj: [27]	 x:-2.599	 y:-1.694	 phi:142.586
INFO [HybridAStarPlan][2315] traj: [28]	 x:-2.367	 y:-1.883	 phi:140.386
INFO [HybridAStarPlan][2315] traj: [29]	 x:-2.591	 y:-1.685	 phi:136.667
INFO [HybridAStarPlan][2315] traj: [30]	 x:-2.803	 y:-1.472	 phi:132.947
INFO [HybridAStarPlan][2315] traj: [31]	 x:-2.942	 y:-1.315	 phi:130.348

