Received data from command line argument, length: 614
<<<<<<<<<<<<<<<<  ID: a3899b268b07  <<<<<<<<<<<<<<<<
INFO [ParseReceivedData][1838] plan_cnt: 1
INFO [ParseReceivedData][1840] xybounds: xmin: -9  xmax: 5  ymin: -5  ymax: 9
INFO [ParseReceivedData][1841] radarnums: 0  sidenums:0
INFO [ParseReceivedData][1842] endpos_correct_flag: 0
INFO [ParseReceivedData][1875] oblslot[6]: -1.000, 1.964
INFO [ParseReceivedData][1875] oblslot[6]: -1.000, 0.964
INFO [ParseReceivedData][1875] oblslot[6]: 4.960, 0.964
INFO [ParseReceivedData][1875] oblslot[6]: 4.960, -3.559
INFO [ParseReceivedData][1875] oblslot[6]: 1.514, -3.559
INFO [ParseReceivedData][1875] oblslot[6]: 1.514, -4.059
INFO [ParseReceivedData][1990] slot_type: 3
INFO [ParseReceivedData][1991] target_dir: 1
INFO [ParseReceivedData][1992] start: 3.197 -1.263 3.152
INFO [ParseReceivedData][1993] end: -5.280 2.774 2.112
INFO [HybridAStarPlan][2220] -------------------1-------------------
INFO [OneCircleToEndPosLineCalTraj][1534] CE cal time: 0.013ms
INFO [HybridAStarPlan][2225] 0_result: 0   (0)
INFO [RSCurveQuickCalTraj][1197] RS cal time: 0.461ms
INFO [HybridAStarPlan][2231] 1_result: 1   (29)
INFO [HybridAStarPlan][2298] path send success 30
INFO [HybridAStarPlan][2315] traj: [0]	 x:-0.803	 y:-1.306	 phi:-179.375
INFO [HybridAStarPlan][2315] traj: [1]	 x:-0.503	 y:-1.303	 phi:-179.375
INFO [HybridAStarPlan][2315] traj: [2]	 x:-0.203	 y:-1.300	 phi:-179.375
INFO [HybridAStarPlan][2315] traj: [3]	 x:0.096	 y:-1.289	 phi:-176.113
INFO [HybridAStarPlan][2315] traj: [4]	 x:-0.203	 y:-1.300	 phi:-179.832
INFO [HybridAStarPlan][2315] traj: [5]	 x:-0.503	 y:-1.291	 phi:176.449
INFO [HybridAStarPlan][2315] traj: [6]	 x:-0.802	 y:-1.263	 phi:172.730
INFO [HybridAStarPlan][2315] traj: [7]	 x:-1.098	 y:-1.215	 phi:169.011
INFO [HybridAStarPlan][2315] traj: [8]	 x:-1.390	 y:-1.148	 phi:165.292
INFO [HybridAStarPlan][2315] traj: [9]	 x:-1.678	 y:-1.063	 phi:161.573
INFO [HybridAStarPlan][2315] traj: [10]	 x:-1.959	 y:-0.959	 phi:157.853
INFO [HybridAStarPlan][2315] traj: [11]	 x:-2.233	 y:-0.837	 phi:154.134
INFO [HybridAStarPlan][2315] traj: [12]	 x:-2.499	 y:-0.697	 phi:150.415
INFO [HybridAStarPlan][2315] traj: [13]	 x:-2.755	 y:-0.541	 phi:146.696
INFO [HybridAStarPlan][2315] traj: [14]	 x:-3.000	 y:-0.368	 phi:142.977
INFO [HybridAStarPlan][2315] traj: [15]	 x:-3.233	 y:-0.180	 phi:139.257
INFO [HybridAStarPlan][2315] traj: [16]	 x:-3.454	 y:0.023	 phi:135.538
INFO [HybridAStarPlan][2315] traj: [17]	 x:-3.661	 y:0.240	 phi:131.819
INFO [HybridAStarPlan][2315] traj: [18]	 x:-3.854	 y:0.470	 phi:128.100
INFO [HybridAStarPlan][2315] traj: [19]	 x:-4.031	 y:0.712	 phi:124.381
INFO [HybridAStarPlan][2315] traj: [20]	 x:-4.193	 y:0.965	 phi:121.003
INFO [HybridAStarPlan][2315] traj: [21]	 x:-4.347	 y:1.222	 phi:121.003
INFO [HybridAStarPlan][2315] traj: [22]	 x:-4.502	 y:1.479	 phi:121.003
INFO [HybridAStarPlan][2315] traj: [23]	 x:-4.656	 y:1.736	 phi:121.003
INFO [HybridAStarPlan][2315] traj: [24]	 x:-4.811	 y:1.994	 phi:121.003
INFO [HybridAStarPlan][2315] traj: [25]	 x:-4.965	 y:2.251	 phi:121.003
INFO [HybridAStarPlan][2315] traj: [26]	 x:-5.120	 y:2.508	 phi:121.003
INFO [HybridAStarPlan][2315] traj: [27]	 x:-5.274	 y:2.765	 phi:121.003
INFO [HybridAStarPlan][2315] traj: [28]	 x:-5.280	 y:2.774	 phi:121.003

