Received data from command line argument, length: 793
<<<<<<<<<<<<<<<<  ID: e8b78a291c3c  <<<<<<<<<<<<<<<<
INFO [ParseReceivedData][1838] plan_cnt: 2
INFO [ParseReceivedData][1840] xybounds: xmin: -9  xmax: 5  ymin: -5  ymax: 9
INFO [ParseReceivedData][1841] radarnums: 0  sidenums:0
INFO [ParseReceivedData][1842] endpos_correct_flag: 0
INFO [ParseReceivedData][1875] oblslot[6]: -1.165, 1.215
INFO [ParseReceivedData][1875] oblslot[6]: -1.165, 0.215
INFO [ParseReceivedData][1875] oblslot[6]: 4.960, 0.215
INFO [ParseReceivedData][1875] oblslot[6]: 4.960, -3.667
INFO [ParseReceivedData][1875] oblslot[6]: 1.562, -3.667
INFO [ParseReceivedData][1875] oblslot[6]: 1.562, -4.167
INFO [ParseReceivedData][1990] slot_type: 3
INFO [ParseReceivedData][1991] target_dir: 0
INFO [ParseReceivedData][1992] start: 3.698 -1.448 3.135
INFO [ParseReceivedData][1993] end: -0.478 -1.288 3.007
INFO [HybridAStarPlan][2220] -------------------1-------------------
INFO [RSCurveQuickCalTraj][1197] RS cal time: 1.226ms
INFO [HybridAStarPlan][2231] 1_result: 1   (18)
INFO [HybridAStarPlan][2298] path send success 20
INFO [HybridAStarPlan][2315] traj: [0]	 x:1.698	 y:-1.435	 phi:179.617
INFO [HybridAStarPlan][2315] traj: [1]	 x:1.998	 y:-1.437	 phi:179.617
INFO [HybridAStarPlan][2315] traj: [2]	 x:2.298	 y:-1.438	 phi:-179.990
INFO [HybridAStarPlan][2315] traj: [3]	 x:1.998	 y:-1.437	 phi:179.312
INFO [HybridAStarPlan][2315] traj: [4]	 x:1.698	 y:-1.431	 phi:178.614
INFO [HybridAStarPlan][2315] traj: [5]	 x:1.398	 y:-1.422	 phi:177.916
INFO [HybridAStarPlan][2315] traj: [6]	 x:1.099	 y:-1.409	 phi:177.218
INFO [HybridAStarPlan][2315] traj: [7]	 x:0.799	 y:-1.393	 phi:176.519
INFO [HybridAStarPlan][2315] traj: [8]	 x:0.500	 y:-1.373	 phi:175.821
INFO [HybridAStarPlan][2315] traj: [9]	 x:0.201	 y:-1.349	 phi:175.123
INFO [HybridAStarPlan][2315] traj: [10]	 x:-0.098	 y:-1.322	 phi:174.425
INFO [HybridAStarPlan][2315] traj: [11]	 x:-0.396	 y:-1.291	 phi:173.727
INFO [HybridAStarPlan][2315] traj: [12]	 x:-0.694	 y:-1.256	 phi:173.029
INFO [HybridAStarPlan][2315] traj: [13]	 x:-0.992	 y:-1.218	 phi:172.331
INFO [HybridAStarPlan][2315] traj: [14]	 x:-1.289	 y:-1.178	 phi:172.294
INFO [HybridAStarPlan][2315] traj: [15]	 x:-0.992	 y:-1.218	 phi:172.294
INFO [HybridAStarPlan][2315] traj: [16]	 x:-0.695	 y:-1.258	 phi:172.294
INFO [HybridAStarPlan][2315] traj: [17]	 x:-0.478	 y:-1.288	 phi:172.294

