Received data from command line argument, length: 693
<<<<<<<<<<<<<<<<  ID: 57124e9a82f9  <<<<<<<<<<<<<<<<
INFO [ParseReceivedData][1838] plan_cnt: 2
INFO [ParseReceivedData][1840] xybounds: xmin: -9  xmax: 5  ymin: -5  ymax: 9
INFO [ParseReceivedData][1841] radarnums: 0  sidenums:0
INFO [ParseReceivedData][1842] endpos_correct_flag: 0
INFO [ParseReceivedData][1875] oblslot[6]: -1.215, 1.281
INFO [ParseReceivedData][1875] oblslot[6]: -1.215, 0.281
INFO [ParseReceivedData][1875] oblslot[6]: 5.006, 0.281
INFO [ParseReceivedData][1875] oblslot[6]: 5.027, -3.595
INFO [ParseReceivedData][1875] oblslot[6]: 1.616, -3.595
INFO [ParseReceivedData][1875] oblslot[6]: 1.616, -4.095
INFO [ParseReceivedData][1990] slot_type: 3
INFO [ParseReceivedData][1991] target_dir: 0
INFO [ParseReceivedData][1992] start: 3.696 -1.209 3.150
INFO [ParseReceivedData][1993] end: -0.479 -1.238 2.969
INFO [HybridAStarPlan][2220] -------------------1-------------------
INFO [RSCurveQuickCalTraj][1197] RS cal time: 0.623ms
INFO [HybridAStarPlan][2231] 1_result: 1   (17)
INFO [HybridAStarPlan][2298] path send success 18
INFO [HybridAStarPlan][2315] traj: [0]	 x:3.696	 y:-1.209	 phi:-179.507
INFO [HybridAStarPlan][2315] traj: [1]	 x:3.996	 y:-1.203	 phi:-178.754
INFO [HybridAStarPlan][2315] traj: [2]	 x:3.697	 y:-1.214	 phi:-177.136
INFO [HybridAStarPlan][2315] traj: [3]	 x:3.397	 y:-1.233	 phi:-175.421
INFO [HybridAStarPlan][2315] traj: [4]	 x:3.098	 y:-1.260	 phi:-174.775
INFO [HybridAStarPlan][2315] traj: [5]	 x:2.800	 y:-1.287	 phi:-174.775
INFO [HybridAStarPlan][2315] traj: [6]	 x:2.501	 y:-1.315	 phi:-174.775
INFO [HybridAStarPlan][2315] traj: [7]	 x:2.202	 y:-1.342	 phi:-174.775
INFO [HybridAStarPlan][2315] traj: [8]	 x:1.903	 y:-1.366	 phi:-176.231
INFO [HybridAStarPlan][2315] traj: [9]	 x:1.603	 y:-1.381	 phi:-177.946
INFO [HybridAStarPlan][2315] traj: [10]	 x:1.304	 y:-1.388	 phi:-179.662
INFO [HybridAStarPlan][2315] traj: [11]	 x:1.004	 y:-1.385	 phi:178.623
INFO [HybridAStarPlan][2315] traj: [12]	 x:0.704	 y:-1.373	 phi:176.908
INFO [HybridAStarPlan][2315] traj: [13]	 x:0.405	 y:-1.352	 phi:175.193
INFO [HybridAStarPlan][2315] traj: [14]	 x:0.106	 y:-1.323	 phi:173.478
INFO [HybridAStarPlan][2315] traj: [15]	 x:-0.191	 y:-1.284	 phi:171.763
INFO [HybridAStarPlan][2315] traj: [16]	 x:-0.479	 y:-1.238	 phi:170.100

