Received data from command line argument, length: 712
<<<<<<<<<<<<<<<<  ID: a1116d03aa46  <<<<<<<<<<<<<<<<
INFO [ParseReceivedData][1838] plan_cnt: 0
INFO [ParseReceivedData][1840] xybounds: xmin: -6  xmax: 3  ymin: -8  ymax: 8
INFO [ParseReceivedData][1841] radarnums: 0  sidenums:0
INFO [ParseReceivedData][1842] endpos_correct_flag: 0
INFO [ParseReceivedData][1875] oblslot[6]: -0.100, 3.200
INFO [ParseReceivedData][1875] oblslot[6]: -0.100, 1.200
INFO [ParseReceivedData][1875] oblslot[6]: 2.747, 1.200
INFO [ParseReceivedData][1875] oblslot[6]: 2.747, -7.178
INFO [ParseReceivedData][1875] oblslot[6]: 0.200, -7.178
INFO [ParseReceivedData][1875] oblslot[6]: 0.200, -9.178
INFO [ParseReceivedData][1990] slot_type: 0
INFO [ParseReceivedData][1991] target_dir: 0
INFO [ParseReceivedData][1992] start: 1.272 -4.815 1.571
INFO [ParseReceivedData][1993] end: -1.520 -4.016 1.539
INFO [HybridAStarPlan][2220] -------------------1-------------------
INFO [RSCurveQuickCalTraj][1197] RS cal time: 0.013ms
INFO [HybridAStarPlan][2231] 1_result: 0   (0)
INFO [GenerateDpMap][194] map explored node: 2045
INFO [Plan][681] map time: 43ms
INFO [Plan][746] explored_node_num:272
INFO [Plan][747] heuristic time is 4.331ms.
INFO [Plan][748] reed shepp time is 5.696ms.
INFO [Plan][749] total time: 68ms
INFO [HybridAStarPlan][2243] 2_result: 1   (33)
INFO [HybridAStarPlan][2298] path send success 34
INFO [HybridAStarPlan][2315] traj: [0]	 x:1.272	 y:-4.815	 phi:90.000
INFO [HybridAStarPlan][2315] traj: [1]	 x:1.272	 y:-4.515	 phi:95.850
INFO [HybridAStarPlan][2315] traj: [2]	 x:1.241	 y:-4.217	 phi:101.700
INFO [HybridAStarPlan][2315] traj: [3]	 x:1.181	 y:-3.923	 phi:107.550
INFO [HybridAStarPlan][2315] traj: [4]	 x:1.090	 y:-3.637	 phi:113.400
INFO [HybridAStarPlan][2315] traj: [5]	 x:0.971	 y:-3.361	 phi:119.250
INFO [HybridAStarPlan][2315] traj: [6]	 x:0.824	 y:-3.100	 phi:125.100
INFO [HybridAStarPlan][2315] traj: [7]	 x:0.652	 y:-2.854	 phi:130.950
INFO [HybridAStarPlan][2315] traj: [8]	 x:0.455	 y:-2.628	 phi:136.800
INFO [HybridAStarPlan][2315] traj: [9]	 x:0.237	 y:-2.422	 phi:142.649
INFO [HybridAStarPlan][2315] traj: [10]	 x:-0.002	 y:-2.240	 phi:148.499
INFO [HybridAStarPlan][2315] traj: [11]	 x:-0.252	 y:-2.075	 phi:144.780
INFO [HybridAStarPlan][2315] traj: [12]	 x:-0.492	 y:-1.894	 phi:141.061
INFO [HybridAStarPlan][2315] traj: [13]	 x:-0.719	 y:-1.699	 phi:137.342
INFO [HybridAStarPlan][2315] traj: [14]	 x:-0.933	 y:-1.488	 phi:133.623
INFO [HybridAStarPlan][2315] traj: [15]	 x:-1.132	 y:-1.264	 phi:129.903
INFO [HybridAStarPlan][2315] traj: [16]	 x:-1.317	 y:-1.028	 phi:126.184
INFO [HybridAStarPlan][2315] traj: [17]	 x:-1.486	 y:-0.781	 phi:122.465
INFO [HybridAStarPlan][2315] traj: [18]	 x:-1.639	 y:-0.522	 phi:118.746
INFO [HybridAStarPlan][2315] traj: [19]	 x:-1.775	 y:-0.255	 phi:115.579
INFO [HybridAStarPlan][2315] traj: [20]	 x:-1.654	 y:-0.530	 phi:111.860
INFO [HybridAStarPlan][2315] traj: [21]	 x:-1.552	 y:-0.812	 phi:107.883
INFO [HybridAStarPlan][2315] traj: [22]	 x:-1.470	 y:-1.100	 phi:103.905
INFO [HybridAStarPlan][2315] traj: [23]	 x:-1.408	 y:-1.394	 phi:99.928
INFO [HybridAStarPlan][2315] traj: [24]	 x:-1.367	 y:-1.691	 phi:95.951
INFO [HybridAStarPlan][2315] traj: [25]	 x:-1.346	 y:-1.990	 phi:91.973
INFO [HybridAStarPlan][2315] traj: [26]	 x:-1.346	 y:-2.290	 phi:87.996
INFO [HybridAStarPlan][2315] traj: [27]	 x:-1.367	 y:-2.589	 phi:84.018
INFO [HybridAStarPlan][2315] traj: [28]	 x:-1.402	 y:-2.887	 phi:83.236
INFO [HybridAStarPlan][2315] traj: [29]	 x:-1.437	 y:-3.185	 phi:83.236
INFO [HybridAStarPlan][2315] traj: [30]	 x:-1.473	 y:-3.483	 phi:83.236
INFO [HybridAStarPlan][2315] traj: [31]	 x:-1.506	 y:-3.781	 phi:85.048
INFO [HybridAStarPlan][2315] traj: [32]	 x:-1.520	 y:-4.016	 phi:88.173

