Received data from command line argument, length: 1004
<<<<<<<<<<<<<<<<  ID: 9334da3768c7  <<<<<<<<<<<<<<<<
INFO [ParseReceivedData][1838] plan_cnt: 0
INFO [ParseReceivedData][1840] xybounds: xmin: -6  xmax: 3  ymin: -8  ymax: 8
INFO [ParseReceivedData][1841] radarnums: 0  sidenums:0
INFO [ParseReceivedData][1842] endpos_correct_flag: 0
INFO [ParseReceivedData][1875] oblslot[6]: -0.100, 4.800
INFO [ParseReceivedData][1875] oblslot[6]: -0.100, 2.800
INFO [ParseReceivedData][1875] oblslot[6]: 2.687, 2.800
INFO [ParseReceivedData][1875] oblslot[6]: 2.683, -7.107
INFO [ParseReceivedData][1875] oblslot[6]: 0.200, -7.107
INFO [ParseReceivedData][1875] oblslot[6]: 0.200, -9.107
INFO [ParseReceivedData][1990] slot_type: 0
INFO [ParseReceivedData][1991] target_dir: 0
INFO [ParseReceivedData][1992] start: 1.242 -4.780 1.571
INFO [ParseReceivedData][1993] end: -1.714 -4.854 1.551
INFO [HybridAStarPlan][2220] -------------------1-------------------
INFO [RSCurveQuickCalTraj][1197] RS cal time: 0.014ms
INFO [HybridAStarPlan][2231] 1_result: 0   (0)
INFO [GenerateDpMap][194] map explored node: 2045
INFO [Plan][681] map time: 44ms
INFO [Plan][746] explored_node_num:260
INFO [Plan][747] heuristic time is 4.179ms.
INFO [Plan][748] reed shepp time is 5.657ms.
INFO [Plan][749] total time: 67ms
INFO [HybridAStarPlan][2243] 2_result: 1   (49)
INFO [HybridAStarPlan][2298] path send success 50
INFO [HybridAStarPlan][2315] traj: [0]	 x:1.242	 y:-4.780	 phi:90.000
INFO [HybridAStarPlan][2315] traj: [1]	 x:1.242	 y:-4.480	 phi:95.850
INFO [HybridAStarPlan][2315] traj: [2]	 x:1.211	 y:-4.182	 phi:101.700
INFO [HybridAStarPlan][2315] traj: [3]	 x:1.151	 y:-3.888	 phi:107.550
INFO [HybridAStarPlan][2315] traj: [4]	 x:1.060	 y:-3.602	 phi:113.400
INFO [HybridAStarPlan][2315] traj: [5]	 x:0.941	 y:-3.326	 phi:119.250
INFO [HybridAStarPlan][2315] traj: [6]	 x:0.794	 y:-3.065	 phi:118.577
INFO [HybridAStarPlan][2315] traj: [7]	 x:0.651	 y:-2.801	 phi:114.858
INFO [HybridAStarPlan][2315] traj: [8]	 x:0.525	 y:-2.529	 phi:120.708
INFO [HybridAStarPlan][2315] traj: [9]	 x:0.363	 y:-2.277	 phi:124.685
INFO [HybridAStarPlan][2315] traj: [10]	 x:0.191	 y:-2.031	 phi:125.037
INFO [HybridAStarPlan][2315] traj: [11]	 x:0.018	 y:-1.785	 phi:125.037
INFO [HybridAStarPlan][2315] traj: [12]	 x:-0.154	 y:-1.540	 phi:125.037
INFO [HybridAStarPlan][2315] traj: [13]	 x:-0.326	 y:-1.294	 phi:125.037
INFO [HybridAStarPlan][2315] traj: [14]	 x:-0.498	 y:-1.048	 phi:125.037
INFO [HybridAStarPlan][2315] traj: [15]	 x:-0.671	 y:-0.803	 phi:125.037
INFO [HybridAStarPlan][2315] traj: [16]	 x:-0.842	 y:-0.557	 phi:123.975
INFO [HybridAStarPlan][2315] traj: [17]	 x:-1.001	 y:-0.302	 phi:119.998
INFO [HybridAStarPlan][2315] traj: [18]	 x:-1.142	 y:-0.037	 phi:116.020
INFO [HybridAStarPlan][2315] traj: [19]	 x:-1.264	 y:0.236	 phi:112.043
INFO [HybridAStarPlan][2315] traj: [20]	 x:-1.367	 y:0.518	 phi:108.065
INFO [HybridAStarPlan][2315] traj: [21]	 x:-1.450	 y:0.806	 phi:104.088
INFO [HybridAStarPlan][2315] traj: [22]	 x:-1.513	 y:1.100	 phi:100.111
INFO [HybridAStarPlan][2315] traj: [23]	 x:-1.555	 y:1.397	 phi:96.133
INFO [HybridAStarPlan][2315] traj: [24]	 x:-1.577	 y:1.696	 phi:92.156
INFO [HybridAStarPlan][2315] traj: [25]	 x:-1.579	 y:1.944	 phi:88.866
INFO [HybridAStarPlan][2315] traj: [26]	 x:-1.585	 y:1.644	 phi:88.866
INFO [HybridAStarPlan][2315] traj: [27]	 x:-1.591	 y:1.344	 phi:88.866
INFO [HybridAStarPlan][2315] traj: [28]	 x:-1.597	 y:1.044	 phi:88.866
INFO [HybridAStarPlan][2315] traj: [29]	 x:-1.603	 y:0.744	 phi:88.866
INFO [HybridAStarPlan][2315] traj: [30]	 x:-1.609	 y:0.444	 phi:88.866
INFO [HybridAStarPlan][2315] traj: [31]	 x:-1.615	 y:0.144	 phi:88.866
INFO [HybridAStarPlan][2315] traj: [32]	 x:-1.621	 y:-0.156	 phi:88.866
INFO [HybridAStarPlan][2315] traj: [33]	 x:-1.627	 y:-0.456	 phi:88.866
INFO [HybridAStarPlan][2315] traj: [34]	 x:-1.633	 y:-0.756	 phi:88.866
INFO [HybridAStarPlan][2315] traj: [35]	 x:-1.638	 y:-1.056	 phi:88.866
INFO [HybridAStarPlan][2315] traj: [36]	 x:-1.644	 y:-1.355	 phi:88.866
INFO [HybridAStarPlan][2315] traj: [37]	 x:-1.650	 y:-1.655	 phi:88.866
INFO [HybridAStarPlan][2315] traj: [38]	 x:-1.656	 y:-1.955	 phi:88.866
INFO [HybridAStarPlan][2315] traj: [39]	 x:-1.662	 y:-2.255	 phi:88.866
INFO [HybridAStarPlan][2315] traj: [40]	 x:-1.668	 y:-2.555	 phi:88.866
INFO [HybridAStarPlan][2315] traj: [41]	 x:-1.674	 y:-2.855	 phi:88.866
INFO [HybridAStarPlan][2315] traj: [42]	 x:-1.680	 y:-3.155	 phi:88.866
INFO [HybridAStarPlan][2315] traj: [43]	 x:-1.686	 y:-3.455	 phi:88.866
INFO [HybridAStarPlan][2315] traj: [44]	 x:-1.692	 y:-3.755	 phi:88.866
INFO [HybridAStarPlan][2315] traj: [45]	 x:-1.698	 y:-4.055	 phi:88.866
INFO [HybridAStarPlan][2315] traj: [46]	 x:-1.704	 y:-4.355	 phi:88.866
INFO [HybridAStarPlan][2315] traj: [47]	 x:-1.710	 y:-4.655	 phi:88.866
INFO [HybridAStarPlan][2315] traj: [48]	 x:-1.714	 y:-4.854	 phi:88.866

