Received data from command line argument, length: 1315
<<<<<<<<<<<<<<<<  ID: 9778a6dcc5ef  <<<<<<<<<<<<<<<<
INFO [ParseReceivedData][1838] plan_cnt: 8
INFO [ParseReceivedData][1840] xybounds: xmin: -9  xmax: 5  ymin: -5  ymax: 9
INFO [ParseReceivedData][1841] radarnums: 0  sidenums:0
INFO [ParseReceivedData][1842] endpos_correct_flag: 0
INFO [ParseReceivedData][1875] oblslot[6]: 0.440, 1.204
INFO [ParseReceivedData][1875] oblslot[6]: 0.440, 0.204
INFO [ParseReceivedData][1875] oblslot[6]: 4.960, 0.204
INFO [ParseReceivedData][1875] oblslot[6]: 4.960, -2.823
INFO [ParseReceivedData][1875] oblslot[6]: 0.504, -2.823
INFO [ParseReceivedData][1875] oblslot[6]: 0.504, -3.323
INFO [ParseReceivedData][1990] slot_type: 3
INFO [ParseReceivedData][1991] target_dir: 1
INFO [ParseReceivedData][1992] start: 3.197 -1.227 3.139
INFO [ParseReceivedData][1993] end: -2.137 -2.245 3.384
INFO [HybridAStarPlan][2220] -------------------1-------------------
INFO [OneCircleToEndPosLineCalTraj][1534] CE cal time: 0.013ms
INFO [HybridAStarPlan][2225] 0_result: 0   (0)
INFO [RSCurveQuickCalTraj][1197] RS cal time: 0.589ms
INFO [HybridAStarPlan][2231] 1_result: 1   (22)
INFO [HybridAStarPlan][2298] path send success 23
INFO [HybridAStarPlan][2315] traj: [0]	 x:3.197	 y:-1.227	 phi:179.846
INFO [HybridAStarPlan][2315] traj: [1]	 x:3.497	 y:-1.229	 phi:178.812
INFO [HybridAStarPlan][2315] traj: [2]	 x:3.197	 y:-1.227	 phi:-179.570
INFO [HybridAStarPlan][2315] traj: [3]	 x:2.897	 y:-1.234	 phi:-177.951
INFO [HybridAStarPlan][2315] traj: [4]	 x:2.597	 y:-1.249	 phi:-176.333
INFO [HybridAStarPlan][2315] traj: [5]	 x:2.298	 y:-1.272	 phi:-174.715
INFO [HybridAStarPlan][2315] traj: [6]	 x:2.000	 y:-1.304	 phi:-173.096
INFO [HybridAStarPlan][2315] traj: [7]	 x:1.703	 y:-1.344	 phi:-171.478
INFO [HybridAStarPlan][2315] traj: [8]	 x:1.407	 y:-1.393	 phi:-169.860
INFO [HybridAStarPlan][2315] traj: [9]	 x:1.112	 y:-1.450	 phi:-168.242
INFO [HybridAStarPlan][2315] traj: [10]	 x:0.819	 y:-1.515	 phi:-166.623
INFO [HybridAStarPlan][2315] traj: [11]	 x:0.528	 y:-1.587	 phi:-166.117
INFO [HybridAStarPlan][2315] traj: [12]	 x:0.237	 y:-1.659	 phi:-166.117
INFO [HybridAStarPlan][2315] traj: [13]	 x:-0.055	 y:-1.731	 phi:-166.117
INFO [HybridAStarPlan][2315] traj: [14]	 x:-0.346	 y:-1.803	 phi:-166.117
INFO [HybridAStarPlan][2315] traj: [15]	 x:-0.637	 y:-1.875	 phi:-166.117
INFO [HybridAStarPlan][2315] traj: [16]	 x:-0.928	 y:-1.947	 phi:-166.117
INFO [HybridAStarPlan][2315] traj: [17]	 x:-1.219	 y:-2.018	 phi:-166.117
INFO [HybridAStarPlan][2315] traj: [18]	 x:-1.511	 y:-2.090	 phi:-166.117
INFO [HybridAStarPlan][2315] traj: [19]	 x:-1.802	 y:-2.162	 phi:-166.117
INFO [HybridAStarPlan][2315] traj: [20]	 x:-2.093	 y:-2.234	 phi:-166.117
INFO [HybridAStarPlan][2315] traj: [21]	 x:-2.137	 y:-2.245	 phi:-166.117

