Received data from command line argument, length: 285
<<<<<<<<<<<<<<<<  ID: 3ed70b23bf80  <<<<<<<<<<<<<<<<
INFO [ParseReceivedData][1838] plan_cnt: 1
INFO [ParseReceivedData][1840] xybounds: xmin: -9  xmax: 5  ymin: -5  ymax: 9
INFO [ParseReceivedData][1841] radarnums: 2  sidenums:0
INFO [ParseReceivedData][1842] endpos_correct_flag: 0
INFO [ParseReceivedData][1875] oblslot[6]: 0.173, 1.800
INFO [ParseReceivedData][1875] oblslot[6]: 0.173, 0.800
INFO [ParseReceivedData][1875] oblslot[6]: 5.551, 0.800
INFO [ParseReceivedData][1875] oblslot[6]: 5.551, -3.366
INFO [ParseReceivedData][1875] oblslot[6]: 0.200, -3.366
INFO [ParseReceivedData][1875] oblslot[6]: 0.200, -3.866
INFO [ParseReceivedData][1889] oblradar[2]: -6.509, 3.667
INFO [ParseReceivedData][1889] oblradar[2]: -6.509, 3.667
INFO [ParseReceivedData][1990] slot_type: 3
INFO [ParseReceivedData][1991] target_dir: 1
INFO [ParseReceivedData][1992] start: 3.197 -1.282 3.142
INFO [ParseReceivedData][1993] end: -3.138 0.803 2.182
INFO [HybridAStarPlan][2220] -------------------1-------------------
INFO [OneCircleToEndPosLineCalTraj][1534] CE cal time: 0.013ms
INFO [HybridAStarPlan][2225] 0_result: 0   (0)
INFO [RSCurveQuickCalTraj][1197] RS cal time: 0.294ms
INFO [HybridAStarPlan][2231] 1_result: 1   (25)
INFO [HybridAStarPlan][2298] path send success 26
INFO [HybridAStarPlan][2315] traj: [0]	 x:0.197	 y:-1.282	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [1]	 x:0.497	 y:-1.272	 phi:-176.281
INFO [HybridAStarPlan][2315] traj: [2]	 x:0.795	 y:-1.243	 phi:-172.561
INFO [HybridAStarPlan][2315] traj: [3]	 x:1.091	 y:-1.195	 phi:-168.842
INFO [HybridAStarPlan][2315] traj: [4]	 x:1.384	 y:-1.127	 phi:-165.123
INFO [HybridAStarPlan][2315] traj: [5]	 x:1.674	 y:-1.052	 phi:-167.171
INFO [HybridAStarPlan][2315] traj: [6]	 x:1.380	 y:-1.109	 phi:-170.890
INFO [HybridAStarPlan][2315] traj: [7]	 x:1.082	 y:-1.147	 phi:-174.609
INFO [HybridAStarPlan][2315] traj: [8]	 x:0.783	 y:-1.166	 phi:-178.329
INFO [HybridAStarPlan][2315] traj: [9]	 x:0.483	 y:-1.165	 phi:177.952
INFO [HybridAStarPlan][2315] traj: [10]	 x:0.183	 y:-1.144	 phi:174.233
INFO [HybridAStarPlan][2315] traj: [11]	 x:-0.114	 y:-1.104	 phi:170.514
INFO [HybridAStarPlan][2315] traj: [12]	 x:-0.408	 y:-1.045	 phi:166.795
INFO [HybridAStarPlan][2315] traj: [13]	 x:-0.698	 y:-0.967	 phi:163.076
INFO [HybridAStarPlan][2315] traj: [14]	 x:-0.982	 y:-0.871	 phi:159.356
INFO [HybridAStarPlan][2315] traj: [15]	 x:-1.259	 y:-0.756	 phi:155.637
INFO [HybridAStarPlan][2315] traj: [16]	 x:-1.528	 y:-0.623	 phi:151.918
INFO [HybridAStarPlan][2315] traj: [17]	 x:-1.788	 y:-0.474	 phi:148.199
INFO [HybridAStarPlan][2315] traj: [18]	 x:-2.037	 y:-0.307	 phi:144.480
INFO [HybridAStarPlan][2315] traj: [19]	 x:-2.276	 y:-0.125	 phi:140.760
INFO [HybridAStarPlan][2315] traj: [20]	 x:-2.502	 y:0.072	 phi:137.041
INFO [HybridAStarPlan][2315] traj: [21]	 x:-2.714	 y:0.283	 phi:133.322
INFO [HybridAStarPlan][2315] traj: [22]	 x:-2.913	 y:0.508	 phi:129.603
INFO [HybridAStarPlan][2315] traj: [23]	 x:-3.097	 y:0.745	 phi:125.884
INFO [HybridAStarPlan][2315] traj: [24]	 x:-3.138	 y:0.803	 phi:125.002

