Received data from command line argument, length: 731
<<<<<<<<<<<<<<<<  ID: a35b62ebf397  <<<<<<<<<<<<<<<<
INFO [ParseReceivedData][1838] plan_cnt: 0
INFO [ParseReceivedData][1840] xybounds: xmin: -6  xmax: 3  ymin: -8  ymax: 8
INFO [ParseReceivedData][1841] radarnums: 0  sidenums:0
INFO [ParseReceivedData][1842] endpos_correct_flag: 0
INFO [ParseReceivedData][1875] oblslot[6]: -0.100, 3.200
INFO [ParseReceivedData][1875] oblslot[6]: -0.100, 1.200
INFO [ParseReceivedData][1875] oblslot[6]: 1.880, 1.200
INFO [ParseReceivedData][1875] oblslot[6]: 1.885, -6.434
INFO [ParseReceivedData][1875] oblslot[6]: 0.200, -6.434
INFO [ParseReceivedData][1875] oblslot[6]: 0.200, -8.434
INFO [ParseReceivedData][1990] slot_type: 1
INFO [ParseReceivedData][1991] target_dir: 0
INFO [ParseReceivedData][1992] start: 0.597 -4.443 1.571
INFO [ParseReceivedData][1993] end: -2.061 -4.468 1.626
INFO [HybridAStarPlan][2164] 0_start: 0.5970 -4.4430 1.5708
INFO [HybridAStarPlan][2212] 1_start: 0.6259 -4.9590 1.6826
INFO [HybridAStarPlan][2220] -------------------1-------------------
INFO [RSCurveQuickCalTraj][1197] RS cal time: 1.1310ms
INFO [HybridAStarPlan][2231] 1_result: 1   (56)
INFO [HybridAStarPlan][2298] path send success 58
INFO [HybridAStarPlan][2315] traj: [0]	 x:0.597	 y:-4.343	 phi:90.000
INFO [HybridAStarPlan][2315] traj: [1]	 x:0.597	 y:-4.443	 phi:90.000
INFO [HybridAStarPlan][2315] traj: [2]	 x:0.615	 y:-4.860	 phi:96.409
INFO [HybridAStarPlan][2315] traj: [3]	 x:0.626	 y:-4.959	 phi:96.409
INFO [HybridAStarPlan][2315] traj: [4]	 x:0.585	 y:-4.662	 phi:99.128
INFO [HybridAStarPlan][2315] traj: [5]	 x:0.531	 y:-4.367	 phi:101.847
INFO [HybridAStarPlan][2315] traj: [6]	 x:0.462	 y:-4.075	 phi:104.566
INFO [HybridAStarPlan][2315] traj: [7]	 x:0.380	 y:-3.786	 phi:107.285
INFO [HybridAStarPlan][2315] traj: [8]	 x:0.284	 y:-3.502	 phi:110.004
INFO [HybridAStarPlan][2315] traj: [9]	 x:0.175	 y:-3.223	 phi:112.723
INFO [HybridAStarPlan][2315] traj: [10]	 x:0.052	 y:-2.949	 phi:115.442
INFO [HybridAStarPlan][2315] traj: [11]	 x:-0.083	 y:-2.681	 phi:118.161
INFO [HybridAStarPlan][2315] traj: [12]	 x:-0.231	 y:-2.420	 phi:120.880
INFO [HybridAStarPlan][2315] traj: [13]	 x:-0.385	 y:-2.163	 phi:120.949
INFO [HybridAStarPlan][2315] traj: [14]	 x:-0.539	 y:-1.906	 phi:120.949
INFO [HybridAStarPlan][2315] traj: [15]	 x:-0.694	 y:-1.648	 phi:120.949
INFO [HybridAStarPlan][2315] traj: [16]	 x:-0.848	 y:-1.391	 phi:120.949
INFO [HybridAStarPlan][2315] traj: [17]	 x:-1.002	 y:-1.134	 phi:120.949
INFO [HybridAStarPlan][2315] traj: [18]	 x:-1.156	 y:-0.876	 phi:120.949
INFO [HybridAStarPlan][2315] traj: [19]	 x:-1.311	 y:-0.619	 phi:120.949
INFO [HybridAStarPlan][2315] traj: [20]	 x:-1.465	 y:-0.362	 phi:120.949
INFO [HybridAStarPlan][2315] traj: [21]	 x:-1.619	 y:-0.104	 phi:120.077
INFO [HybridAStarPlan][2315] traj: [22]	 x:-1.763	 y:0.159	 phi:117.358
INFO [HybridAStarPlan][2315] traj: [23]	 x:-1.894	 y:0.429	 phi:114.639
INFO [HybridAStarPlan][2315] traj: [24]	 x:-2.013	 y:0.704	 phi:111.920
INFO [HybridAStarPlan][2315] traj: [25]	 x:-2.118	 y:0.985	 phi:109.201
INFO [HybridAStarPlan][2315] traj: [26]	 x:-2.210	 y:1.271	 phi:106.482
INFO [HybridAStarPlan][2315] traj: [27]	 x:-2.288	 y:1.560	 phi:103.762
INFO [HybridAStarPlan][2315] traj: [28]	 x:-2.353	 y:1.853	 phi:101.043
INFO [HybridAStarPlan][2315] traj: [29]	 x:-2.403	 y:2.149	 phi:98.324
INFO [HybridAStarPlan][2315] traj: [30]	 x:-2.440	 y:2.447	 phi:95.605
INFO [HybridAStarPlan][2315] traj: [31]	 x:-2.460	 y:2.713	 phi:93.180
INFO [HybridAStarPlan][2315] traj: [32]	 x:-2.443	 y:2.414	 phi:93.180
INFO [HybridAStarPlan][2315] traj: [33]	 x:-2.427	 y:2.114	 phi:93.180
INFO [HybridAStarPlan][2315] traj: [34]	 x:-2.410	 y:1.815	 phi:93.180
INFO [HybridAStarPlan][2315] traj: [35]	 x:-2.394	 y:1.515	 phi:93.180
INFO [HybridAStarPlan][2315] traj: [36]	 x:-2.377	 y:1.216	 phi:93.180
INFO [HybridAStarPlan][2315] traj: [37]	 x:-2.360	 y:0.916	 phi:93.180
INFO [HybridAStarPlan][2315] traj: [38]	 x:-2.344	 y:0.617	 phi:93.180
INFO [HybridAStarPlan][2315] traj: [39]	 x:-2.327	 y:0.317	 phi:93.180
INFO [HybridAStarPlan][2315] traj: [40]	 x:-2.310	 y:0.017	 phi:93.180
INFO [HybridAStarPlan][2315] traj: [41]	 x:-2.294	 y:-0.282	 phi:93.180
INFO [HybridAStarPlan][2315] traj: [42]	 x:-2.277	 y:-0.582	 phi:93.180
INFO [HybridAStarPlan][2315] traj: [43]	 x:-2.260	 y:-0.881	 phi:93.180
INFO [HybridAStarPlan][2315] traj: [44]	 x:-2.244	 y:-1.181	 phi:93.180
INFO [HybridAStarPlan][2315] traj: [45]	 x:-2.227	 y:-1.480	 phi:93.180
INFO [HybridAStarPlan][2315] traj: [46]	 x:-2.210	 y:-1.780	 phi:93.180
INFO [HybridAStarPlan][2315] traj: [47]	 x:-2.194	 y:-2.079	 phi:93.180
INFO [HybridAStarPlan][2315] traj: [48]	 x:-2.177	 y:-2.379	 phi:93.180
INFO [HybridAStarPlan][2315] traj: [49]	 x:-2.161	 y:-2.678	 phi:93.180
INFO [HybridAStarPlan][2315] traj: [50]	 x:-2.144	 y:-2.978	 phi:93.180
INFO [HybridAStarPlan][2315] traj: [51]	 x:-2.127	 y:-3.277	 phi:93.180
INFO [HybridAStarPlan][2315] traj: [52]	 x:-2.111	 y:-3.577	 phi:93.180
INFO [HybridAStarPlan][2315] traj: [53]	 x:-2.094	 y:-3.877	 phi:93.180
INFO [HybridAStarPlan][2315] traj: [54]	 x:-2.077	 y:-4.176	 phi:93.180
INFO [HybridAStarPlan][2315] traj: [55]	 x:-2.061	 y:-4.468	 phi:93.180

