Received data from command line argument, length: 584
<<<<<<<<<<<<<<<<  ID: f0e63b8fad6d  <<<<<<<<<<<<<<<<
INFO [ParseReceivedData][1838] plan_cnt: 4
INFO [ParseReceivedData][1840] xybounds: xmin: -9  xmax: 5  ymin: -5  ymax: 9
INFO [ParseReceivedData][1841] radarnums: 2  sidenums:0
INFO [ParseReceivedData][1842] endpos_correct_flag: 0
INFO [ParseReceivedData][1875] oblslot[6]: 0.744, 1.639
INFO [ParseReceivedData][1875] oblslot[6]: 0.744, 0.639
INFO [ParseReceivedData][1875] oblslot[6]: 4.960, 0.639
INFO [ParseReceivedData][1875] oblslot[6]: 4.960, -2.401
INFO [ParseReceivedData][1875] oblslot[6]: 0.200, -2.401
INFO [ParseReceivedData][1875] oblslot[6]: 0.200, -2.901
INFO [ParseReceivedData][1889] oblradar[2]: 0.475, -3.267
INFO [ParseReceivedData][1889] oblradar[2]: 0.677, -2.310
INFO [ParseReceivedData][1990] slot_type: 2
INFO [ParseReceivedData][1991] target_dir: 3
INFO [ParseReceivedData][1992] start: 3.195 -1.212 3.117
INFO [ParseReceivedData][1993] end: -1.269 -2.415 2.498
INFO [HybridAStarPlan][2220] -------------------1-------------------
INFO [RSCurveQuickCalTraj][1197] RS cal time: 0.367ms
INFO [HybridAStarPlan][2231] 1_result: 1   (40)
INFO [HybridAStarPlan][2298] path send success 41
INFO [HybridAStarPlan][2315] traj: [0]	 x:3.195	 y:-1.212	 phi:178.614
INFO [HybridAStarPlan][2315] traj: [1]	 x:2.895	 y:-1.205	 phi:178.614
INFO [HybridAStarPlan][2315] traj: [2]	 x:2.595	 y:-1.197	 phi:178.614
INFO [HybridAStarPlan][2315] traj: [3]	 x:2.295	 y:-1.190	 phi:178.614
INFO [HybridAStarPlan][2315] traj: [4]	 x:1.996	 y:-1.183	 phi:178.614
INFO [HybridAStarPlan][2315] traj: [5]	 x:1.696	 y:-1.176	 phi:178.614
INFO [HybridAStarPlan][2315] traj: [6]	 x:1.396	 y:-1.168	 phi:178.614
INFO [HybridAStarPlan][2315] traj: [7]	 x:1.096	 y:-1.161	 phi:178.614
INFO [HybridAStarPlan][2315] traj: [8]	 x:0.796	 y:-1.154	 phi:178.614
INFO [HybridAStarPlan][2315] traj: [9]	 x:0.496	 y:-1.147	 phi:178.614
INFO [HybridAStarPlan][2315] traj: [10]	 x:0.196	 y:-1.139	 phi:178.614
INFO [HybridAStarPlan][2315] traj: [11]	 x:-0.104	 y:-1.132	 phi:178.614
INFO [HybridAStarPlan][2315] traj: [12]	 x:-0.404	 y:-1.125	 phi:178.614
INFO [HybridAStarPlan][2315] traj: [13]	 x:-0.704	 y:-1.118	 phi:178.614
INFO [HybridAStarPlan][2315] traj: [14]	 x:-1.004	 y:-1.110	 phi:178.614
INFO [HybridAStarPlan][2315] traj: [15]	 x:-1.303	 y:-1.103	 phi:178.614
INFO [HybridAStarPlan][2315] traj: [16]	 x:-1.603	 y:-1.096	 phi:178.508
INFO [HybridAStarPlan][2315] traj: [17]	 x:-1.903	 y:-1.078	 phi:174.789
INFO [HybridAStarPlan][2315] traj: [18]	 x:-2.200	 y:-1.041	 phi:171.069
INFO [HybridAStarPlan][2315] traj: [19]	 x:-2.495	 y:-0.985	 phi:167.350
INFO [HybridAStarPlan][2315] traj: [20]	 x:-2.786	 y:-0.910	 phi:163.631
INFO [HybridAStarPlan][2315] traj: [21]	 x:-3.070	 y:-0.816	 phi:159.912
INFO [HybridAStarPlan][2315] traj: [22]	 x:-3.349	 y:-0.704	 phi:156.193
INFO [HybridAStarPlan][2315] traj: [23]	 x:-3.619	 y:-0.574	 phi:152.473
INFO [HybridAStarPlan][2315] traj: [24]	 x:-3.880	 y:-0.427	 phi:148.754
INFO [HybridAStarPlan][2315] traj: [25]	 x:-4.132	 y:-0.263	 phi:145.035
INFO [HybridAStarPlan][2315] traj: [26]	 x:-4.373	 y:-0.085	 phi:143.108
INFO [HybridAStarPlan][2315] traj: [27]	 x:-4.133	 y:-0.265	 phi:143.108
INFO [HybridAStarPlan][2315] traj: [28]	 x:-3.893	 y:-0.445	 phi:143.108
INFO [HybridAStarPlan][2315] traj: [29]	 x:-3.653	 y:-0.626	 phi:143.108
INFO [HybridAStarPlan][2315] traj: [30]	 x:-3.413	 y:-0.806	 phi:143.108
INFO [HybridAStarPlan][2315] traj: [31]	 x:-3.173	 y:-0.986	 phi:143.108
INFO [HybridAStarPlan][2315] traj: [32]	 x:-2.933	 y:-1.166	 phi:143.108
INFO [HybridAStarPlan][2315] traj: [33]	 x:-2.694	 y:-1.346	 phi:143.108
INFO [HybridAStarPlan][2315] traj: [34]	 x:-2.454	 y:-1.526	 phi:143.108
INFO [HybridAStarPlan][2315] traj: [35]	 x:-2.214	 y:-1.706	 phi:143.108
INFO [HybridAStarPlan][2315] traj: [36]	 x:-1.974	 y:-1.886	 phi:143.108
INFO [HybridAStarPlan][2315] traj: [37]	 x:-1.734	 y:-2.066	 phi:143.108
INFO [HybridAStarPlan][2315] traj: [38]	 x:-1.494	 y:-2.246	 phi:143.108
INFO [HybridAStarPlan][2315] traj: [39]	 x:-1.269	 y:-2.415	 phi:143.108

