Received data from command line argument, length: 248
<<<<<<<<<<<<<<<<  ID: 389127011f91  <<<<<<<<<<<<<<<<
INFO [ParseReceivedData][1838] plan_cnt: 11
INFO [ParseReceivedData][1840] xybounds: xmin: -9  xmax: 5  ymin: -5  ymax: 9
INFO [ParseReceivedData][1841] radarnums: 0  sidenums:0
INFO [ParseReceivedData][1842] endpos_correct_flag: 0
INFO [ParseReceivedData][1875] oblslot[6]: 0.252, 1.185
INFO [ParseReceivedData][1875] oblslot[6]: 0.252, 0.185
INFO [ParseReceivedData][1875] oblslot[6]: 5.355, 0.185
INFO [ParseReceivedData][1875] oblslot[6]: 5.345, -2.430
INFO [ParseReceivedData][1875] oblslot[6]: 0.563, -2.430
INFO [ParseReceivedData][1875] oblslot[6]: 0.563, -2.930
INFO [ParseReceivedData][1990] slot_type: 2
INFO [ParseReceivedData][1991] target_dir: 3
INFO [ParseReceivedData][1992] start: 3.196 -1.144 3.138
INFO [ParseReceivedData][1993] end: 2.495 -1.151 3.205
INFO [HybridAStarPlan][2220] -------------------1-------------------
INFO [RSCurveQuickCalTraj][1197] RS cal time: 0.660ms
INFO [HybridAStarPlan][2231] 1_result: 1   (33)
INFO [HybridAStarPlan][2298] path send success 34
INFO [HybridAStarPlan][2315] traj: [0]	 x:3.196	 y:-1.144	 phi:179.771
INFO [HybridAStarPlan][2315] traj: [1]	 x:2.896	 y:-1.143	 phi:179.771
INFO [HybridAStarPlan][2315] traj: [2]	 x:2.596	 y:-1.141	 phi:179.771
INFO [HybridAStarPlan][2315] traj: [3]	 x:2.296	 y:-1.140	 phi:179.771
INFO [HybridAStarPlan][2315] traj: [4]	 x:1.996	 y:-1.139	 phi:179.771
INFO [HybridAStarPlan][2315] traj: [5]	 x:1.696	 y:-1.138	 phi:179.771
INFO [HybridAStarPlan][2315] traj: [6]	 x:1.396	 y:-1.137	 phi:179.771
INFO [HybridAStarPlan][2315] traj: [7]	 x:1.096	 y:-1.135	 phi:179.771
INFO [HybridAStarPlan][2315] traj: [8]	 x:0.796	 y:-1.134	 phi:179.771
INFO [HybridAStarPlan][2315] traj: [9]	 x:0.496	 y:-1.133	 phi:179.771
INFO [HybridAStarPlan][2315] traj: [10]	 x:0.196	 y:-1.132	 phi:179.771
INFO [HybridAStarPlan][2315] traj: [11]	 x:-0.104	 y:-1.131	 phi:179.771
INFO [HybridAStarPlan][2315] traj: [12]	 x:-0.404	 y:-1.129	 phi:179.771
INFO [HybridAStarPlan][2315] traj: [13]	 x:-0.704	 y:-1.128	 phi:179.771
INFO [HybridAStarPlan][2315] traj: [14]	 x:-1.004	 y:-1.127	 phi:179.771
INFO [HybridAStarPlan][2315] traj: [15]	 x:-1.304	 y:-1.126	 phi:179.771
INFO [HybridAStarPlan][2315] traj: [16]	 x:-1.604	 y:-1.125	 phi:179.771
INFO [HybridAStarPlan][2315] traj: [17]	 x:-1.904	 y:-1.124	 phi:-179.826
INFO [HybridAStarPlan][2315] traj: [18]	 x:-1.604	 y:-1.125	 phi:179.476
INFO [HybridAStarPlan][2315] traj: [19]	 x:-1.304	 y:-1.129	 phi:178.761
INFO [HybridAStarPlan][2315] traj: [20]	 x:-1.004	 y:-1.138	 phi:178.045
INFO [HybridAStarPlan][2315] traj: [21]	 x:-0.705	 y:-1.150	 phi:177.510
INFO [HybridAStarPlan][2315] traj: [22]	 x:-0.405	 y:-1.163	 phi:177.510
INFO [HybridAStarPlan][2315] traj: [23]	 x:-0.105	 y:-1.176	 phi:177.510
INFO [HybridAStarPlan][2315] traj: [24]	 x:0.195	 y:-1.187	 phi:178.173
INFO [HybridAStarPlan][2315] traj: [25]	 x:0.495	 y:-1.195	 phi:178.889
INFO [HybridAStarPlan][2315] traj: [26]	 x:0.795	 y:-1.199	 phi:179.604
INFO [HybridAStarPlan][2315] traj: [27]	 x:1.095	 y:-1.199	 phi:-179.681
INFO [HybridAStarPlan][2315] traj: [28]	 x:1.394	 y:-1.196	 phi:-178.965
INFO [HybridAStarPlan][2315] traj: [29]	 x:1.694	 y:-1.188	 phi:-178.250
INFO [HybridAStarPlan][2315] traj: [30]	 x:1.994	 y:-1.177	 phi:-177.534
INFO [HybridAStarPlan][2315] traj: [31]	 x:2.294	 y:-1.163	 phi:-176.818
INFO [HybridAStarPlan][2315] traj: [32]	 x:2.495	 y:-1.151	 phi:-176.339

