Received data from command line argument, length: 1081
<<<<<<<<<<<<<<<<  ID: bff5f78ad44b  <<<<<<<<<<<<<<<<
INFO [ParseReceivedData][1838] plan_cnt: 0
INFO [ParseReceivedData][1840] xybounds: xmin: -6  xmax: 3  ymin: -8  ymax: 8
INFO [ParseReceivedData][1841] radarnums: 0  sidenums:0
INFO [ParseReceivedData][1842] endpos_correct_flag: 0
INFO [ParseReceivedData][1875] oblslot[6]: -0.100, 2.400
INFO [ParseReceivedData][1875] oblslot[6]: -0.100, 0.400
INFO [ParseReceivedData][1875] oblslot[6]: 2.719, 0.400
INFO [ParseReceivedData][1875] oblslot[6]: 2.719, -8.762
INFO [ParseReceivedData][1875] oblslot[6]: 0.200, -8.762
INFO [ParseReceivedData][1875] oblslot[6]: 0.200, -10.762
INFO [ParseReceivedData][1990] slot_type: 1
INFO [ParseReceivedData][1991] target_dir: 0
INFO [ParseReceivedData][1992] start: 1.258 -5.007 1.571
INFO [ParseReceivedData][1993] end: -1.854 -4.220 1.553
INFO [HybridAStarPlan][2164] 0_start: 1.2580 -5.0070 1.5708
INFO [HybridAStarPlan][2212] 1_start: 1.5081 -6.5070 1.9012
INFO [HybridAStarPlan][2220] -------------------1-------------------
INFO [RSCurveQuickCalTraj][1197] RS cal time: 1.5970ms
INFO [HybridAStarPlan][2231] 1_result: 1   (50)
INFO [HybridAStarPlan][2298] path send success 52
INFO [HybridAStarPlan][2315] traj: [0]	 x:1.258	 y:-4.907	 phi:90.000
INFO [HybridAStarPlan][2315] traj: [1]	 x:1.258	 y:-5.007	 phi:90.000
INFO [HybridAStarPlan][2315] traj: [2]	 x:1.476	 y:-6.412	 phi:108.933
INFO [HybridAStarPlan][2315] traj: [3]	 x:1.508	 y:-6.507	 phi:108.933
INFO [HybridAStarPlan][2315] traj: [4]	 x:1.404	 y:-6.226	 phi:111.652
INFO [HybridAStarPlan][2315] traj: [5]	 x:1.287	 y:-5.950	 phi:114.372
INFO [HybridAStarPlan][2315] traj: [6]	 x:1.157	 y:-5.679	 phi:117.091
INFO [HybridAStarPlan][2315] traj: [7]	 x:1.014	 y:-5.416	 phi:119.810
INFO [HybridAStarPlan][2315] traj: [8]	 x:0.859	 y:-5.158	 phi:121.498
INFO [HybridAStarPlan][2315] traj: [9]	 x:0.703	 y:-4.903	 phi:121.498
INFO [HybridAStarPlan][2315] traj: [10]	 x:0.546	 y:-4.647	 phi:121.498
INFO [HybridAStarPlan][2315] traj: [11]	 x:0.389	 y:-4.391	 phi:121.498
INFO [HybridAStarPlan][2315] traj: [12]	 x:0.232	 y:-4.135	 phi:121.498
INFO [HybridAStarPlan][2315] traj: [13]	 x:0.076	 y:-3.879	 phi:121.498
INFO [HybridAStarPlan][2315] traj: [14]	 x:-0.081	 y:-3.624	 phi:121.498
INFO [HybridAStarPlan][2315] traj: [15]	 x:-0.238	 y:-3.368	 phi:121.498
INFO [HybridAStarPlan][2315] traj: [16]	 x:-0.395	 y:-3.112	 phi:121.498
INFO [HybridAStarPlan][2315] traj: [17]	 x:-0.551	 y:-2.856	 phi:121.498
INFO [HybridAStarPlan][2315] traj: [18]	 x:-0.708	 y:-2.600	 phi:121.498
INFO [HybridAStarPlan][2315] traj: [19]	 x:-0.865	 y:-2.344	 phi:120.869
INFO [HybridAStarPlan][2315] traj: [20]	 x:-1.012	 y:-2.083	 phi:118.150
INFO [HybridAStarPlan][2315] traj: [21]	 x:-1.147	 y:-1.816	 phi:115.431
INFO [HybridAStarPlan][2315] traj: [22]	 x:-1.270	 y:-1.542	 phi:112.711
INFO [HybridAStarPlan][2315] traj: [23]	 x:-1.379	 y:-1.262	 phi:109.992
INFO [HybridAStarPlan][2315] traj: [24]	 x:-1.475	 y:-0.978	 phi:107.273
INFO [HybridAStarPlan][2315] traj: [25]	 x:-1.557	 y:-0.690	 phi:104.554
INFO [HybridAStarPlan][2315] traj: [26]	 x:-1.626	 y:-0.398	 phi:101.835
INFO [HybridAStarPlan][2315] traj: [27]	 x:-1.680	 y:-0.103	 phi:99.116
INFO [HybridAStarPlan][2315] traj: [28]	 x:-1.721	 y:0.195	 phi:96.397
INFO [HybridAStarPlan][2315] traj: [29]	 x:-1.747	 y:0.494	 phi:93.678
INFO [HybridAStarPlan][2315] traj: [30]	 x:-1.759	 y:0.793	 phi:90.959
INFO [HybridAStarPlan][2315] traj: [31]	 x:-1.759	 y:1.014	 phi:88.958
INFO [HybridAStarPlan][2315] traj: [32]	 x:-1.764	 y:0.714	 phi:88.958
INFO [HybridAStarPlan][2315] traj: [33]	 x:-1.770	 y:0.414	 phi:88.958
INFO [HybridAStarPlan][2315] traj: [34]	 x:-1.775	 y:0.114	 phi:88.958
INFO [HybridAStarPlan][2315] traj: [35]	 x:-1.781	 y:-0.186	 phi:88.958
INFO [HybridAStarPlan][2315] traj: [36]	 x:-1.786	 y:-0.486	 phi:88.958
INFO [HybridAStarPlan][2315] traj: [37]	 x:-1.792	 y:-0.786	 phi:88.958
INFO [HybridAStarPlan][2315] traj: [38]	 x:-1.797	 y:-1.086	 phi:88.958
INFO [HybridAStarPlan][2315] traj: [39]	 x:-1.803	 y:-1.386	 phi:88.958
INFO [HybridAStarPlan][2315] traj: [40]	 x:-1.808	 y:-1.685	 phi:88.958
INFO [HybridAStarPlan][2315] traj: [41]	 x:-1.814	 y:-1.985	 phi:88.958
INFO [HybridAStarPlan][2315] traj: [42]	 x:-1.819	 y:-2.285	 phi:88.958
INFO [HybridAStarPlan][2315] traj: [43]	 x:-1.824	 y:-2.585	 phi:88.958
INFO [HybridAStarPlan][2315] traj: [44]	 x:-1.830	 y:-2.885	 phi:88.958
INFO [HybridAStarPlan][2315] traj: [45]	 x:-1.835	 y:-3.185	 phi:88.958
INFO [HybridAStarPlan][2315] traj: [46]	 x:-1.841	 y:-3.485	 phi:88.958
INFO [HybridAStarPlan][2315] traj: [47]	 x:-1.846	 y:-3.785	 phi:88.958
INFO [HybridAStarPlan][2315] traj: [48]	 x:-1.852	 y:-4.085	 phi:88.958
INFO [HybridAStarPlan][2315] traj: [49]	 x:-1.854	 y:-4.220	 phi:88.958

