Received data from command line argument, length: 595
<<<<<<<<<<<<<<<<  ID: bc0436cd56d5  <<<<<<<<<<<<<<<<
INFO [ParseReceivedData][1838] plan_cnt: 1
INFO [ParseReceivedData][1840] xybounds: xmin: -8  xmax: 4  ymin: -4  ymax: 8
INFO [ParseReceivedData][1841] radarnums: 0  sidenums:0
INFO [ParseReceivedData][1842] endpos_correct_flag: 0
INFO [ParseReceivedData][1875] oblslot[6]: 0.329, 1.173
INFO [ParseReceivedData][1875] oblslot[6]: 0.329, 0.173
INFO [ParseReceivedData][1875] oblslot[6]: 4.960, 0.173
INFO [ParseReceivedData][1875] oblslot[6]: 4.960, -3.888
INFO [ParseReceivedData][1875] oblslot[6]: 0.073, -3.888
INFO [ParseReceivedData][1875] oblslot[6]: 0.073, -4.388
INFO [ParseReceivedData][1990] slot_type: 2
INFO [ParseReceivedData][1991] target_dir: 1
INFO [ParseReceivedData][1992] start: 3.197 -1.180 3.147
INFO [ParseReceivedData][1993] end: -3.641 0.948 2.277
INFO [KeyNodeCheckValid][1105] false rs start
INFO [HybridAStarPlan][2220] -------------------0-------------------
INFO [GenerateDpMap][194] map explored node: 2115
INFO [Plan][681] map time: 41ms
INFO [Plan][746] explored_node_num:29
INFO [Plan][747] heuristic time is 0.435ms.
INFO [Plan][748] reed shepp time is 0.430ms.
INFO [Plan][749] total time: 44ms
INFO [HybridAStarPlan][2243] 2_result: 1   (26)
INFO [HybridAStarPlan][2298] path send success 26
INFO [HybridAStarPlan][2315] traj: [0]	 x:3.197	 y:-1.180	 phi:180.299
INFO [HybridAStarPlan][2315] traj: [1]	 x:2.897	 y:-1.182	 phi:176.579
INFO [HybridAStarPlan][2315] traj: [2]	 x:2.598	 y:-1.164	 phi:-177.571
INFO [HybridAStarPlan][2315] traj: [3]	 x:2.298	 y:-1.176	 phi:-178.244
INFO [HybridAStarPlan][2315] traj: [4]	 x:1.998	 y:-1.186	 phi:-172.394
INFO [HybridAStarPlan][2315] traj: [5]	 x:1.700	 y:-1.216	 phi:-176.113
INFO [HybridAStarPlan][2315] traj: [6]	 x:1.400	 y:-1.226	 phi:-179.832
INFO [HybridAStarPlan][2315] traj: [7]	 x:1.100	 y:-1.217	 phi:176.449
INFO [HybridAStarPlan][2315] traj: [8]	 x:0.801	 y:-1.189	 phi:172.730
INFO [HybridAStarPlan][2315] traj: [9]	 x:0.505	 y:-1.141	 phi:169.010
INFO [HybridAStarPlan][2315] traj: [10]	 x:0.213	 y:-1.075	 phi:165.291
INFO [HybridAStarPlan][2315] traj: [11]	 x:-0.075	 y:-0.989	 phi:161.572
INFO [HybridAStarPlan][2315] traj: [12]	 x:-0.357	 y:-0.888	 phi:159.928
INFO [HybridAStarPlan][2315] traj: [13]	 x:-0.639	 y:-0.785	 phi:159.928
INFO [HybridAStarPlan][2315] traj: [14]	 x:-0.921	 y:-0.682	 phi:159.928
INFO [HybridAStarPlan][2315] traj: [15]	 x:-1.202	 y:-0.579	 phi:159.928
INFO [HybridAStarPlan][2315] traj: [16]	 x:-1.484	 y:-0.476	 phi:159.928
INFO [HybridAStarPlan][2315] traj: [17]	 x:-1.766	 y:-0.373	 phi:159.198
INFO [HybridAStarPlan][2315] traj: [18]	 x:-2.043	 y:-0.257	 phi:155.479
INFO [HybridAStarPlan][2315] traj: [19]	 x:-2.311	 y:-0.124	 phi:151.760
INFO [HybridAStarPlan][2315] traj: [20]	 x:-2.571	 y:0.026	 phi:148.041
INFO [HybridAStarPlan][2315] traj: [21]	 x:-2.820	 y:0.193	 phi:144.322
INFO [HybridAStarPlan][2315] traj: [22]	 x:-3.058	 y:0.376	 phi:140.602
INFO [HybridAStarPlan][2315] traj: [23]	 x:-3.283	 y:0.574	 phi:136.883
INFO [HybridAStarPlan][2315] traj: [24]	 x:-3.496	 y:0.786	 phi:133.164
INFO [HybridAStarPlan][2315] traj: [25]	 x:-3.641	 y:0.948	 phi:130.468

