Received data from command line argument, length: 838
<<<<<<<<<<<<<<<<  ID: 91c0c1206016  <<<<<<<<<<<<<<<<
INFO [ParseReceivedData][1838] plan_cnt: 0
INFO [ParseReceivedData][1840] xybounds: xmin: -8  xmax: 4  ymin: -4  ymax: 8
INFO [ParseReceivedData][1841] radarnums: 0  sidenums:0
INFO [ParseReceivedData][1842] endpos_correct_flag: 0
INFO [ParseReceivedData][1875] oblslot[6]: 0.200, 2.000
INFO [ParseReceivedData][1875] oblslot[6]: 0.200, 1.000
INFO [ParseReceivedData][1875] oblslot[6]: 4.960, 1.000
INFO [ParseReceivedData][1875] oblslot[6]: 4.960, -3.824
INFO [ParseReceivedData][1875] oblslot[6]: 1.500, -3.824
INFO [ParseReceivedData][1875] oblslot[6]: 1.500, -4.324
INFO [ParseReceivedData][1990] slot_type: 2
INFO [ParseReceivedData][1991] target_dir: 0
INFO [ParseReceivedData][1992] start: 3.197 -1.161 3.142
INFO [ParseReceivedData][1993] end: -2.499 -2.178 1.860
INFO [KeyNodeCheckValid][1105] false rs start
INFO [HybridAStarPlan][2220] -------------------0-------------------
INFO [GenerateDpMap][194] map explored node: 2115
INFO [Plan][681] map time: 44ms
INFO [Plan][746] explored_node_num:0
INFO [Plan][747] heuristic time is 0.000ms.
INFO [Plan][748] reed shepp time is 0.000ms.
INFO [Plan][749] total time: 45ms
INFO [HybridAStarPlan][2243] 2_result: 1   (35)
INFO [HybridAStarPlan][2298] path send success 36
INFO [HybridAStarPlan][2315] traj: [0]	 x:3.197	 y:-1.161	 phi:180.001
INFO [HybridAStarPlan][2315] traj: [1]	 x:2.897	 y:-1.171	 phi:-177.141
INFO [HybridAStarPlan][2315] traj: [2]	 x:2.598	 y:-1.186	 phi:-177.141
INFO [HybridAStarPlan][2315] traj: [3]	 x:2.298	 y:-1.201	 phi:-177.141
INFO [HybridAStarPlan][2315] traj: [4]	 x:1.998	 y:-1.215	 phi:-177.141
INFO [HybridAStarPlan][2315] traj: [5]	 x:1.699	 y:-1.230	 phi:-177.141
INFO [HybridAStarPlan][2315] traj: [6]	 x:1.399	 y:-1.245	 phi:-177.141
INFO [HybridAStarPlan][2315] traj: [7]	 x:1.099	 y:-1.260	 phi:-177.141
INFO [HybridAStarPlan][2315] traj: [8]	 x:0.800	 y:-1.275	 phi:-177.141
INFO [HybridAStarPlan][2315] traj: [9]	 x:0.500	 y:-1.290	 phi:-177.141
INFO [HybridAStarPlan][2315] traj: [10]	 x:0.201	 y:-1.305	 phi:-177.141
INFO [HybridAStarPlan][2315] traj: [11]	 x:-0.099	 y:-1.320	 phi:-177.141
INFO [HybridAStarPlan][2315] traj: [12]	 x:-0.399	 y:-1.335	 phi:-177.141
INFO [HybridAStarPlan][2315] traj: [13]	 x:-0.698	 y:-1.347	 phi:-179.270
INFO [HybridAStarPlan][2315] traj: [14]	 x:-0.998	 y:-1.341	 phi:176.753
INFO [HybridAStarPlan][2315] traj: [15]	 x:-1.297	 y:-1.313	 phi:172.776
INFO [HybridAStarPlan][2315] traj: [16]	 x:-1.593	 y:-1.265	 phi:168.798
INFO [HybridAStarPlan][2315] traj: [17]	 x:-1.885	 y:-1.197	 phi:164.821
INFO [HybridAStarPlan][2315] traj: [18]	 x:-2.172	 y:-1.108	 phi:160.844
INFO [HybridAStarPlan][2315] traj: [19]	 x:-2.451	 y:-1.000	 phi:156.866
INFO [HybridAStarPlan][2315] traj: [20]	 x:-2.723	 y:-0.873	 phi:152.889
INFO [HybridAStarPlan][2315] traj: [21]	 x:-2.985	 y:-0.727	 phi:148.912
INFO [HybridAStarPlan][2315] traj: [22]	 x:-3.236	 y:-0.563	 phi:144.934
INFO [HybridAStarPlan][2315] traj: [23]	 x:-3.476	 y:-0.382	 phi:140.957
INFO [HybridAStarPlan][2315] traj: [24]	 x:-3.702	 y:-0.185	 phi:136.979
INFO [HybridAStarPlan][2315] traj: [25]	 x:-3.737	 y:-0.152	 phi:136.333
INFO [HybridAStarPlan][2315] traj: [26]	 x:-3.527	 y:-0.366	 phi:132.613
INFO [HybridAStarPlan][2315] traj: [27]	 x:-3.332	 y:-0.593	 phi:128.894
INFO [HybridAStarPlan][2315] traj: [28]	 x:-3.151	 y:-0.833	 phi:125.175
INFO [HybridAStarPlan][2315] traj: [29]	 x:-2.986	 y:-1.083	 phi:121.456
INFO [HybridAStarPlan][2315] traj: [30]	 x:-2.838	 y:-1.344	 phi:117.737
INFO [HybridAStarPlan][2315] traj: [31]	 x:-2.707	 y:-1.614	 phi:114.017
INFO [HybridAStarPlan][2315] traj: [32]	 x:-2.594	 y:-1.892	 phi:110.298
INFO [HybridAStarPlan][2315] traj: [33]	 x:-2.499	 y:-2.176	 phi:106.579
INFO [HybridAStarPlan][2315] traj: [34]	 x:-2.499	 y:-2.178	 phi:106.553

