Received data from command line argument, length: 1187
<<<<<<<<<<<<<<<<  ID: e102d521edcf  <<<<<<<<<<<<<<<<
INFO [ParseReceivedData][1838] plan_cnt: 0
INFO [ParseReceivedData][1840] xybounds: xmin: -8  xmax: 4  ymin: -4  ymax: 8
INFO [ParseReceivedData][1841] radarnums: 0  sidenums:0
INFO [ParseReceivedData][1842] endpos_correct_flag: 0
INFO [ParseReceivedData][1875] oblslot[6]: 0.200, 2.000
INFO [ParseReceivedData][1875] oblslot[6]: 0.200, 1.000
INFO [ParseReceivedData][1875] oblslot[6]: 5.037, 1.000
INFO [ParseReceivedData][1875] oblslot[6]: 5.037, -2.578
INFO [ParseReceivedData][1875] oblslot[6]: 0.467, -2.578
INFO [ParseReceivedData][1875] oblslot[6]: 0.467, -3.078
INFO [ParseReceivedData][1990] slot_type: 2
INFO [ParseReceivedData][1991] target_dir: 0
INFO [ParseReceivedData][1992] start: 3.197 -1.214 3.142
INFO [ParseReceivedData][1993] end: -2.790 -1.577 1.843
INFO [KeyNodeCheckValid][1105] false rs start
INFO [HybridAStarPlan][2220] -------------------0-------------------
INFO [GenerateDpMap][194] map explored node: 2115
INFO [Plan][681] map time: 44ms
INFO [Plan][746] explored_node_num:14
INFO [Plan][747] heuristic time is 0.210ms.
INFO [Plan][748] reed shepp time is 0.234ms.
INFO [Plan][749] total time: 45ms
INFO [HybridAStarPlan][2243] 2_result: 1   (34)
INFO [HybridAStarPlan][2298] path send success 35
INFO [HybridAStarPlan][2315] traj: [0]	 x:3.197	 y:-1.214	 phi:180.001
INFO [HybridAStarPlan][2315] traj: [1]	 x:2.897	 y:-1.214	 phi:-174.150
INFO [HybridAStarPlan][2315] traj: [2]	 x:2.599	 y:-1.245	 phi:-177.869
INFO [HybridAStarPlan][2315] traj: [3]	 x:2.299	 y:-1.256	 phi:-178.542
INFO [HybridAStarPlan][2315] traj: [4]	 x:1.999	 y:-1.263	 phi:177.739
INFO [HybridAStarPlan][2315] traj: [5]	 x:1.699	 y:-1.252	 phi:174.020
INFO [HybridAStarPlan][2315] traj: [6]	 x:1.400	 y:-1.231	 phi:177.726
INFO [HybridAStarPlan][2315] traj: [7]	 x:1.100	 y:-1.219	 phi:177.726
INFO [HybridAStarPlan][2315] traj: [8]	 x:0.800	 y:-1.207	 phi:177.726
INFO [HybridAStarPlan][2315] traj: [9]	 x:0.501	 y:-1.195	 phi:177.726
INFO [HybridAStarPlan][2315] traj: [10]	 x:0.201	 y:-1.183	 phi:177.726
INFO [HybridAStarPlan][2315] traj: [11]	 x:-0.099	 y:-1.171	 phi:177.726
INFO [HybridAStarPlan][2315] traj: [12]	 x:-0.399	 y:-1.159	 phi:177.726
INFO [HybridAStarPlan][2315] traj: [13]	 x:-0.698	 y:-1.147	 phi:177.726
INFO [HybridAStarPlan][2315] traj: [14]	 x:-0.998	 y:-1.130	 phi:174.770
INFO [HybridAStarPlan][2315] traj: [15]	 x:-1.295	 y:-1.092	 phi:170.793
INFO [HybridAStarPlan][2315] traj: [16]	 x:-1.590	 y:-1.034	 phi:166.816
INFO [HybridAStarPlan][2315] traj: [17]	 x:-1.879	 y:-0.955	 phi:162.838
INFO [HybridAStarPlan][2315] traj: [18]	 x:-2.163	 y:-0.857	 phi:158.861
INFO [HybridAStarPlan][2315] traj: [19]	 x:-2.438	 y:-0.739	 phi:154.883
INFO [HybridAStarPlan][2315] traj: [20]	 x:-2.705	 y:-0.602	 phi:150.906
INFO [HybridAStarPlan][2315] traj: [21]	 x:-2.962	 y:-0.447	 phi:146.929
INFO [HybridAStarPlan][2315] traj: [22]	 x:-3.208	 y:-0.275	 phi:142.951
INFO [HybridAStarPlan][2315] traj: [23]	 x:-3.441	 y:-0.086	 phi:138.974
INFO [HybridAStarPlan][2315] traj: [24]	 x:-3.660	 y:0.118	 phi:134.997
INFO [HybridAStarPlan][2315] traj: [25]	 x:-3.812	 y:0.278	 phi:132.078
INFO [HybridAStarPlan][2315] traj: [26]	 x:-3.618	 y:0.049	 phi:128.359
INFO [HybridAStarPlan][2315] traj: [27]	 x:-3.440	 y:-0.192	 phi:124.640
INFO [HybridAStarPlan][2315] traj: [28]	 x:-3.277	 y:-0.444	 phi:120.920
INFO [HybridAStarPlan][2315] traj: [29]	 x:-3.131	 y:-0.707	 phi:117.201
INFO [HybridAStarPlan][2315] traj: [30]	 x:-3.003	 y:-0.978	 phi:113.482
INFO [HybridAStarPlan][2315] traj: [31]	 x:-2.893	 y:-1.257	 phi:109.763
INFO [HybridAStarPlan][2315] traj: [32]	 x:-2.800	 y:-1.542	 phi:106.044
INFO [HybridAStarPlan][2315] traj: [33]	 x:-2.790	 y:-1.577	 phi:105.596

