Received data from command line argument, length: 910
<<<<<<<<<<<<<<<<  ID: 21fd4bb46169  <<<<<<<<<<<<<<<<
INFO [ParseReceivedData][1838] plan_cnt: 1
INFO [ParseReceivedData][1840] xybounds: xmin: -9  xmax: 5  ymin: -5  ymax: 9
INFO [ParseReceivedData][1841] radarnums: 0  sidenums:0
INFO [ParseReceivedData][1842] endpos_correct_flag: 0
INFO [ParseReceivedData][1875] oblslot[6]: -0.124, 1.337
INFO [ParseReceivedData][1875] oblslot[6]: -0.124, 0.337
INFO [ParseReceivedData][1875] oblslot[6]: 4.960, 0.337
INFO [ParseReceivedData][1875] oblslot[6]: 4.960, -3.711
INFO [ParseReceivedData][1875] oblslot[6]: 1.513, -3.768
INFO [ParseReceivedData][1875] oblslot[6]: 1.513, -4.268
INFO [ParseReceivedData][1990] slot_type: 2
INFO [ParseReceivedData][1991] target_dir: 0
INFO [ParseReceivedData][1992] start: 3.495 -1.021 3.154
INFO [ParseReceivedData][1993] end: 3.339 -1.217 3.142
INFO [HybridAStarPlan][2220] -------------------1-------------------
INFO [RSCurveQuickCalTraj][1197] RS cal time: 1.307ms
INFO [HybridAStarPlan][2231] 1_result: 1   (31)
INFO [HybridAStarPlan][2298] path send success 32
INFO [HybridAStarPlan][2315] traj: [0]	 x:3.495	 y:-1.021	 phi:-179.312
INFO [HybridAStarPlan][2315] traj: [1]	 x:3.195	 y:-1.025	 phi:-179.312
INFO [HybridAStarPlan][2315] traj: [2]	 x:2.895	 y:-1.028	 phi:-179.312
INFO [HybridAStarPlan][2315] traj: [3]	 x:2.595	 y:-1.032	 phi:-179.312
INFO [HybridAStarPlan][2315] traj: [4]	 x:2.295	 y:-1.035	 phi:-179.312
INFO [HybridAStarPlan][2315] traj: [5]	 x:1.995	 y:-1.039	 phi:-179.312
INFO [HybridAStarPlan][2315] traj: [6]	 x:1.695	 y:-1.043	 phi:-179.312
INFO [HybridAStarPlan][2315] traj: [7]	 x:1.395	 y:-1.046	 phi:-179.312
INFO [HybridAStarPlan][2315] traj: [8]	 x:1.095	 y:-1.050	 phi:-179.312
INFO [HybridAStarPlan][2315] traj: [9]	 x:0.795	 y:-1.053	 phi:-179.312
INFO [HybridAStarPlan][2315] traj: [10]	 x:0.495	 y:-1.057	 phi:-179.312
INFO [HybridAStarPlan][2315] traj: [11]	 x:0.195	 y:-1.061	 phi:-179.312
INFO [HybridAStarPlan][2315] traj: [12]	 x:-0.105	 y:-1.064	 phi:-179.312
INFO [HybridAStarPlan][2315] traj: [13]	 x:-0.405	 y:-1.068	 phi:-179.312
INFO [HybridAStarPlan][2315] traj: [14]	 x:-0.705	 y:-1.071	 phi:-179.312
INFO [HybridAStarPlan][2315] traj: [15]	 x:-1.005	 y:-1.076	 phi:-178.745
INFO [HybridAStarPlan][2315] traj: [16]	 x:-0.705	 y:-1.071	 phi:-179.443
INFO [HybridAStarPlan][2315] traj: [17]	 x:-0.405	 y:-1.070	 phi:179.842
INFO [HybridAStarPlan][2315] traj: [18]	 x:-0.105	 y:-1.073	 phi:179.126
INFO [HybridAStarPlan][2315] traj: [19]	 x:0.195	 y:-1.080	 phi:178.410
INFO [HybridAStarPlan][2315] traj: [20]	 x:0.495	 y:-1.090	 phi:177.695
INFO [HybridAStarPlan][2315] traj: [21]	 x:0.794	 y:-1.104	 phi:176.979
INFO [HybridAStarPlan][2315] traj: [22]	 x:1.094	 y:-1.121	 phi:176.264
INFO [HybridAStarPlan][2315] traj: [23]	 x:1.393	 y:-1.141	 phi:176.209
INFO [HybridAStarPlan][2315] traj: [24]	 x:1.692	 y:-1.161	 phi:176.209
INFO [HybridAStarPlan][2315] traj: [25]	 x:1.992	 y:-1.180	 phi:176.793
INFO [HybridAStarPlan][2315] traj: [26]	 x:2.292	 y:-1.194	 phi:177.508
INFO [HybridAStarPlan][2315] traj: [27]	 x:2.591	 y:-1.206	 phi:178.224
INFO [HybridAStarPlan][2315] traj: [28]	 x:2.891	 y:-1.213	 phi:178.939
INFO [HybridAStarPlan][2315] traj: [29]	 x:3.191	 y:-1.217	 phi:179.655
INFO [HybridAStarPlan][2315] traj: [30]	 x:3.339	 y:-1.217	 phi:-179.994

