Received data from command line argument, length: 400
<<<<<<<<<<<<<<<<  ID: 461732b5a0c8  <<<<<<<<<<<<<<<<
INFO [ParseReceivedData][1838] plan_cnt: 1
INFO [ParseReceivedData][1840] xybounds: xmin: -9  xmax: 5  ymin: -5  ymax: 9
INFO [ParseReceivedData][1841] radarnums: 0  sidenums:0
INFO [ParseReceivedData][1842] endpos_correct_flag: 0
INFO [ParseReceivedData][1875] oblslot[6]: -2.703, 1.181
INFO [ParseReceivedData][1875] oblslot[6]: -2.703, 0.181
INFO [ParseReceivedData][1875] oblslot[6]: 4.960, 0.181
INFO [ParseReceivedData][1875] oblslot[6]: 4.960, -3.514
INFO [ParseReceivedData][1875] oblslot[6]: 0.201, -3.514
INFO [ParseReceivedData][1875] oblslot[6]: 0.201, -4.014
INFO [ParseReceivedData][1990] slot_type: 2
INFO [ParseReceivedData][1991] target_dir: 1
INFO [ParseReceivedData][1992] start: 3.196 -1.295 3.133
INFO [ParseReceivedData][1993] end: -5.808 2.898 2.070
INFO [HybridAStarPlan][2220] -------------------1-------------------
INFO [OneCircleToEndPosLineCalTraj][1534] CE cal time: 0.013ms
INFO [HybridAStarPlan][2225] 0_result: 0   (0)
INFO [RSCurveQuickCalTraj][1197] RS cal time: 0.674ms
INFO [HybridAStarPlan][2231] 1_result: 1   (38)
INFO [HybridAStarPlan][2298] path send success 38
INFO [HybridAStarPlan][2315] traj: [0]	 x:3.196	 y:-1.295	 phi:179.491
INFO [HybridAStarPlan][2315] traj: [1]	 x:2.896	 y:-1.292	 phi:179.491
INFO [HybridAStarPlan][2315] traj: [2]	 x:2.596	 y:-1.290	 phi:179.491
INFO [HybridAStarPlan][2315] traj: [3]	 x:2.296	 y:-1.287	 phi:179.491
INFO [HybridAStarPlan][2315] traj: [4]	 x:1.996	 y:-1.284	 phi:179.491
INFO [HybridAStarPlan][2315] traj: [5]	 x:1.696	 y:-1.282	 phi:179.491
INFO [HybridAStarPlan][2315] traj: [6]	 x:1.396	 y:-1.279	 phi:179.491
INFO [HybridAStarPlan][2315] traj: [7]	 x:1.096	 y:-1.276	 phi:179.491
INFO [HybridAStarPlan][2315] traj: [8]	 x:0.796	 y:-1.274	 phi:179.491
INFO [HybridAStarPlan][2315] traj: [9]	 x:0.496	 y:-1.271	 phi:179.491
INFO [HybridAStarPlan][2315] traj: [10]	 x:0.196	 y:-1.268	 phi:179.491
INFO [HybridAStarPlan][2315] traj: [11]	 x:-0.104	 y:-1.266	 phi:179.491
INFO [HybridAStarPlan][2315] traj: [12]	 x:-0.404	 y:-1.263	 phi:179.491
INFO [HybridAStarPlan][2315] traj: [13]	 x:-0.704	 y:-1.260	 phi:179.491
INFO [HybridAStarPlan][2315] traj: [14]	 x:-1.004	 y:-1.258	 phi:179.491
INFO [HybridAStarPlan][2315] traj: [15]	 x:-1.303	 y:-1.245	 phi:175.665
INFO [HybridAStarPlan][2315] traj: [16]	 x:-1.601	 y:-1.212	 phi:171.687
INFO [HybridAStarPlan][2315] traj: [17]	 x:-1.897	 y:-1.159	 phi:167.710
INFO [HybridAStarPlan][2315] traj: [18]	 x:-2.187	 y:-1.085	 phi:163.732
INFO [HybridAStarPlan][2315] traj: [19]	 x:-2.472	 y:-0.991	 phi:159.755
INFO [HybridAStarPlan][2315] traj: [20]	 x:-2.750	 y:-0.877	 phi:155.778
INFO [HybridAStarPlan][2315] traj: [21]	 x:-3.019	 y:-0.745	 phi:151.800
INFO [HybridAStarPlan][2315] traj: [22]	 x:-3.278	 y:-0.594	 phi:147.823
INFO [HybridAStarPlan][2315] traj: [23]	 x:-3.526	 y:-0.426	 phi:143.845
INFO [HybridAStarPlan][2315] traj: [24]	 x:-3.762	 y:-0.240	 phi:139.868
INFO [HybridAStarPlan][2315] traj: [25]	 x:-3.985	 y:-0.039	 phi:135.891
INFO [HybridAStarPlan][2315] traj: [26]	 x:-4.193	 y:0.177	 phi:131.913
INFO [HybridAStarPlan][2315] traj: [27]	 x:-4.385	 y:0.407	 phi:127.936
INFO [HybridAStarPlan][2315] traj: [28]	 x:-4.561	 y:0.650	 phi:123.959
INFO [HybridAStarPlan][2315] traj: [29]	 x:-4.720	 y:0.904	 phi:119.981
INFO [HybridAStarPlan][2315] traj: [30]	 x:-4.865	 y:1.167	 phi:118.585
INFO [HybridAStarPlan][2315] traj: [31]	 x:-5.008	 y:1.430	 phi:118.585
INFO [HybridAStarPlan][2315] traj: [32]	 x:-5.152	 y:1.694	 phi:118.585
INFO [HybridAStarPlan][2315] traj: [33]	 x:-5.295	 y:1.957	 phi:118.585
INFO [HybridAStarPlan][2315] traj: [34]	 x:-5.439	 y:2.221	 phi:118.585
INFO [HybridAStarPlan][2315] traj: [35]	 x:-5.582	 y:2.484	 phi:118.585
INFO [HybridAStarPlan][2315] traj: [36]	 x:-5.726	 y:2.748	 phi:118.585
INFO [HybridAStarPlan][2315] traj: [37]	 x:-5.808	 y:2.898	 phi:118.585

