Received data from command line argument, length: 863
<<<<<<<<<<<<<<<<  ID: 82cc114d925b  <<<<<<<<<<<<<<<<
INFO [ParseReceivedData][1838] plan_cnt: 0
INFO [ParseReceivedData][1840] xybounds: xmin: -9  xmax: 5  ymin: -5  ymax: 9
INFO [ParseReceivedData][1841] radarnums: 0  sidenums:0
INFO [ParseReceivedData][1842] endpos_correct_flag: 0
INFO [ParseReceivedData][1875] oblslot[6]: 0.746, 2.255
INFO [ParseReceivedData][1875] oblslot[6]: 0.746, 1.255
INFO [ParseReceivedData][1875] oblslot[6]: 4.960, 1.255
INFO [ParseReceivedData][1875] oblslot[6]: 4.960, -2.399
INFO [ParseReceivedData][1875] oblslot[6]: -0.733, -2.399
INFO [ParseReceivedData][1875] oblslot[6]: -0.733, -2.899
INFO [ParseReceivedData][1990] slot_type: 2
INFO [ParseReceivedData][1991] target_dir: 0
INFO [ParseReceivedData][1992] start: 3.197 -0.867 3.142
INFO [ParseReceivedData][1993] end: -2.240 -0.317 1.085
INFO [HybridAStarPlan][2220] -------------------1-------------------
INFO [RSCurveQuickCalTraj][1197] RS cal time: 0.528ms
INFO [HybridAStarPlan][2231] 1_result: 1   (36)
INFO [HybridAStarPlan][2298] path send success 37
INFO [HybridAStarPlan][2315] traj: [0]	 x:3.197	 y:-0.867	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [1]	 x:2.897	 y:-0.867	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [2]	 x:2.597	 y:-0.865	 phi:178.529
INFO [HybridAStarPlan][2315] traj: [3]	 x:2.298	 y:-0.848	 phi:174.810
INFO [HybridAStarPlan][2315] traj: [4]	 x:2.000	 y:-0.811	 phi:171.091
INFO [HybridAStarPlan][2315] traj: [5]	 x:1.705	 y:-0.755	 phi:167.372
INFO [HybridAStarPlan][2315] traj: [6]	 x:1.415	 y:-0.680	 phi:163.652
INFO [HybridAStarPlan][2315] traj: [7]	 x:1.130	 y:-0.586	 phi:159.933
INFO [HybridAStarPlan][2315] traj: [8]	 x:0.852	 y:-0.474	 phi:156.214
INFO [HybridAStarPlan][2315] traj: [9]	 x:0.581	 y:-0.345	 phi:152.495
INFO [HybridAStarPlan][2315] traj: [10]	 x:0.320	 y:-0.198	 phi:148.776
INFO [HybridAStarPlan][2315] traj: [11]	 x:0.069	 y:-0.034	 phi:145.056
INFO [HybridAStarPlan][2315] traj: [12]	 x:-0.172	 y:0.146	 phi:141.337
INFO [HybridAStarPlan][2315] traj: [13]	 x:-0.400	 y:0.341	 phi:137.618
INFO [HybridAStarPlan][2315] traj: [14]	 x:-0.615	 y:0.550	 phi:133.899
INFO [HybridAStarPlan][2315] traj: [15]	 x:-0.815	 y:0.773	 phi:130.180
INFO [HybridAStarPlan][2315] traj: [16]	 x:-1.001	 y:1.008	 phi:126.460
INFO [HybridAStarPlan][2315] traj: [17]	 x:-1.172	 y:1.255	 phi:122.741
INFO [HybridAStarPlan][2315] traj: [18]	 x:-1.326	 y:1.512	 phi:119.022
INFO [HybridAStarPlan][2315] traj: [19]	 x:-1.463	 y:1.779	 phi:115.303
INFO [HybridAStarPlan][2315] traj: [20]	 x:-1.582	 y:2.055	 phi:111.584
INFO [HybridAStarPlan][2315] traj: [21]	 x:-1.683	 y:2.337	 phi:107.864
INFO [HybridAStarPlan][2315] traj: [22]	 x:-1.766	 y:2.625	 phi:104.145
INFO [HybridAStarPlan][2315] traj: [23]	 x:-1.833	 y:2.918	 phi:103.471
INFO [HybridAStarPlan][2315] traj: [24]	 x:-1.772	 y:2.624	 phi:99.752
INFO [HybridAStarPlan][2315] traj: [25]	 x:-1.731	 y:2.327	 phi:96.033
INFO [HybridAStarPlan][2315] traj: [26]	 x:-1.709	 y:2.028	 phi:92.313
INFO [HybridAStarPlan][2315] traj: [27]	 x:-1.707	 y:1.728	 phi:88.594
INFO [HybridAStarPlan][2315] traj: [28]	 x:-1.724	 y:1.428	 phi:84.875
INFO [HybridAStarPlan][2315] traj: [29]	 x:-1.761	 y:1.130	 phi:81.156
INFO [HybridAStarPlan][2315] traj: [30]	 x:-1.816	 y:0.836	 phi:77.437
INFO [HybridAStarPlan][2315] traj: [31]	 x:-1.891	 y:0.545	 phi:73.717
INFO [HybridAStarPlan][2315] traj: [32]	 x:-1.984	 y:0.260	 phi:69.998
INFO [HybridAStarPlan][2315] traj: [33]	 x:-2.096	 y:-0.018	 phi:66.279
INFO [HybridAStarPlan][2315] traj: [34]	 x:-2.226	 y:-0.289	 phi:62.560
INFO [HybridAStarPlan][2315] traj: [35]	 x:-2.240	 y:-0.317	 phi:62.172

