Received data from command line argument, length: 841
<<<<<<<<<<<<<<<<  ID: 104cff86c5fa  <<<<<<<<<<<<<<<<
INFO [ParseReceivedData][1825] new: xmin: -13
INFO [ParseReceivedData][1838] plan_cnt: 0
INFO [ParseReceivedData][1840] xybounds: xmin: -13  xmax: 5  ymin: -7  ymax: 9
INFO [ParseReceivedData][1841] radarnums: 0  sidenums:0
INFO [ParseReceivedData][1842] endpos_correct_flag: 0
INFO [ParseReceivedData][1875] oblslot[6]: 0.200, 1.200
INFO [ParseReceivedData][1875] oblslot[6]: 0.200, 0.200
INFO [ParseReceivedData][1875] oblslot[6]: 4.960, 0.200
INFO [ParseReceivedData][1875] oblslot[6]: 4.960, -2.746
INFO [ParseReceivedData][1875] oblslot[6]: 0.200, -2.746
INFO [ParseReceivedData][1875] oblslot[6]: 0.200, -3.246
INFO [ParseReceivedData][1990] slot_type: 2
INFO [ParseReceivedData][1991] target_dir: 0
INFO [ParseReceivedData][1992] start: 3.197 -1.272 3.142
INFO [ParseReceivedData][1993] end: -1.847 -4.227 1.852
INFO [HybridAStarPlan][2220] -------------------1-------------------
INFO [RSCurveQuickCalTraj][1197] RS cal time: 3.400ms
INFO [HybridAStarPlan][2231] 1_result: 1   (34)
INFO [HybridAStarPlan][2298] path send success 35
INFO [HybridAStarPlan][2315] traj: [0]	 x:0.197	 y:-1.272	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [1]	 x:-0.103	 y:-1.262	 phi:176.281
INFO [HybridAStarPlan][2315] traj: [2]	 x:-0.401	 y:-1.233	 phi:172.562
INFO [HybridAStarPlan][2315] traj: [3]	 x:-0.697	 y:-1.185	 phi:168.843
INFO [HybridAStarPlan][2315] traj: [4]	 x:-0.990	 y:-1.117	 phi:165.124
INFO [HybridAStarPlan][2315] traj: [5]	 x:-1.277	 y:-1.031	 phi:161.405
INFO [HybridAStarPlan][2315] traj: [6]	 x:-1.558	 y:-0.926	 phi:157.685
INFO [HybridAStarPlan][2315] traj: [7]	 x:-1.831	 y:-0.803	 phi:153.966
INFO [HybridAStarPlan][2315] traj: [8]	 x:-2.097	 y:-0.663	 phi:150.247
INFO [HybridAStarPlan][2315] traj: [9]	 x:-2.352	 y:-0.506	 phi:146.528
INFO [HybridAStarPlan][2315] traj: [10]	 x:-2.597	 y:-0.332	 phi:142.809
INFO [HybridAStarPlan][2315] traj: [11]	 x:-2.830	 y:-0.143	 phi:139.089
INFO [HybridAStarPlan][2315] traj: [12]	 x:-3.050	 y:0.061	 phi:135.370
INFO [HybridAStarPlan][2315] traj: [13]	 x:-3.256	 y:0.278	 phi:131.651
INFO [HybridAStarPlan][2315] traj: [14]	 x:-3.448	 y:0.509	 phi:127.932
INFO [HybridAStarPlan][2315] traj: [15]	 x:-3.629	 y:0.748	 phi:128.008
INFO [HybridAStarPlan][2315] traj: [16]	 x:-3.452	 y:0.506	 phi:124.289
INFO [HybridAStarPlan][2315] traj: [17]	 x:-3.291	 y:0.253	 phi:120.570
INFO [HybridAStarPlan][2315] traj: [18]	 x:-3.147	 y:-0.010	 phi:116.851
INFO [HybridAStarPlan][2315] traj: [19]	 x:-3.020	 y:-0.282	 phi:113.131
INFO [HybridAStarPlan][2315] traj: [20]	 x:-2.912	 y:-0.562	 phi:109.412
INFO [HybridAStarPlan][2315] traj: [21]	 x:-2.821	 y:-0.848	 phi:106.089
INFO [HybridAStarPlan][2315] traj: [22]	 x:-2.738	 y:-1.136	 phi:106.089
INFO [HybridAStarPlan][2315] traj: [23]	 x:-2.655	 y:-1.424	 phi:106.089
INFO [HybridAStarPlan][2315] traj: [24]	 x:-2.572	 y:-1.712	 phi:106.089
INFO [HybridAStarPlan][2315] traj: [25]	 x:-2.488	 y:-2.001	 phi:106.089
INFO [HybridAStarPlan][2315] traj: [26]	 x:-2.405	 y:-2.289	 phi:106.089
INFO [HybridAStarPlan][2315] traj: [27]	 x:-2.322	 y:-2.577	 phi:106.089
INFO [HybridAStarPlan][2315] traj: [28]	 x:-2.239	 y:-2.865	 phi:106.089
INFO [HybridAStarPlan][2315] traj: [29]	 x:-2.156	 y:-3.154	 phi:106.089
INFO [HybridAStarPlan][2315] traj: [30]	 x:-2.073	 y:-3.442	 phi:106.089
INFO [HybridAStarPlan][2315] traj: [31]	 x:-1.990	 y:-3.730	 phi:106.089
INFO [HybridAStarPlan][2315] traj: [32]	 x:-1.907	 y:-4.018	 phi:106.089
INFO [HybridAStarPlan][2315] traj: [33]	 x:-1.847	 y:-4.227	 phi:106.089

