Received data from command line argument, length: 1306
<<<<<<<<<<<<<<<<  ID: 74d6ba91caf2  <<<<<<<<<<<<<<<<
INFO [ParseReceivedData][1838] plan_cnt: 0
INFO [ParseReceivedData][1840] xybounds: xmin: -9  xmax: 5  ymin: -6  ymax: 9
INFO [ParseReceivedData][1841] radarnums: 0  sidenums:0
INFO [ParseReceivedData][1842] endpos_correct_flag: 0
INFO [ParseReceivedData][1875] oblslot[6]: 0.200, 1.200
INFO [ParseReceivedData][1875] oblslot[6]: 0.200, 0.200
INFO [ParseReceivedData][1875] oblslot[6]: 4.960, 0.200
INFO [ParseReceivedData][1875] oblslot[6]: 4.960, -2.368
INFO [ParseReceivedData][1875] oblslot[6]: 0.200, -2.368
INFO [ParseReceivedData][1875] oblslot[6]: 0.200, -2.868
INFO [ParseReceivedData][1990] slot_type: 2
INFO [ParseReceivedData][1991] target_dir: 0
INFO [ParseReceivedData][1992] start: 2.997 -1.083 3.142
INFO [ParseReceivedData][1993] end: -2.690 -3.274 1.497
INFO [HybridAStarPlan][2220] -------------------1-------------------
INFO [RSCurveQuickCalTraj][1197] RS cal time: 2.331ms
INFO [HybridAStarPlan][2231] 1_result: 1   (35)
INFO [HybridAStarPlan][2298] path send success 36
INFO [HybridAStarPlan][2315] traj: [0]	 x:0.997	 y:-1.083	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [1]	 x:0.697	 y:-1.073	 phi:176.281
INFO [HybridAStarPlan][2315] traj: [2]	 x:0.399	 y:-1.044	 phi:172.562
INFO [HybridAStarPlan][2315] traj: [3]	 x:0.103	 y:-0.996	 phi:168.843
INFO [HybridAStarPlan][2315] traj: [4]	 x:-0.190	 y:-0.928	 phi:165.124
INFO [HybridAStarPlan][2315] traj: [5]	 x:-0.477	 y:-0.842	 phi:161.405
INFO [HybridAStarPlan][2315] traj: [6]	 x:-0.758	 y:-0.737	 phi:157.685
INFO [HybridAStarPlan][2315] traj: [7]	 x:-1.031	 y:-0.614	 phi:153.966
INFO [HybridAStarPlan][2315] traj: [8]	 x:-1.297	 y:-0.474	 phi:150.247
INFO [HybridAStarPlan][2315] traj: [9]	 x:-1.552	 y:-0.317	 phi:146.528
INFO [HybridAStarPlan][2315] traj: [10]	 x:-1.797	 y:-0.143	 phi:142.809
INFO [HybridAStarPlan][2315] traj: [11]	 x:-2.030	 y:0.046	 phi:139.089
INFO [HybridAStarPlan][2315] traj: [12]	 x:-2.250	 y:0.250	 phi:135.370
INFO [HybridAStarPlan][2315] traj: [13]	 x:-2.456	 y:0.467	 phi:131.651
INFO [HybridAStarPlan][2315] traj: [14]	 x:-2.648	 y:0.698	 phi:127.932
INFO [HybridAStarPlan][2315] traj: [15]	 x:-2.825	 y:0.940	 phi:124.213
INFO [HybridAStarPlan][2315] traj: [16]	 x:-2.985	 y:1.193	 phi:120.493
INFO [HybridAStarPlan][2315] traj: [17]	 x:-3.144	 y:1.448	 phi:123.847
INFO [HybridAStarPlan][2315] traj: [18]	 x:-2.985	 y:1.193	 phi:120.128
INFO [HybridAStarPlan][2315] traj: [19]	 x:-2.844	 y:0.929	 phi:116.150
INFO [HybridAStarPlan][2315] traj: [20]	 x:-2.721	 y:0.655	 phi:112.173
INFO [HybridAStarPlan][2315] traj: [21]	 x:-2.618	 y:0.374	 phi:108.195
INFO [HybridAStarPlan][2315] traj: [22]	 x:-2.534	 y:0.086	 phi:104.218
INFO [HybridAStarPlan][2315] traj: [23]	 x:-2.471	 y:-0.207	 phi:100.241
INFO [HybridAStarPlan][2315] traj: [24]	 x:-2.427	 y:-0.504	 phi:96.263
INFO [HybridAStarPlan][2315] traj: [25]	 x:-2.405	 y:-0.803	 phi:92.286
INFO [HybridAStarPlan][2315] traj: [26]	 x:-2.404	 y:-1.103	 phi:88.309
INFO [HybridAStarPlan][2315] traj: [27]	 x:-2.423	 y:-1.403	 phi:84.331
INFO [HybridAStarPlan][2315] traj: [28]	 x:-2.462	 y:-1.700	 phi:81.294
INFO [HybridAStarPlan][2315] traj: [29]	 x:-2.508	 y:-1.997	 phi:81.294
INFO [HybridAStarPlan][2315] traj: [30]	 x:-2.553	 y:-2.293	 phi:81.294
INFO [HybridAStarPlan][2315] traj: [31]	 x:-2.598	 y:-2.590	 phi:81.294
INFO [HybridAStarPlan][2315] traj: [32]	 x:-2.644	 y:-2.886	 phi:81.294
INFO [HybridAStarPlan][2315] traj: [33]	 x:-2.682	 y:-3.184	 phi:84.565
INFO [HybridAStarPlan][2315] traj: [34]	 x:-2.690	 y:-3.274	 phi:85.766

