Received data from command line argument, length: 553
<<<<<<<<<<<<<<<<  ID: 7a824ce51fe3  <<<<<<<<<<<<<<<<
INFO [ParseReceivedData][1838] plan_cnt: 1
INFO [ParseReceivedData][1840] xybounds: xmin: -9  xmax: 5  ymin: -5  ymax: 9
INFO [ParseReceivedData][1841] radarnums: 0  sidenums:0
INFO [ParseReceivedData][1842] endpos_correct_flag: 0
INFO [ParseReceivedData][1875] oblslot[6]: 0.039, 3.315
INFO [ParseReceivedData][1875] oblslot[6]: 0.039, 2.315
INFO [ParseReceivedData][1875] oblslot[6]: 4.960, 2.315
INFO [ParseReceivedData][1875] oblslot[6]: 4.960, -3.153
INFO [ParseReceivedData][1875] oblslot[6]: 0.200, -3.153
INFO [ParseReceivedData][1875] oblslot[6]: 0.200, -3.653
INFO [ParseReceivedData][1990] slot_type: 2
INFO [ParseReceivedData][1991] target_dir: 1
INFO [ParseReceivedData][1992] start: 3.196 -1.098 3.133
INFO [ParseReceivedData][1993] end: -3.201 3.701 2.118
INFO [HybridAStarPlan][2220] -------------------1-------------------
INFO [OneCircleToEndPosLineCalTraj][1534] CE cal time: 0.016ms
INFO [HybridAStarPlan][2225] 0_result: 0   (0)
INFO [RSCurveQuickCalTraj][1197] RS cal time: 0.554ms
INFO [HybridAStarPlan][2231] 1_result: 1   (29)
INFO [HybridAStarPlan][2298] path send success 29
INFO [HybridAStarPlan][2315] traj: [0]	 x:3.196	 y:-1.098	 phi:179.485
INFO [HybridAStarPlan][2315] traj: [1]	 x:2.896	 y:-1.085	 phi:175.766
INFO [HybridAStarPlan][2315] traj: [2]	 x:2.598	 y:-1.054	 phi:172.047
INFO [HybridAStarPlan][2315] traj: [3]	 x:2.302	 y:-1.003	 phi:168.327
INFO [HybridAStarPlan][2315] traj: [4]	 x:2.011	 y:-0.932	 phi:164.608
INFO [HybridAStarPlan][2315] traj: [5]	 x:1.724	 y:-0.843	 phi:160.889
INFO [HybridAStarPlan][2315] traj: [6]	 x:1.444	 y:-0.736	 phi:157.170
INFO [HybridAStarPlan][2315] traj: [7]	 x:1.172	 y:-0.611	 phi:153.451
INFO [HybridAStarPlan][2315] traj: [8]	 x:0.908	 y:-0.468	 phi:149.731
INFO [HybridAStarPlan][2315] traj: [9]	 x:0.654	 y:-0.309	 phi:146.012
INFO [HybridAStarPlan][2315] traj: [10]	 x:0.411	 y:-0.133	 phi:142.293
INFO [HybridAStarPlan][2315] traj: [11]	 x:0.180	 y:0.058	 phi:138.574
INFO [HybridAStarPlan][2315] traj: [12]	 x:-0.039	 y:0.264	 phi:134.854
INFO [HybridAStarPlan][2315] traj: [13]	 x:-0.248	 y:0.479	 phi:133.980
INFO [HybridAStarPlan][2315] traj: [14]	 x:-0.456	 y:0.695	 phi:133.980
INFO [HybridAStarPlan][2315] traj: [15]	 x:-0.664	 y:0.911	 phi:133.980
INFO [HybridAStarPlan][2315] traj: [16]	 x:-0.872	 y:1.127	 phi:133.980
INFO [HybridAStarPlan][2315] traj: [17]	 x:-1.081	 y:1.343	 phi:133.980
INFO [HybridAStarPlan][2315] traj: [18]	 x:-1.289	 y:1.559	 phi:133.980
INFO [HybridAStarPlan][2315] traj: [19]	 x:-1.497	 y:1.775	 phi:133.980
INFO [HybridAStarPlan][2315] traj: [20]	 x:-1.706	 y:1.990	 phi:133.980
INFO [HybridAStarPlan][2315] traj: [21]	 x:-1.914	 y:2.206	 phi:133.980
INFO [HybridAStarPlan][2315] traj: [22]	 x:-2.122	 y:2.422	 phi:133.980
INFO [HybridAStarPlan][2315] traj: [23]	 x:-2.331	 y:2.638	 phi:133.980
INFO [HybridAStarPlan][2315] traj: [24]	 x:-2.539	 y:2.854	 phi:133.980
INFO [HybridAStarPlan][2315] traj: [25]	 x:-2.743	 y:3.074	 phi:130.997
INFO [HybridAStarPlan][2315] traj: [26]	 x:-2.932	 y:3.307	 phi:127.278
INFO [HybridAStarPlan][2315] traj: [27]	 x:-3.106	 y:3.551	 phi:123.559
INFO [HybridAStarPlan][2315] traj: [28]	 x:-3.201	 y:3.701	 phi:121.364

