Received data from command line argument, length: 723
<<<<<<<<<<<<<<<<  ID: 118b07545e0d  <<<<<<<<<<<<<<<<
INFO [ParseReceivedData][1838] plan_cnt: 0
INFO [ParseReceivedData][1840] xybounds: xmin: -9  xmax: 5  ymin: -8  ymax: 9
INFO [ParseReceivedData][1841] radarnums: 0  sidenums:0
INFO [ParseReceivedData][1842] endpos_correct_flag: 0
INFO [ParseReceivedData][1875] oblslot[6]: 0.200, 1.200
INFO [ParseReceivedData][1875] oblslot[6]: 0.200, 0.200
INFO [ParseReceivedData][1875] oblslot[6]: 4.960, 0.200
INFO [ParseReceivedData][1875] oblslot[6]: 4.960, -4.516
INFO [ParseReceivedData][1875] oblslot[6]: 0.200, -4.516
INFO [ParseReceivedData][1875] oblslot[6]: 0.200, -5.016
INFO [ParseReceivedData][1990] slot_type: 2
INFO [ParseReceivedData][1991] target_dir: 0
INFO [ParseReceivedData][1992] start: 3.197 -1.107 3.142
INFO [ParseReceivedData][1993] end: -1.618 -5.173 1.607
INFO [HybridAStarPlan][2220] -------------------1-------------------
INFO [RSCurveQuickCalTraj][1197] RS cal time: 1.915ms
INFO [HybridAStarPlan][2231] 1_result: 1   (37)
INFO [HybridAStarPlan][2298] path send success 38
INFO [HybridAStarPlan][2315] traj: [0]	 x:1.197	 y:-1.107	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [1]	 x:0.897	 y:-1.097	 phi:176.281
INFO [HybridAStarPlan][2315] traj: [2]	 x:0.599	 y:-1.068	 phi:172.562
INFO [HybridAStarPlan][2315] traj: [3]	 x:0.303	 y:-1.020	 phi:168.843
INFO [HybridAStarPlan][2315] traj: [4]	 x:0.010	 y:-0.952	 phi:165.124
INFO [HybridAStarPlan][2315] traj: [5]	 x:-0.277	 y:-0.866	 phi:161.405
INFO [HybridAStarPlan][2315] traj: [6]	 x:-0.558	 y:-0.761	 phi:157.685
INFO [HybridAStarPlan][2315] traj: [7]	 x:-0.831	 y:-0.638	 phi:153.966
INFO [HybridAStarPlan][2315] traj: [8]	 x:-1.097	 y:-0.498	 phi:150.247
INFO [HybridAStarPlan][2315] traj: [9]	 x:-1.352	 y:-0.341	 phi:146.528
INFO [HybridAStarPlan][2315] traj: [10]	 x:-1.597	 y:-0.167	 phi:142.809
INFO [HybridAStarPlan][2315] traj: [11]	 x:-1.830	 y:0.022	 phi:139.089
INFO [HybridAStarPlan][2315] traj: [12]	 x:-2.050	 y:0.226	 phi:135.370
INFO [HybridAStarPlan][2315] traj: [13]	 x:-2.256	 y:0.443	 phi:131.651
INFO [HybridAStarPlan][2315] traj: [14]	 x:-2.448	 y:0.674	 phi:127.932
INFO [HybridAStarPlan][2315] traj: [15]	 x:-2.626	 y:0.915	 phi:126.007
INFO [HybridAStarPlan][2315] traj: [16]	 x:-2.457	 y:0.667	 phi:122.287
INFO [HybridAStarPlan][2315] traj: [17]	 x:-2.306	 y:0.409	 phi:118.568
INFO [HybridAStarPlan][2315] traj: [18]	 x:-2.171	 y:0.141	 phi:114.849
INFO [HybridAStarPlan][2315] traj: [19]	 x:-2.054	 y:-0.136	 phi:111.130
INFO [HybridAStarPlan][2315] traj: [20]	 x:-1.955	 y:-0.419	 phi:107.411
INFO [HybridAStarPlan][2315] traj: [21]	 x:-1.874	 y:-0.708	 phi:103.691
INFO [HybridAStarPlan][2315] traj: [22]	 x:-1.813	 y:-1.001	 phi:99.972
INFO [HybridAStarPlan][2315] traj: [23]	 x:-1.770	 y:-1.298	 phi:96.253
INFO [HybridAStarPlan][2315] traj: [24]	 x:-1.747	 y:-1.597	 phi:92.534
INFO [HybridAStarPlan][2315] traj: [25]	 x:-1.736	 y:-1.897	 phi:92.069
INFO [HybridAStarPlan][2315] traj: [26]	 x:-1.726	 y:-2.197	 phi:92.069
INFO [HybridAStarPlan][2315] traj: [27]	 x:-1.715	 y:-2.497	 phi:92.069
INFO [HybridAStarPlan][2315] traj: [28]	 x:-1.704	 y:-2.796	 phi:92.069
INFO [HybridAStarPlan][2315] traj: [29]	 x:-1.693	 y:-3.096	 phi:92.069
INFO [HybridAStarPlan][2315] traj: [30]	 x:-1.682	 y:-3.396	 phi:92.069
INFO [HybridAStarPlan][2315] traj: [31]	 x:-1.671	 y:-3.696	 phi:92.069
INFO [HybridAStarPlan][2315] traj: [32]	 x:-1.661	 y:-3.996	 phi:92.069
INFO [HybridAStarPlan][2315] traj: [33]	 x:-1.650	 y:-4.295	 phi:92.069
INFO [HybridAStarPlan][2315] traj: [34]	 x:-1.639	 y:-4.595	 phi:92.069
INFO [HybridAStarPlan][2315] traj: [35]	 x:-1.628	 y:-4.895	 phi:92.069
INFO [HybridAStarPlan][2315] traj: [36]	 x:-1.618	 y:-5.173	 phi:92.069

