Received data from command line argument, length: 882
<<<<<<<<<<<<<<<<  ID: c793298bf280  <<<<<<<<<<<<<<<<
INFO [ParseReceivedData][1838] plan_cnt: 4
INFO [ParseReceivedData][1840] xybounds: xmin: -9  xmax: 5  ymin: -5  ymax: 9
INFO [ParseReceivedData][1841] radarnums: 0  sidenums:0
INFO [ParseReceivedData][1842] endpos_correct_flag: 0
INFO [ParseReceivedData][1875] oblslot[6]: 0.180, 1.591
INFO [ParseReceivedData][1875] oblslot[6]: 0.180, 0.591
INFO [ParseReceivedData][1875] oblslot[6]: 4.960, 0.591
INFO [ParseReceivedData][1875] oblslot[6]: 4.960, -4.701
INFO [ParseReceivedData][1875] oblslot[6]: 0.088, -4.701
INFO [ParseReceivedData][1875] oblslot[6]: 0.088, -5.201
INFO [ParseReceivedData][1990] slot_type: 2
INFO [ParseReceivedData][1991] target_dir: 0
INFO [ParseReceivedData][1992] start: 3.697 -1.010 3.139
INFO [ParseReceivedData][1993] end: 0.008 -0.420 3.033
INFO [KeyNodeCheckValid][1110] false rs end
INFO [HybridAStarPlan][2220] -------------------0-------------------
INFO [GenerateDpMap][194] map explored node: 3135
INFO [Plan][681] map time: 68ms
INFO [Plan][746] explored_node_num:46
INFO [Plan][747] heuristic time is 0.715ms.
INFO [Plan][748] reed shepp time is 0.515ms.
INFO [Plan][749] total time: 72ms
INFO [HybridAStarPlan][2243] 2_result: 1   (29)
INFO [HybridAStarPlan][2298] path send success 30
INFO [HybridAStarPlan][2315] traj: [0]	 x:3.697	 y:-1.010	 phi:179.863
INFO [HybridAStarPlan][2315] traj: [1]	 x:3.397	 y:-1.009	 phi:176.144
INFO [HybridAStarPlan][2315] traj: [2]	 x:3.097	 y:-0.989	 phi:-178.007
INFO [HybridAStarPlan][2315] traj: [3]	 x:2.797	 y:-0.999	 phi:178.275
INFO [HybridAStarPlan][2315] traj: [4]	 x:2.498	 y:-0.990	 phi:-179.642
INFO [HybridAStarPlan][2315] traj: [5]	 x:2.198	 y:-0.992	 phi:176.639
INFO [HybridAStarPlan][2315] traj: [6]	 x:1.898	 y:-0.974	 phi:-177.511
INFO [HybridAStarPlan][2315] traj: [7]	 x:1.598	 y:-0.987	 phi:-171.661
INFO [HybridAStarPlan][2315] traj: [8]	 x:1.300	 y:-1.020	 phi:-175.639
INFO [HybridAStarPlan][2315] traj: [9]	 x:1.001	 y:-1.033	 phi:-179.616
INFO [HybridAStarPlan][2315] traj: [10]	 x:0.701	 y:-1.025	 phi:176.407
INFO [HybridAStarPlan][2315] traj: [11]	 x:0.402	 y:-0.995	 phi:172.429
INFO [HybridAStarPlan][2315] traj: [12]	 x:0.107	 y:-0.946	 phi:168.452
INFO [HybridAStarPlan][2315] traj: [13]	 x:-0.185	 y:-0.875	 phi:164.475
INFO [HybridAStarPlan][2315] traj: [14]	 x:-0.474	 y:-0.793	 phi:164.053
INFO [HybridAStarPlan][2315] traj: [15]	 x:-0.762	 y:-0.711	 phi:164.053
INFO [HybridAStarPlan][2315] traj: [16]	 x:-1.050	 y:-0.628	 phi:164.053
INFO [HybridAStarPlan][2315] traj: [17]	 x:-1.339	 y:-0.546	 phi:164.053
INFO [HybridAStarPlan][2315] traj: [18]	 x:-1.627	 y:-0.463	 phi:164.053
INFO [HybridAStarPlan][2315] traj: [19]	 x:-1.916	 y:-0.381	 phi:164.053
INFO [HybridAStarPlan][2315] traj: [20]	 x:-2.198	 y:-0.308	 phi:167.400
INFO [HybridAStarPlan][2315] traj: [21]	 x:-1.903	 y:-0.364	 phi:171.119
INFO [HybridAStarPlan][2315] traj: [22]	 x:-1.605	 y:-0.401	 phi:174.838
INFO [HybridAStarPlan][2315] traj: [23]	 x:-1.306	 y:-0.418	 phi:178.558
INFO [HybridAStarPlan][2315] traj: [24]	 x:-1.006	 y:-0.416	 phi:-177.724
INFO [HybridAStarPlan][2315] traj: [25]	 x:-0.707	 y:-0.398	 phi:-177.361
INFO [HybridAStarPlan][2315] traj: [26]	 x:-0.407	 y:-0.394	 phi:178.920
INFO [HybridAStarPlan][2315] traj: [27]	 x:-0.107	 y:-0.409	 phi:175.201
INFO [HybridAStarPlan][2315] traj: [28]	 x:0.008	 y:-0.420	 phi:173.767

