Received data from command line argument, length: 1202
<<<<<<<<<<<<<<<<  ID: 257bef982452  <<<<<<<<<<<<<<<<
INFO [ParseReceivedData][1838] plan_cnt: 0
INFO [ParseReceivedData][1840] xybounds: xmin: -9  xmax: 5  ymin: -5  ymax: 9
INFO [ParseReceivedData][1841] radarnums: 0  sidenums:0
INFO [ParseReceivedData][1842] endpos_correct_flag: 0
INFO [ParseReceivedData][1875] oblslot[6]: 0.000, 2.500
INFO [ParseReceivedData][1875] oblslot[6]: 0.000, 1.500
INFO [ParseReceivedData][1875] oblslot[6]: 4.960, 1.499
INFO [ParseReceivedData][1875] oblslot[6]: 4.960, -2.589
INFO [ParseReceivedData][1875] oblslot[6]: 0.126, -2.589
INFO [ParseReceivedData][1875] oblslot[6]: 0.126, -3.089
INFO [ParseReceivedData][1990] slot_type: 3
INFO [ParseReceivedData][1991] target_dir: 0
INFO [ParseReceivedData][1992] start: 2.997 -1.126 3.142
INFO [ParseReceivedData][1993] end: -3.533 -0.871 1.905
INFO [HybridAStarPlan][2220] -------------------1-------------------
INFO [RSCurveQuickCalTraj][1197] RS cal time: 0.753ms
INFO [HybridAStarPlan][2231] 1_result: 1   (35)
INFO [HybridAStarPlan][2298] path send success 37
INFO [HybridAStarPlan][2315] traj: [0]	 x:-1.003	 y:-1.126	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [1]	 x:-0.703	 y:-1.126	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [2]	 x:-0.403	 y:-1.126	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [3]	 x:-0.103	 y:-1.126	 phi:-179.348
INFO [HybridAStarPlan][2315] traj: [4]	 x:-0.403	 y:-1.119	 phi:176.933
INFO [HybridAStarPlan][2315] traj: [5]	 x:-0.702	 y:-1.094	 phi:173.214
INFO [HybridAStarPlan][2315] traj: [6]	 x:-0.998	 y:-1.049	 phi:169.494
INFO [HybridAStarPlan][2315] traj: [7]	 x:-1.291	 y:-0.984	 phi:165.775
INFO [HybridAStarPlan][2315] traj: [8]	 x:-1.579	 y:-0.901	 phi:162.056
INFO [HybridAStarPlan][2315] traj: [9]	 x:-1.862	 y:-0.800	 phi:158.337
INFO [HybridAStarPlan][2315] traj: [10]	 x:-2.137	 y:-0.680	 phi:154.618
INFO [HybridAStarPlan][2315] traj: [11]	 x:-2.403	 y:-0.543	 phi:150.898
INFO [HybridAStarPlan][2315] traj: [12]	 x:-2.661	 y:-0.388	 phi:147.179
INFO [HybridAStarPlan][2315] traj: [13]	 x:-2.907	 y:-0.218	 phi:143.460
INFO [HybridAStarPlan][2315] traj: [14]	 x:-3.142	 y:-0.031	 phi:139.741
INFO [HybridAStarPlan][2315] traj: [15]	 x:-3.365	 y:0.170	 phi:136.022
INFO [HybridAStarPlan][2315] traj: [16]	 x:-3.574	 y:0.385	 phi:132.302
INFO [HybridAStarPlan][2315] traj: [17]	 x:-3.768	 y:0.613	 phi:128.583
INFO [HybridAStarPlan][2315] traj: [18]	 x:-3.948	 y:0.854	 phi:124.864
INFO [HybridAStarPlan][2315] traj: [19]	 x:-4.111	 y:1.105	 phi:121.145
INFO [HybridAStarPlan][2315] traj: [20]	 x:-4.258	 y:1.367	 phi:117.426
INFO [HybridAStarPlan][2315] traj: [21]	 x:-4.387	 y:1.637	 phi:113.706
INFO [HybridAStarPlan][2315] traj: [22]	 x:-4.499	 y:1.916	 phi:109.987
INFO [HybridAStarPlan][2315] traj: [23]	 x:-4.598	 y:2.199	 phi:109.131
INFO [HybridAStarPlan][2315] traj: [24]	 x:-4.499	 y:1.916	 phi:109.131
INFO [HybridAStarPlan][2315] traj: [25]	 x:-4.401	 y:1.632	 phi:109.131
INFO [HybridAStarPlan][2315] traj: [26]	 x:-4.303	 y:1.349	 phi:109.131
INFO [HybridAStarPlan][2315] traj: [27]	 x:-4.204	 y:1.065	 phi:109.131
INFO [HybridAStarPlan][2315] traj: [28]	 x:-4.106	 y:0.782	 phi:109.131
INFO [HybridAStarPlan][2315] traj: [29]	 x:-4.008	 y:0.499	 phi:109.131
INFO [HybridAStarPlan][2315] traj: [30]	 x:-3.909	 y:0.215	 phi:109.131
INFO [HybridAStarPlan][2315] traj: [31]	 x:-3.811	 y:-0.068	 phi:109.131
INFO [HybridAStarPlan][2315] traj: [32]	 x:-3.713	 y:-0.352	 phi:109.131
INFO [HybridAStarPlan][2315] traj: [33]	 x:-3.614	 y:-0.635	 phi:109.131
INFO [HybridAStarPlan][2315] traj: [34]	 x:-3.533	 y:-0.871	 phi:109.131

