Received data from command line argument, length: 962
<<<<<<<<<<<<<<<<  ID: 33a29ed20541  <<<<<<<<<<<<<<<<
INFO [ParseReceivedData][1838] plan_cnt: 1
INFO [ParseReceivedData][1840] xybounds: xmin: -9  xmax: 5  ymin: -5  ymax: 9
INFO [ParseReceivedData][1841] radarnums: 0  sidenums:0
INFO [ParseReceivedData][1842] endpos_correct_flag: 0
INFO [ParseReceivedData][1875] oblslot[6]: -1.252, 1.767
INFO [ParseReceivedData][1875] oblslot[6]: -1.252, 0.767
INFO [ParseReceivedData][1875] oblslot[6]: 4.960, 0.767
INFO [ParseReceivedData][1875] oblslot[6]: 4.960, -3.982
INFO [ParseReceivedData][1875] oblslot[6]: 1.500, -3.983
INFO [ParseReceivedData][1875] oblslot[6]: 1.500, -4.483
INFO [ParseReceivedData][1990] slot_type: 3
INFO [ParseReceivedData][1991] target_dir: 0
INFO [ParseReceivedData][1992] start: 3.697 -0.973 3.142
INFO [ParseReceivedData][1993] end: -0.495 -1.358 3.175
INFO [HybridAStarPlan][2220] -------------------1-------------------
INFO [RSCurveQuickCalTraj][1197] RS cal time: 0.595ms
INFO [HybridAStarPlan][2231] 1_result: 1   (18)
INFO [HybridAStarPlan][2298] path send success 19
INFO [HybridAStarPlan][2315] traj: [0]	 x:2.697	 y:-0.973	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [1]	 x:2.997	 y:-0.970	 phi:-178.966
INFO [HybridAStarPlan][2315] traj: [2]	 x:3.297	 y:-0.962	 phi:-177.931
INFO [HybridAStarPlan][2315] traj: [3]	 x:3.597	 y:-0.949	 phi:-177.576
INFO [HybridAStarPlan][2315] traj: [4]	 x:3.297	 y:-0.965	 phi:-176.542
INFO [HybridAStarPlan][2315] traj: [5]	 x:2.998	 y:-0.985	 phi:-175.469
INFO [HybridAStarPlan][2315] traj: [6]	 x:2.699	 y:-1.012	 phi:-174.396
INFO [HybridAStarPlan][2315] traj: [7]	 x:2.401	 y:-1.044	 phi:-173.323
INFO [HybridAStarPlan][2315] traj: [8]	 x:2.103	 y:-1.082	 phi:-172.250
INFO [HybridAStarPlan][2315] traj: [9]	 x:1.806	 y:-1.124	 phi:-171.806
INFO [HybridAStarPlan][2315] traj: [10]	 x:1.509	 y:-1.167	 phi:-171.806
INFO [HybridAStarPlan][2315] traj: [11]	 x:1.212	 y:-1.209	 phi:-171.973
INFO [HybridAStarPlan][2315] traj: [12]	 x:0.915	 y:-1.249	 phi:-173.046
INFO [HybridAStarPlan][2315] traj: [13]	 x:0.617	 y:-1.282	 phi:-174.119
INFO [HybridAStarPlan][2315] traj: [14]	 x:0.318	 y:-1.310	 phi:-175.192
INFO [HybridAStarPlan][2315] traj: [15]	 x:0.019	 y:-1.332	 phi:-176.265
INFO [HybridAStarPlan][2315] traj: [16]	 x:-0.281	 y:-1.349	 phi:-177.337
INFO [HybridAStarPlan][2315] traj: [17]	 x:-0.495	 y:-1.358	 phi:-178.103

