Received data from command line argument, length: 1187
<<<<<<<<<<<<<<<<  ID: e102d521edcf  <<<<<<<<<<<<<<<<
INFO [ParseReceivedData][1838] plan_cnt: 0
INFO [ParseReceivedData][1840] xybounds: xmin: -9  xmax: 5  ymin: -5  ymax: 9
INFO [ParseReceivedData][1841] radarnums: 0  sidenums:0
INFO [ParseReceivedData][1842] endpos_correct_flag: 0
INFO [ParseReceivedData][1875] oblslot[6]: 0.200, 2.000
INFO [ParseReceivedData][1875] oblslot[6]: 0.200, 1.000
INFO [ParseReceivedData][1875] oblslot[6]: 5.037, 1.000
INFO [ParseReceivedData][1875] oblslot[6]: 5.037, -2.578
INFO [ParseReceivedData][1875] oblslot[6]: 0.467, -2.578
INFO [ParseReceivedData][1875] oblslot[6]: 0.467, -3.078
INFO [ParseReceivedData][1990] slot_type: 3
INFO [ParseReceivedData][1991] target_dir: 0
INFO [ParseReceivedData][1992] start: 3.197 -1.214 3.142
INFO [ParseReceivedData][1993] end: -2.790 -1.577 1.843
INFO [HybridAStarPlan][2220] -------------------1-------------------
INFO [RSCurveQuickCalTraj][1197] RS cal time: 0.608ms
INFO [HybridAStarPlan][2231] 1_result: 1   (38)
INFO [HybridAStarPlan][2298] path send success 40
INFO [HybridAStarPlan][2315] traj: [0]	 x:0.197	 y:-1.214	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [1]	 x:0.497	 y:-1.214	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [2]	 x:0.797	 y:-1.210	 phi:-177.763
INFO [HybridAStarPlan][2315] traj: [3]	 x:0.497	 y:-1.212	 phi:178.519
INFO [HybridAStarPlan][2315] traj: [4]	 x:0.198	 y:-1.195	 phi:174.799
INFO [HybridAStarPlan][2315] traj: [5]	 x:-0.100	 y:-1.158	 phi:171.080
INFO [HybridAStarPlan][2315] traj: [6]	 x:-0.395	 y:-1.102	 phi:167.361
INFO [HybridAStarPlan][2315] traj: [7]	 x:-0.685	 y:-1.027	 phi:163.642
INFO [HybridAStarPlan][2315] traj: [8]	 x:-0.970	 y:-0.933	 phi:159.922
INFO [HybridAStarPlan][2315] traj: [9]	 x:-1.248	 y:-0.821	 phi:156.203
INFO [HybridAStarPlan][2315] traj: [10]	 x:-1.519	 y:-0.691	 phi:152.484
INFO [HybridAStarPlan][2315] traj: [11]	 x:-1.780	 y:-0.544	 phi:148.765
INFO [HybridAStarPlan][2315] traj: [12]	 x:-2.031	 y:-0.380	 phi:145.046
INFO [HybridAStarPlan][2315] traj: [13]	 x:-2.271	 y:-0.201	 phi:141.326
INFO [HybridAStarPlan][2315] traj: [14]	 x:-2.499	 y:-0.006	 phi:137.607
INFO [HybridAStarPlan][2315] traj: [15]	 x:-2.714	 y:0.204	 phi:133.888
INFO [HybridAStarPlan][2315] traj: [16]	 x:-2.915	 y:0.426	 phi:130.169
INFO [HybridAStarPlan][2315] traj: [17]	 x:-3.101	 y:0.662	 phi:126.450
INFO [HybridAStarPlan][2315] traj: [18]	 x:-3.271	 y:0.909	 phi:122.730
INFO [HybridAStarPlan][2315] traj: [19]	 x:-3.425	 y:1.166	 phi:119.011
INFO [HybridAStarPlan][2315] traj: [20]	 x:-3.562	 y:1.433	 phi:115.292
INFO [HybridAStarPlan][2315] traj: [21]	 x:-3.681	 y:1.708	 phi:111.573
INFO [HybridAStarPlan][2315] traj: [22]	 x:-3.783	 y:1.991	 phi:107.854
INFO [HybridAStarPlan][2315] traj: [23]	 x:-3.867	 y:2.279	 phi:105.596
INFO [HybridAStarPlan][2315] traj: [24]	 x:-3.786	 y:1.990	 phi:105.596
INFO [HybridAStarPlan][2315] traj: [25]	 x:-3.705	 y:1.701	 phi:105.596
INFO [HybridAStarPlan][2315] traj: [26]	 x:-3.625	 y:1.412	 phi:105.596
INFO [HybridAStarPlan][2315] traj: [27]	 x:-3.544	 y:1.123	 phi:105.596
INFO [HybridAStarPlan][2315] traj: [28]	 x:-3.463	 y:0.834	 phi:105.596
INFO [HybridAStarPlan][2315] traj: [29]	 x:-3.383	 y:0.545	 phi:105.596
INFO [HybridAStarPlan][2315] traj: [30]	 x:-3.302	 y:0.256	 phi:105.596
INFO [HybridAStarPlan][2315] traj: [31]	 x:-3.221	 y:-0.033	 phi:105.596
INFO [HybridAStarPlan][2315] traj: [32]	 x:-3.141	 y:-0.322	 phi:105.596
INFO [HybridAStarPlan][2315] traj: [33]	 x:-3.060	 y:-0.611	 phi:105.596
INFO [HybridAStarPlan][2315] traj: [34]	 x:-2.979	 y:-0.900	 phi:105.596
INFO [HybridAStarPlan][2315] traj: [35]	 x:-2.899	 y:-1.189	 phi:105.596
INFO [HybridAStarPlan][2315] traj: [36]	 x:-2.818	 y:-1.478	 phi:105.596
INFO [HybridAStarPlan][2315] traj: [37]	 x:-2.790	 y:-1.577	 phi:105.596

