Received data from command line argument, length: 658
<<<<<<<<<<<<<<<<  ID: 5104e2d9cc37  <<<<<<<<<<<<<<<<
INFO [ParseReceivedData][1838] plan_cnt: 0
INFO [ParseReceivedData][1840] xybounds: xmin: -6  xmax: 3  ymin: -8  ymax: 8
INFO [ParseReceivedData][1841] radarnums: 0  sidenums:0
INFO [ParseReceivedData][1842] endpos_correct_flag: 0
INFO [ParseReceivedData][1875] oblslot[6]: -0.100, 2.852
INFO [ParseReceivedData][1875] oblslot[6]: -0.100, 0.815
INFO [ParseReceivedData][1875] oblslot[6]: 1.972, 0.815
INFO [ParseReceivedData][1875] oblslot[6]: 1.977, -6.450
INFO [ParseReceivedData][1875] oblslot[6]: -0.236, -6.450
INFO [ParseReceivedData][1875] oblslot[6]: -0.236, -8.450
INFO [ParseReceivedData][1990] slot_type: 0
INFO [ParseReceivedData][1991] target_dir: 0
INFO [ParseReceivedData][1992] start: 0.524 -4.991 1.571
INFO [ParseReceivedData][1993] end: -1.935 -3.711 1.574
INFO [HybridAStarPlan][2220] -------------------1-------------------
INFO [RSCurveQuickCalTraj][1197] RS cal time: 0.013ms
INFO [HybridAStarPlan][2231] 1_result: 0   (0)
INFO [GenerateDpMap][194] map explored node: 2045
INFO [Plan][681] map time: 37ms
INFO [Plan][746] explored_node_num:67
INFO [Plan][747] heuristic time is 1.021ms.
INFO [Plan][748] reed shepp time is 1.267ms.
INFO [Plan][749] total time: 43ms
INFO [HybridAStarPlan][2243] 2_result: 1   (31)
INFO [HybridAStarPlan][2298] path send success 32
INFO [HybridAStarPlan][2315] traj: [0]	 x:0.524	 y:-4.991	 phi:90.000
INFO [HybridAStarPlan][2315] traj: [1]	 x:0.524	 y:-4.691	 phi:95.850
INFO [HybridAStarPlan][2315] traj: [2]	 x:0.493	 y:-4.393	 phi:101.700
INFO [HybridAStarPlan][2315] traj: [3]	 x:0.432	 y:-4.099	 phi:107.550
INFO [HybridAStarPlan][2315] traj: [4]	 x:0.342	 y:-3.813	 phi:113.400
INFO [HybridAStarPlan][2315] traj: [5]	 x:0.223	 y:-3.537	 phi:119.250
INFO [HybridAStarPlan][2315] traj: [6]	 x:0.067	 y:-3.281	 phi:123.227
INFO [HybridAStarPlan][2315] traj: [7]	 x:-0.106	 y:-3.036	 phi:127.205
INFO [HybridAStarPlan][2315] traj: [8]	 x:-0.295	 y:-2.803	 phi:131.097
INFO [HybridAStarPlan][2315] traj: [9]	 x:-0.493	 y:-2.577	 phi:131.097
INFO [HybridAStarPlan][2315] traj: [10]	 x:-0.690	 y:-2.351	 phi:131.097
INFO [HybridAStarPlan][2315] traj: [11]	 x:-0.887	 y:-2.125	 phi:131.097
INFO [HybridAStarPlan][2315] traj: [12]	 x:-1.084	 y:-1.899	 phi:131.097
INFO [HybridAStarPlan][2315] traj: [13]	 x:-1.277	 y:-1.669	 phi:128.084
INFO [HybridAStarPlan][2315] traj: [14]	 x:-1.453	 y:-1.427	 phi:124.107
INFO [HybridAStarPlan][2315] traj: [15]	 x:-1.613	 y:-1.173	 phi:120.129
INFO [HybridAStarPlan][2315] traj: [16]	 x:-1.754	 y:-0.908	 phi:116.152
INFO [HybridAStarPlan][2315] traj: [17]	 x:-1.877	 y:-0.635	 phi:112.175
INFO [HybridAStarPlan][2315] traj: [18]	 x:-1.977	 y:-0.364	 phi:108.350
INFO [HybridAStarPlan][2315] traj: [19]	 x:-1.892	 y:-0.652	 phi:104.630
INFO [HybridAStarPlan][2315] traj: [20]	 x:-1.826	 y:-0.944	 phi:100.653
INFO [HybridAStarPlan][2315] traj: [21]	 x:-1.781	 y:-1.241	 phi:96.676
INFO [HybridAStarPlan][2315] traj: [22]	 x:-1.757	 y:-1.540	 phi:92.698
INFO [HybridAStarPlan][2315] traj: [23]	 x:-1.753	 y:-1.840	 phi:88.721
INFO [HybridAStarPlan][2315] traj: [24]	 x:-1.770	 y:-2.139	 phi:84.743
INFO [HybridAStarPlan][2315] traj: [25]	 x:-1.806	 y:-2.437	 phi:82.476
INFO [HybridAStarPlan][2315] traj: [26]	 x:-1.845	 y:-2.734	 phi:82.476
INFO [HybridAStarPlan][2315] traj: [27]	 x:-1.885	 y:-3.032	 phi:82.476
INFO [HybridAStarPlan][2315] traj: [28]	 x:-1.919	 y:-3.330	 phi:85.107
INFO [HybridAStarPlan][2315] traj: [29]	 x:-1.934	 y:-3.629	 phi:89.084
INFO [HybridAStarPlan][2315] traj: [30]	 x:-1.935	 y:-3.711	 phi:90.161

