Received data from command line argument, length: 1372
<<<<<<<<<<<<<<<<  ID: 71b832b85135  <<<<<<<<<<<<<<<<
INFO [ParseReceivedData][1838] plan_cnt: 0
INFO [ParseReceivedData][1840] xybounds: xmin: -9  xmax: 5  ymin: -5  ymax: 9
INFO [ParseReceivedData][1841] radarnums: 0  sidenums:0
INFO [ParseReceivedData][1842] endpos_correct_flag: 0
INFO [ParseReceivedData][1875] oblslot[6]: -0.000, 3.300
INFO [ParseReceivedData][1875] oblslot[6]: -0.000, 2.300
INFO [ParseReceivedData][1875] oblslot[6]: 4.960, 2.299
INFO [ParseReceivedData][1875] oblslot[6]: 4.960, -2.866
INFO [ParseReceivedData][1875] oblslot[6]: 0.354, -2.866
INFO [ParseReceivedData][1875] oblslot[6]: 0.354, -3.366
INFO [ParseReceivedData][1990] slot_type: 3
INFO [ParseReceivedData][1991] target_dir: 0
INFO [ParseReceivedData][1992] start: 3.197 -1.186 3.142
INFO [ParseReceivedData][1993] end: -2.908 -1.818 1.853
INFO [HybridAStarPlan][2220] -------------------1-------------------
INFO [RSCurveQuickCalTraj][1197] RS cal time: 0.590ms
INFO [HybridAStarPlan][2231] 1_result: 1   (38)
INFO [HybridAStarPlan][2298] path send success 40
INFO [HybridAStarPlan][2315] traj: [0]	 x:0.197	 y:-1.186	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [1]	 x:0.497	 y:-1.185	 phi:-178.545
INFO [HybridAStarPlan][2315] traj: [2]	 x:0.197	 y:-1.182	 phi:177.736
INFO [HybridAStarPlan][2315] traj: [3]	 x:-0.102	 y:-1.161	 phi:174.017
INFO [HybridAStarPlan][2315] traj: [4]	 x:-0.399	 y:-1.120	 phi:170.298
INFO [HybridAStarPlan][2315] traj: [5]	 x:-0.693	 y:-1.060	 phi:166.579
INFO [HybridAStarPlan][2315] traj: [6]	 x:-0.982	 y:-0.981	 phi:162.860
INFO [HybridAStarPlan][2315] traj: [7]	 x:-1.266	 y:-0.883	 phi:159.140
INFO [HybridAStarPlan][2315] traj: [8]	 x:-1.543	 y:-0.767	 phi:155.421
INFO [HybridAStarPlan][2315] traj: [9]	 x:-1.811	 y:-0.634	 phi:151.702
INFO [HybridAStarPlan][2315] traj: [10]	 x:-2.071	 y:-0.483	 phi:147.983
INFO [HybridAStarPlan][2315] traj: [11]	 x:-2.320	 y:-0.316	 phi:144.264
INFO [HybridAStarPlan][2315] traj: [12]	 x:-2.557	 y:-0.133	 phi:140.544
INFO [HybridAStarPlan][2315] traj: [13]	 x:-2.783	 y:0.065	 phi:136.825
INFO [HybridAStarPlan][2315] traj: [14]	 x:-2.995	 y:0.277	 phi:133.106
INFO [HybridAStarPlan][2315] traj: [15]	 x:-3.192	 y:0.503	 phi:129.387
INFO [HybridAStarPlan][2315] traj: [16]	 x:-3.375	 y:0.741	 phi:125.668
INFO [HybridAStarPlan][2315] traj: [17]	 x:-3.542	 y:0.990	 phi:121.948
INFO [HybridAStarPlan][2315] traj: [18]	 x:-3.692	 y:1.250	 phi:118.229
INFO [HybridAStarPlan][2315] traj: [19]	 x:-3.826	 y:1.518	 phi:114.510
INFO [HybridAStarPlan][2315] traj: [20]	 x:-3.941	 y:1.795	 phi:110.791
INFO [HybridAStarPlan][2315] traj: [21]	 x:-4.038	 y:2.079	 phi:107.072
INFO [HybridAStarPlan][2315] traj: [22]	 x:-4.123	 y:2.367	 phi:106.186
INFO [HybridAStarPlan][2315] traj: [23]	 x:-4.039	 y:2.079	 phi:106.186
INFO [HybridAStarPlan][2315] traj: [24]	 x:-3.955	 y:1.791	 phi:106.186
INFO [HybridAStarPlan][2315] traj: [25]	 x:-3.872	 y:1.502	 phi:106.186
INFO [HybridAStarPlan][2315] traj: [26]	 x:-3.788	 y:1.214	 phi:106.186
INFO [HybridAStarPlan][2315] traj: [27]	 x:-3.704	 y:0.926	 phi:106.186
INFO [HybridAStarPlan][2315] traj: [28]	 x:-3.621	 y:0.638	 phi:106.186
INFO [HybridAStarPlan][2315] traj: [29]	 x:-3.537	 y:0.350	 phi:106.186
INFO [HybridAStarPlan][2315] traj: [30]	 x:-3.454	 y:0.062	 phi:106.186
INFO [HybridAStarPlan][2315] traj: [31]	 x:-3.370	 y:-0.226	 phi:106.186
INFO [HybridAStarPlan][2315] traj: [32]	 x:-3.286	 y:-0.514	 phi:106.186
INFO [HybridAStarPlan][2315] traj: [33]	 x:-3.203	 y:-0.802	 phi:106.186
INFO [HybridAStarPlan][2315] traj: [34]	 x:-3.119	 y:-1.090	 phi:106.186
INFO [HybridAStarPlan][2315] traj: [35]	 x:-3.035	 y:-1.379	 phi:106.186
INFO [HybridAStarPlan][2315] traj: [36]	 x:-2.952	 y:-1.667	 phi:106.186
INFO [HybridAStarPlan][2315] traj: [37]	 x:-2.908	 y:-1.818	 phi:106.186

