Received data from command line argument, length: 608
<<<<<<<<<<<<<<<<  ID: b1b01225f768  <<<<<<<<<<<<<<<<
INFO [ParseReceivedData][1838] plan_cnt: 0
INFO [ParseReceivedData][1840] xybounds: xmin: -9  xmax: 5  ymin: -8  ymax: 9
INFO [ParseReceivedData][1841] radarnums: 0  sidenums:0
INFO [ParseReceivedData][1842] endpos_correct_flag: 0
INFO [ParseReceivedData][1875] oblslot[6]: -1.000, 2.000
INFO [ParseReceivedData][1875] oblslot[6]: -1.000, 1.000
INFO [ParseReceivedData][1875] oblslot[6]: 4.960, 1.000
INFO [ParseReceivedData][1875] oblslot[6]: 4.960, -2.750
INFO [ParseReceivedData][1875] oblslot[6]: 0.200, -2.750
INFO [ParseReceivedData][1875] oblslot[6]: 0.200, -3.250
INFO [ParseReceivedData][1990] slot_type: 3
INFO [ParseReceivedData][1991] target_dir: 0
INFO [ParseReceivedData][1992] start: 3.197 -1.274 3.142
INFO [ParseReceivedData][1993] end: -1.323 -5.332 2.070
INFO [HybridAStarPlan][2220] -------------------1-------------------
INFO [RSCurveQuickCalTraj][1197] RS cal time: 0.549ms
INFO [HybridAStarPlan][2231] 1_result: 0   (0)
INFO [GenerateDpMap][194] map explored node: 3975
INFO [Plan][681] map time: 80ms
INFO [Plan][746] explored_node_num:64
INFO [Plan][747] heuristic time is 1.029ms.
INFO [Plan][748] reed shepp time is 0.992ms.
INFO [Plan][749] total time: 85ms
INFO [HybridAStarPlan][2243] 2_result: 1   (44)
INFO [HybridAStarPlan][2298] path send success 45
INFO [HybridAStarPlan][2315] traj: [0]	 x:3.197	 y:-1.274	 phi:180.001
INFO [HybridAStarPlan][2315] traj: [1]	 x:2.897	 y:-1.274	 phi:-174.150
INFO [HybridAStarPlan][2315] traj: [2]	 x:2.599	 y:-1.305	 phi:-177.869
INFO [HybridAStarPlan][2315] traj: [3]	 x:2.299	 y:-1.316	 phi:178.412
INFO [HybridAStarPlan][2315] traj: [4]	 x:1.999	 y:-1.307	 phi:174.693
INFO [HybridAStarPlan][2315] traj: [5]	 x:1.699	 y:-1.290	 phi:178.670
INFO [HybridAStarPlan][2315] traj: [6]	 x:1.400	 y:-1.294	 phi:-177.353
INFO [HybridAStarPlan][2315] traj: [7]	 x:1.101	 y:-1.318	 phi:-173.375
INFO [HybridAStarPlan][2315] traj: [8]	 x:0.804	 y:-1.363	 phi:-169.398
INFO [HybridAStarPlan][2315] traj: [9]	 x:0.510	 y:-1.424	 phi:-167.973
INFO [HybridAStarPlan][2315] traj: [10]	 x:0.217	 y:-1.486	 phi:-167.973
INFO [HybridAStarPlan][2315] traj: [11]	 x:-0.076	 y:-1.549	 phi:-167.973
INFO [HybridAStarPlan][2315] traj: [12]	 x:-0.370	 y:-1.611	 phi:-167.973
INFO [HybridAStarPlan][2315] traj: [13]	 x:-0.663	 y:-1.674	 phi:-167.973
INFO [HybridAStarPlan][2315] traj: [14]	 x:-0.957	 y:-1.736	 phi:-167.973
INFO [HybridAStarPlan][2315] traj: [15]	 x:-1.250	 y:-1.799	 phi:-167.973
INFO [HybridAStarPlan][2315] traj: [16]	 x:-1.544	 y:-1.861	 phi:-167.973
INFO [HybridAStarPlan][2315] traj: [17]	 x:-1.837	 y:-1.924	 phi:-167.973
INFO [HybridAStarPlan][2315] traj: [18]	 x:-2.131	 y:-1.984	 phi:-169.775
INFO [HybridAStarPlan][2315] traj: [19]	 x:-2.428	 y:-2.027	 phi:-173.753
INFO [HybridAStarPlan][2315] traj: [20]	 x:-2.727	 y:-2.050	 phi:-177.730
INFO [HybridAStarPlan][2315] traj: [21]	 x:-3.027	 y:-2.051	 phi:178.293
INFO [HybridAStarPlan][2315] traj: [22]	 x:-3.326	 y:-2.032	 phi:174.315
INFO [HybridAStarPlan][2315] traj: [23]	 x:-3.623	 y:-1.992	 phi:170.338
INFO [HybridAStarPlan][2315] traj: [24]	 x:-3.917	 y:-1.931	 phi:166.361
INFO [HybridAStarPlan][2315] traj: [25]	 x:-4.206	 y:-1.850	 phi:162.383
INFO [HybridAStarPlan][2315] traj: [26]	 x:-4.401	 y:-1.783	 phi:159.642
INFO [HybridAStarPlan][2315] traj: [27]	 x:-4.124	 y:-1.897	 phi:155.923
INFO [HybridAStarPlan][2315] traj: [28]	 x:-3.854	 y:-2.028	 phi:151.945
INFO [HybridAStarPlan][2315] traj: [29]	 x:-3.595	 y:-2.178	 phi:147.968
INFO [HybridAStarPlan][2315] traj: [30]	 x:-3.346	 y:-2.346	 phi:143.990
INFO [HybridAStarPlan][2315] traj: [31]	 x:-3.110	 y:-2.531	 phi:140.013
INFO [HybridAStarPlan][2315] traj: [32]	 x:-2.887	 y:-2.732	 phi:136.036
INFO [HybridAStarPlan][2315] traj: [33]	 x:-2.678	 y:-2.947	 phi:132.058
INFO [HybridAStarPlan][2315] traj: [34]	 x:-2.485	 y:-3.177	 phi:128.081
INFO [HybridAStarPlan][2315] traj: [35]	 x:-2.308	 y:-3.419	 phi:124.104
INFO [HybridAStarPlan][2315] traj: [36]	 x:-2.149	 y:-3.673	 phi:120.126
INFO [HybridAStarPlan][2315] traj: [37]	 x:-2.008	 y:-3.938	 phi:116.149
INFO [HybridAStarPlan][2315] traj: [38]	 x:-1.876	 y:-4.207	 phi:115.979
INFO [HybridAStarPlan][2315] traj: [39]	 x:-1.745	 y:-4.477	 phi:115.979
INFO [HybridAStarPlan][2315] traj: [40]	 x:-1.613	 y:-4.747	 phi:115.979
INFO [HybridAStarPlan][2315] traj: [41]	 x:-1.482	 y:-5.016	 phi:115.979
INFO [HybridAStarPlan][2315] traj: [42]	 x:-1.348	 y:-5.285	 phi:117.876
INFO [HybridAStarPlan][2315] traj: [43]	 x:-1.323	 y:-5.332	 phi:118.585

