Received data from command line argument, length: 841
<<<<<<<<<<<<<<<<  ID: 104cff86c5fa  <<<<<<<<<<<<<<<<
INFO [ParseReceivedData][1838] plan_cnt: 0
INFO [ParseReceivedData][1840] xybounds: xmin: -11  xmax: 5  ymin: -7  ymax: 9
INFO [ParseReceivedData][1841] radarnums: 0  sidenums:0
INFO [ParseReceivedData][1842] endpos_correct_flag: 0
INFO [ParseReceivedData][1875] oblslot[6]: 0.200, 1.200
INFO [ParseReceivedData][1875] oblslot[6]: 0.200, 0.200
INFO [ParseReceivedData][1875] oblslot[6]: 4.960, 0.200
INFO [ParseReceivedData][1875] oblslot[6]: 4.960, -2.746
INFO [ParseReceivedData][1875] oblslot[6]: 0.200, -2.746
INFO [ParseReceivedData][1875] oblslot[6]: 0.200, -3.246
INFO [ParseReceivedData][1990] slot_type: 3
INFO [ParseReceivedData][1991] target_dir: 0
INFO [ParseReceivedData][1992] start: 3.197 -1.272 3.142
INFO [ParseReceivedData][1993] end: -2.346 -4.727 1.852
INFO [HybridAStarPlan][2220] -------------------1-------------------
INFO [RSCurveQuickCalTraj][1197] RS cal time: 0.559ms
INFO [HybridAStarPlan][2231] 1_result: 1   (50)
INFO [HybridAStarPlan][2298] path send success 52
INFO [HybridAStarPlan][2315] traj: [0]	 x:-0.803	 y:-1.272	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [1]	 x:-0.503	 y:-1.272	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [2]	 x:-0.203	 y:-1.272	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [3]	 x:0.097	 y:-1.272	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [4]	 x:0.397	 y:-1.265	 phi:-176.741
INFO [HybridAStarPlan][2315] traj: [5]	 x:0.097	 y:-1.272	 phi:179.540
INFO [HybridAStarPlan][2315] traj: [6]	 x:-0.203	 y:-1.260	 phi:175.820
INFO [HybridAStarPlan][2315] traj: [7]	 x:-0.501	 y:-1.228	 phi:172.101
INFO [HybridAStarPlan][2315] traj: [8]	 x:-0.797	 y:-1.177	 phi:168.382
INFO [HybridAStarPlan][2315] traj: [9]	 x:-1.088	 y:-1.107	 phi:164.663
INFO [HybridAStarPlan][2315] traj: [10]	 x:-1.375	 y:-1.019	 phi:160.944
INFO [HybridAStarPlan][2315] traj: [11]	 x:-1.655	 y:-0.912	 phi:157.224
INFO [HybridAStarPlan][2315] traj: [12]	 x:-1.928	 y:-0.787	 phi:153.505
INFO [HybridAStarPlan][2315] traj: [13]	 x:-2.192	 y:-0.644	 phi:149.786
INFO [HybridAStarPlan][2315] traj: [14]	 x:-2.446	 y:-0.485	 phi:146.067
INFO [HybridAStarPlan][2315] traj: [15]	 x:-2.689	 y:-0.309	 phi:142.348
INFO [HybridAStarPlan][2315] traj: [16]	 x:-2.920	 y:-0.119	 phi:138.628
INFO [HybridAStarPlan][2315] traj: [17]	 x:-3.139	 y:0.087	 phi:134.909
INFO [HybridAStarPlan][2315] traj: [18]	 x:-3.344	 y:0.306	 phi:131.190
INFO [HybridAStarPlan][2315] traj: [19]	 x:-3.534	 y:0.538	 phi:127.471
INFO [HybridAStarPlan][2315] traj: [20]	 x:-3.709	 y:0.782	 phi:123.752
INFO [HybridAStarPlan][2315] traj: [21]	 x:-3.867	 y:1.037	 phi:120.032
INFO [HybridAStarPlan][2315] traj: [22]	 x:-4.009	 y:1.301	 phi:116.313
INFO [HybridAStarPlan][2315] traj: [23]	 x:-4.133	 y:1.574	 phi:112.594
INFO [HybridAStarPlan][2315] traj: [24]	 x:-4.239	 y:1.855	 phi:108.875
INFO [HybridAStarPlan][2315] traj: [25]	 x:-4.327	 y:2.141	 phi:106.089
INFO [HybridAStarPlan][2315] traj: [26]	 x:-4.244	 y:1.853	 phi:106.089
INFO [HybridAStarPlan][2315] traj: [27]	 x:-4.161	 y:1.565	 phi:106.089
INFO [HybridAStarPlan][2315] traj: [28]	 x:-4.078	 y:1.276	 phi:106.089
INFO [HybridAStarPlan][2315] traj: [29]	 x:-3.995	 y:0.988	 phi:106.089
INFO [HybridAStarPlan][2315] traj: [30]	 x:-3.912	 y:0.700	 phi:106.089
INFO [HybridAStarPlan][2315] traj: [31]	 x:-3.828	 y:0.412	 phi:106.089
INFO [HybridAStarPlan][2315] traj: [32]	 x:-3.745	 y:0.123	 phi:106.089
INFO [HybridAStarPlan][2315] traj: [33]	 x:-3.662	 y:-0.165	 phi:106.089
INFO [HybridAStarPlan][2315] traj: [34]	 x:-3.579	 y:-0.453	 phi:106.089
INFO [HybridAStarPlan][2315] traj: [35]	 x:-3.496	 y:-0.741	 phi:106.089
INFO [HybridAStarPlan][2315] traj: [36]	 x:-3.413	 y:-1.030	 phi:106.089
INFO [HybridAStarPlan][2315] traj: [37]	 x:-3.330	 y:-1.318	 phi:106.089
INFO [HybridAStarPlan][2315] traj: [38]	 x:-3.247	 y:-1.606	 phi:106.089
INFO [HybridAStarPlan][2315] traj: [39]	 x:-3.163	 y:-1.894	 phi:106.089
INFO [HybridAStarPlan][2315] traj: [40]	 x:-3.080	 y:-2.183	 phi:106.089
INFO [HybridAStarPlan][2315] traj: [41]	 x:-2.997	 y:-2.471	 phi:106.089
INFO [HybridAStarPlan][2315] traj: [42]	 x:-2.914	 y:-2.759	 phi:106.089
INFO [HybridAStarPlan][2315] traj: [43]	 x:-2.831	 y:-3.047	 phi:106.089
INFO [HybridAStarPlan][2315] traj: [44]	 x:-2.748	 y:-3.336	 phi:106.089
INFO [HybridAStarPlan][2315] traj: [45]	 x:-2.665	 y:-3.624	 phi:106.089
INFO [HybridAStarPlan][2315] traj: [46]	 x:-2.581	 y:-3.912	 phi:106.089
INFO [HybridAStarPlan][2315] traj: [47]	 x:-2.498	 y:-4.200	 phi:106.089
INFO [HybridAStarPlan][2315] traj: [48]	 x:-2.415	 y:-4.489	 phi:106.089
INFO [HybridAStarPlan][2315] traj: [49]	 x:-2.346	 y:-4.727	 phi:106.089

