Received data from command line argument, length: 916
<<<<<<<<<<<<<<<<  ID: 9ceec2b30ba1  <<<<<<<<<<<<<<<<
INFO [ParseReceivedData][1838] plan_cnt: 0
INFO [ParseReceivedData][1840] xybounds: xmin: -11  xmax: 5  ymin: -8  ymax: 9
INFO [ParseReceivedData][1841] radarnums: 0  sidenums:0
INFO [ParseReceivedData][1842] endpos_correct_flag: 0
INFO [ParseReceivedData][1875] oblslot[6]: -1.000, 1.200
INFO [ParseReceivedData][1875] oblslot[6]: -1.000, 0.200
INFO [ParseReceivedData][1875] oblslot[6]: 4.960, 0.200
INFO [ParseReceivedData][1875] oblslot[6]: 4.960, -2.740
INFO [ParseReceivedData][1875] oblslot[6]: 0.200, -2.740
INFO [ParseReceivedData][1875] oblslot[6]: 0.200, -3.240
INFO [ParseReceivedData][1990] slot_type: 8
INFO [ParseReceivedData][1991] target_dir: 0
INFO [ParseReceivedData][1992] start: 3.197 -1.269 3.142
INFO [ParseReceivedData][1993] end: -0.854 -5.560 2.066
INFO [HybridAStarPlan][2220] -------------------1-------------------
INFO [RSCurveQuickCalTraj][1197] RS cal time: 0.013ms
INFO [HybridAStarPlan][2231] 1_result: 0   (0)
INFO [GenerateDpMap][194] map explored node: 4685
INFO [Plan][681] map time: 99ms
INFO [Plan][746] explored_node_num:66
INFO [Plan][747] heuristic time is 1.116ms.
INFO [Plan][748] reed shepp time is 1.223ms.
INFO [Plan][749] total time: 104ms
INFO [HybridAStarPlan][2243] 2_result: 1   (43)
INFO [HybridAStarPlan][2298] path send success 44
INFO [HybridAStarPlan][2315] traj: [0]	 x:3.197	 y:-1.269	 phi:180.001
INFO [HybridAStarPlan][2315] traj: [1]	 x:2.897	 y:-1.269	 phi:-174.150
INFO [HybridAStarPlan][2315] traj: [2]	 x:2.599	 y:-1.300	 phi:-177.869
INFO [HybridAStarPlan][2315] traj: [3]	 x:2.299	 y:-1.311	 phi:178.412
INFO [HybridAStarPlan][2315] traj: [4]	 x:1.999	 y:-1.302	 phi:174.693
INFO [HybridAStarPlan][2315] traj: [5]	 x:1.699	 y:-1.285	 phi:178.670
INFO [HybridAStarPlan][2315] traj: [6]	 x:1.400	 y:-1.289	 phi:-177.353
INFO [HybridAStarPlan][2315] traj: [7]	 x:1.100	 y:-1.308	 phi:-176.041
INFO [HybridAStarPlan][2315] traj: [8]	 x:0.801	 y:-1.329	 phi:-176.041
INFO [HybridAStarPlan][2315] traj: [9]	 x:0.502	 y:-1.350	 phi:-176.041
INFO [HybridAStarPlan][2315] traj: [10]	 x:0.202	 y:-1.370	 phi:-176.041
INFO [HybridAStarPlan][2315] traj: [11]	 x:-0.097	 y:-1.391	 phi:-176.041
INFO [HybridAStarPlan][2315] traj: [12]	 x:-0.396	 y:-1.412	 phi:-176.041
INFO [HybridAStarPlan][2315] traj: [13]	 x:-0.696	 y:-1.432	 phi:-176.041
INFO [HybridAStarPlan][2315] traj: [14]	 x:-0.995	 y:-1.453	 phi:-176.584
INFO [HybridAStarPlan][2315] traj: [15]	 x:-1.295	 y:-1.460	 phi:179.439
INFO [HybridAStarPlan][2315] traj: [16]	 x:-1.594	 y:-1.447	 phi:175.462
INFO [HybridAStarPlan][2315] traj: [17]	 x:-1.892	 y:-1.413	 phi:171.484
INFO [HybridAStarPlan][2315] traj: [18]	 x:-2.187	 y:-1.358	 phi:167.507
INFO [HybridAStarPlan][2315] traj: [19]	 x:-2.478	 y:-1.283	 phi:163.530
INFO [HybridAStarPlan][2315] traj: [20]	 x:-2.762	 y:-1.188	 phi:159.552
INFO [HybridAStarPlan][2315] traj: [21]	 x:-3.039	 y:-1.074	 phi:155.575
INFO [HybridAStarPlan][2315] traj: [22]	 x:-3.308	 y:-0.940	 phi:151.598
INFO [HybridAStarPlan][2315] traj: [23]	 x:-3.510	 y:-0.824	 phi:148.507
INFO [HybridAStarPlan][2315] traj: [24]	 x:-3.259	 y:-0.989	 phi:144.788
INFO [HybridAStarPlan][2315] traj: [25]	 x:-3.020	 y:-1.170	 phi:140.811
INFO [HybridAStarPlan][2315] traj: [26]	 x:-2.795	 y:-1.368	 phi:136.833
INFO [HybridAStarPlan][2315] traj: [27]	 x:-2.583	 y:-1.580	 phi:132.856
INFO [HybridAStarPlan][2315] traj: [28]	 x:-2.387	 y:-1.807	 phi:128.878
INFO [HybridAStarPlan][2315] traj: [29]	 x:-2.207	 y:-2.047	 phi:124.901
INFO [HybridAStarPlan][2315] traj: [30]	 x:-2.044	 y:-2.299	 phi:120.924
INFO [HybridAStarPlan][2315] traj: [31]	 x:-1.899	 y:-2.561	 phi:116.946
INFO [HybridAStarPlan][2315] traj: [32]	 x:-1.772	 y:-2.833	 phi:112.969
INFO [HybridAStarPlan][2315] traj: [33]	 x:-1.665	 y:-3.113	 phi:108.992
INFO [HybridAStarPlan][2315] traj: [34]	 x:-1.577	 y:-3.400	 phi:105.944
INFO [HybridAStarPlan][2315] traj: [35]	 x:-1.494	 y:-3.689	 phi:105.944
INFO [HybridAStarPlan][2315] traj: [36]	 x:-1.412	 y:-3.977	 phi:105.944
INFO [HybridAStarPlan][2315] traj: [37]	 x:-1.329	 y:-4.265	 phi:105.944
INFO [HybridAStarPlan][2315] traj: [38]	 x:-1.247	 y:-4.554	 phi:105.944
INFO [HybridAStarPlan][2315] traj: [39]	 x:-1.162	 y:-4.842	 phi:108.000
INFO [HybridAStarPlan][2315] traj: [40]	 x:-1.059	 y:-5.123	 phi:111.977
INFO [HybridAStarPlan][2315] traj: [41]	 x:-0.938	 y:-5.398	 phi:115.954
INFO [HybridAStarPlan][2315] traj: [42]	 x:-0.854	 y:-5.560	 phi:118.367

