Received data from command line argument, length: 933
<<<<<<<<<<<<<<<<  ID: 1b064c5aac3c  <<<<<<<<<<<<<<<<
INFO [ParseReceivedData][1838] plan_cnt: 0
INFO [ParseReceivedData][1840] xybounds: xmin: -11  xmax: 5  ymin: -8  ymax: 9
INFO [ParseReceivedData][1841] radarnums: 0  sidenums:0
INFO [ParseReceivedData][1842] endpos_correct_flag: 0
INFO [ParseReceivedData][1875] oblslot[6]: -1.000, 1.200
INFO [ParseReceivedData][1875] oblslot[6]: -1.000, 0.200
INFO [ParseReceivedData][1875] oblslot[6]: 4.960, 0.200
INFO [ParseReceivedData][1875] oblslot[6]: 4.960, -2.774
INFO [ParseReceivedData][1875] oblslot[6]: 0.200, -2.774
INFO [ParseReceivedData][1875] oblslot[6]: 0.200, -3.274
INFO [ParseReceivedData][1990] slot_type: 3
INFO [ParseReceivedData][1991] target_dir: 0
INFO [ParseReceivedData][1992] start: 3.197 -1.286 3.142
INFO [ParseReceivedData][1993] end: -1.684 -5.767 2.007
INFO [HybridAStarPlan][2220] -------------------1-------------------
INFO [RSCurveQuickCalTraj][1197] RS cal time: 0.501ms
INFO [HybridAStarPlan][2231] 1_result: 0   (0)
INFO [GenerateDpMap][194] map explored node: 4685
INFO [Plan][681] map time: 111ms
INFO [Plan][746] explored_node_num:93
INFO [Plan][747] heuristic time is 1.568ms.
INFO [Plan][748] reed shepp time is 1.926ms.
INFO [Plan][749] total time: 120ms
INFO [HybridAStarPlan][2243] 2_result: 1   (47)
INFO [HybridAStarPlan][2298] path send success 48
INFO [HybridAStarPlan][2315] traj: [0]	 x:3.197	 y:-1.286	 phi:180.001
INFO [HybridAStarPlan][2315] traj: [1]	 x:2.897	 y:-1.286	 phi:176.281
INFO [HybridAStarPlan][2315] traj: [2]	 x:2.598	 y:-1.267	 phi:175.609
INFO [HybridAStarPlan][2315] traj: [3]	 x:2.299	 y:-1.244	 phi:-178.542
INFO [HybridAStarPlan][2315] traj: [4]	 x:1.999	 y:-1.251	 phi:177.739
INFO [HybridAStarPlan][2315] traj: [5]	 x:1.699	 y:-1.239	 phi:174.020
INFO [HybridAStarPlan][2315] traj: [6]	 x:1.400	 y:-1.218	 phi:177.998
INFO [HybridAStarPlan][2315] traj: [7]	 x:1.100	 y:-1.218	 phi:-178.025
INFO [HybridAStarPlan][2315] traj: [8]	 x:0.800	 y:-1.236	 phi:-176.216
INFO [HybridAStarPlan][2315] traj: [9]	 x:0.501	 y:-1.256	 phi:-176.216
INFO [HybridAStarPlan][2315] traj: [10]	 x:0.202	 y:-1.276	 phi:-176.216
INFO [HybridAStarPlan][2315] traj: [11]	 x:-0.098	 y:-1.295	 phi:-176.216
INFO [HybridAStarPlan][2315] traj: [12]	 x:-0.397	 y:-1.315	 phi:-176.216
INFO [HybridAStarPlan][2315] traj: [13]	 x:-0.697	 y:-1.335	 phi:-176.216
INFO [HybridAStarPlan][2315] traj: [14]	 x:-0.996	 y:-1.355	 phi:-176.216
INFO [HybridAStarPlan][2315] traj: [15]	 x:-1.295	 y:-1.375	 phi:-176.216
INFO [HybridAStarPlan][2315] traj: [16]	 x:-1.595	 y:-1.394	 phi:-176.216
INFO [HybridAStarPlan][2315] traj: [17]	 x:-1.894	 y:-1.414	 phi:-176.216
INFO [HybridAStarPlan][2315] traj: [18]	 x:-2.194	 y:-1.427	 phi:-179.525
INFO [HybridAStarPlan][2315] traj: [19]	 x:-2.493	 y:-1.419	 phi:176.498
INFO [HybridAStarPlan][2315] traj: [20]	 x:-2.792	 y:-1.390	 phi:172.520
INFO [HybridAStarPlan][2315] traj: [21]	 x:-3.088	 y:-1.341	 phi:168.543
INFO [HybridAStarPlan][2315] traj: [22]	 x:-3.380	 y:-1.271	 phi:164.565
INFO [HybridAStarPlan][2315] traj: [23]	 x:-3.666	 y:-1.181	 phi:160.588
INFO [HybridAStarPlan][2315] traj: [24]	 x:-3.945	 y:-1.072	 phi:156.611
INFO [HybridAStarPlan][2315] traj: [25]	 x:-4.216	 y:-0.943	 phi:152.633
INFO [HybridAStarPlan][2315] traj: [26]	 x:-4.379	 y:-0.854	 phi:150.167
INFO [HybridAStarPlan][2315] traj: [27]	 x:-4.124	 y:-1.012	 phi:146.448
INFO [HybridAStarPlan][2315] traj: [28]	 x:-3.880	 y:-1.186	 phi:142.470
INFO [HybridAStarPlan][2315] traj: [29]	 x:-3.649	 y:-1.377	 phi:138.493
INFO [HybridAStarPlan][2315] traj: [30]	 x:-3.431	 y:-1.584	 phi:134.515
INFO [HybridAStarPlan][2315] traj: [31]	 x:-3.228	 y:-1.805	 phi:130.538
INFO [HybridAStarPlan][2315] traj: [32]	 x:-3.041	 y:-2.039	 phi:126.561
INFO [HybridAStarPlan][2315] traj: [33]	 x:-2.871	 y:-2.286	 phi:122.583
INFO [HybridAStarPlan][2315] traj: [34]	 x:-2.719	 y:-2.544	 phi:118.606
INFO [HybridAStarPlan][2315] traj: [35]	 x:-2.584	 y:-2.812	 phi:114.629
INFO [HybridAStarPlan][2315] traj: [36]	 x:-2.469	 y:-3.089	 phi:110.651
INFO [HybridAStarPlan][2315] traj: [37]	 x:-2.373	 y:-3.373	 phi:106.674
INFO [HybridAStarPlan][2315] traj: [38]	 x:-2.295	 y:-3.663	 phi:104.205
INFO [HybridAStarPlan][2315] traj: [39]	 x:-2.222	 y:-3.954	 phi:104.205
INFO [HybridAStarPlan][2315] traj: [40]	 x:-2.148	 y:-4.245	 phi:104.205
INFO [HybridAStarPlan][2315] traj: [41]	 x:-2.074	 y:-4.536	 phi:104.205
INFO [HybridAStarPlan][2315] traj: [42]	 x:-2.001	 y:-4.827	 phi:104.205
INFO [HybridAStarPlan][2315] traj: [43]	 x:-1.926	 y:-5.117	 phi:105.778
INFO [HybridAStarPlan][2315] traj: [44]	 x:-1.834	 y:-5.403	 phi:109.755
INFO [HybridAStarPlan][2315] traj: [45]	 x:-1.723	 y:-5.681	 phi:113.733
INFO [HybridAStarPlan][2315] traj: [46]	 x:-1.684	 y:-5.767	 phi:114.981

