Received data from command line argument, length: 733
<<<<<<<<<<<<<<<<  ID: 4ac02acad007  <<<<<<<<<<<<<<<<
INFO [ParseReceivedData][1838] plan_cnt: 0
INFO [ParseReceivedData][1840] xybounds: xmin: -6  xmax: 3  ymin: -8  ymax: 8
INFO [ParseReceivedData][1841] radarnums: 0  sidenums:0
INFO [ParseReceivedData][1842] endpos_correct_flag: 0
INFO [ParseReceivedData][1875] oblslot[6]: -0.100, 2.400
INFO [ParseReceivedData][1875] oblslot[6]: -0.100, 0.400
INFO [ParseReceivedData][1875] oblslot[6]: 2.730, 0.400
INFO [ParseReceivedData][1875] oblslot[6]: 2.730, -7.114
INFO [ParseReceivedData][1875] oblslot[6]: 0.200, -7.114
INFO [ParseReceivedData][1875] oblslot[6]: 0.200, -9.114
INFO [ParseReceivedData][1990] slot_type: 0
INFO [ParseReceivedData][1991] target_dir: 0
INFO [ParseReceivedData][1992] start: 1.264 -4.783 1.571
INFO [ParseReceivedData][1993] end: -1.366 -5.430 1.623
INFO [HybridAStarPlan][2220] -------------------1-------------------
INFO [RSCurveQuickCalTraj][1197] RS cal time: 0.014ms
INFO [HybridAStarPlan][2231] 1_result: 0   (0)
INFO [GenerateDpMap][194] map explored node: 2045
INFO [Plan][681] map time: 47ms
INFO [Plan][746] explored_node_num:115
INFO [Plan][747] heuristic time is 2.074ms.
INFO [Plan][748] reed shepp time is 2.959ms.
INFO [Plan][749] total time: 60ms
INFO [HybridAStarPlan][2243] 2_result: 1   (49)
INFO [HybridAStarPlan][2298] path send success 50
INFO [HybridAStarPlan][2315] traj: [0]	 x:1.264	 y:-4.783	 phi:90.000
INFO [HybridAStarPlan][2315] traj: [1]	 x:1.264	 y:-4.483	 phi:95.850
INFO [HybridAStarPlan][2315] traj: [2]	 x:1.233	 y:-4.185	 phi:101.700
INFO [HybridAStarPlan][2315] traj: [3]	 x:1.173	 y:-3.891	 phi:107.550
INFO [HybridAStarPlan][2315] traj: [4]	 x:1.082	 y:-3.605	 phi:113.400
INFO [HybridAStarPlan][2315] traj: [5]	 x:0.963	 y:-3.329	 phi:119.250
INFO [HybridAStarPlan][2315] traj: [6]	 x:0.816	 y:-3.068	 phi:125.100
INFO [HybridAStarPlan][2315] traj: [7]	 x:0.644	 y:-2.822	 phi:124.427
INFO [HybridAStarPlan][2315] traj: [8]	 x:0.466	 y:-2.581	 phi:127.768
INFO [HybridAStarPlan][2315] traj: [9]	 x:0.282	 y:-2.344	 phi:127.768
INFO [HybridAStarPlan][2315] traj: [10]	 x:0.099	 y:-2.106	 phi:127.768
INFO [HybridAStarPlan][2315] traj: [11]	 x:-0.085	 y:-1.869	 phi:127.768
INFO [HybridAStarPlan][2315] traj: [12]	 x:-0.269	 y:-1.632	 phi:127.768
INFO [HybridAStarPlan][2315] traj: [13]	 x:-0.453	 y:-1.395	 phi:127.768
INFO [HybridAStarPlan][2315] traj: [14]	 x:-0.636	 y:-1.158	 phi:127.768
INFO [HybridAStarPlan][2315] traj: [15]	 x:-0.820	 y:-0.921	 phi:127.768
INFO [HybridAStarPlan][2315] traj: [16]	 x:-0.996	 y:-0.678	 phi:124.013
INFO [HybridAStarPlan][2315] traj: [17]	 x:-1.155	 y:-0.424	 phi:120.036
INFO [HybridAStarPlan][2315] traj: [18]	 x:-1.296	 y:-0.159	 phi:116.059
INFO [HybridAStarPlan][2315] traj: [19]	 x:-1.419	 y:0.115	 phi:112.081
INFO [HybridAStarPlan][2315] traj: [20]	 x:-1.522	 y:0.397	 phi:108.104
INFO [HybridAStarPlan][2315] traj: [21]	 x:-1.605	 y:0.685	 phi:104.126
INFO [HybridAStarPlan][2315] traj: [22]	 x:-1.668	 y:0.978	 phi:100.149
INFO [HybridAStarPlan][2315] traj: [23]	 x:-1.711	 y:1.275	 phi:96.172
INFO [HybridAStarPlan][2315] traj: [24]	 x:-1.730	 y:1.513	 phi:93.003
INFO [HybridAStarPlan][2315] traj: [25]	 x:-1.714	 y:1.214	 phi:93.003
INFO [HybridAStarPlan][2315] traj: [26]	 x:-1.698	 y:0.914	 phi:93.003
INFO [HybridAStarPlan][2315] traj: [27]	 x:-1.683	 y:0.614	 phi:93.003
INFO [HybridAStarPlan][2315] traj: [28]	 x:-1.667	 y:0.315	 phi:93.003
INFO [HybridAStarPlan][2315] traj: [29]	 x:-1.651	 y:0.015	 phi:93.003
INFO [HybridAStarPlan][2315] traj: [30]	 x:-1.636	 y:-0.284	 phi:93.003
INFO [HybridAStarPlan][2315] traj: [31]	 x:-1.620	 y:-0.584	 phi:93.003
INFO [HybridAStarPlan][2315] traj: [32]	 x:-1.604	 y:-0.884	 phi:93.003
INFO [HybridAStarPlan][2315] traj: [33]	 x:-1.588	 y:-1.183	 phi:93.003
INFO [HybridAStarPlan][2315] traj: [34]	 x:-1.573	 y:-1.483	 phi:93.003
INFO [HybridAStarPlan][2315] traj: [35]	 x:-1.557	 y:-1.782	 phi:93.003
INFO [HybridAStarPlan][2315] traj: [36]	 x:-1.541	 y:-2.082	 phi:93.003
INFO [HybridAStarPlan][2315] traj: [37]	 x:-1.526	 y:-2.382	 phi:93.003
INFO [HybridAStarPlan][2315] traj: [38]	 x:-1.510	 y:-2.681	 phi:93.003
INFO [HybridAStarPlan][2315] traj: [39]	 x:-1.494	 y:-2.981	 phi:93.003
INFO [HybridAStarPlan][2315] traj: [40]	 x:-1.478	 y:-3.280	 phi:93.003
INFO [HybridAStarPlan][2315] traj: [41]	 x:-1.463	 y:-3.580	 phi:93.003
INFO [HybridAStarPlan][2315] traj: [42]	 x:-1.447	 y:-3.879	 phi:93.003
INFO [HybridAStarPlan][2315] traj: [43]	 x:-1.431	 y:-4.179	 phi:93.003
INFO [HybridAStarPlan][2315] traj: [44]	 x:-1.416	 y:-4.479	 phi:93.003
INFO [HybridAStarPlan][2315] traj: [45]	 x:-1.400	 y:-4.778	 phi:93.003
INFO [HybridAStarPlan][2315] traj: [46]	 x:-1.384	 y:-5.078	 phi:93.003
INFO [HybridAStarPlan][2315] traj: [47]	 x:-1.368	 y:-5.377	 phi:93.003
INFO [HybridAStarPlan][2315] traj: [48]	 x:-1.366	 y:-5.430	 phi:93.003

