Received data from command line argument, length: 613
<<<<<<<<<<<<<<<<  ID: f2c2137823df  <<<<<<<<<<<<<<<<
INFO [ParseReceivedData][1838] plan_cnt: 0
INFO [ParseReceivedData][1840] xybounds: xmin: -9  xmax: 5  ymin: -5  ymax: 9
INFO [ParseReceivedData][1841] radarnums: 0  sidenums:0
INFO [ParseReceivedData][1842] endpos_correct_flag: 0
INFO [ParseReceivedData][1875] oblslot[6]: 0.200, 3.300
INFO [ParseReceivedData][1875] oblslot[6]: 0.200, 2.300
INFO [ParseReceivedData][1875] oblslot[6]: 5.057, 2.300
INFO [ParseReceivedData][1875] oblslot[6]: 5.057, -2.454
INFO [ParseReceivedData][1875] oblslot[6]: 0.206, -2.454
INFO [ParseReceivedData][1875] oblslot[6]: 0.200, -2.954
INFO [ParseReceivedData][1990] slot_type: 2
INFO [ParseReceivedData][1991] target_dir: 0
INFO [ParseReceivedData][1992] start: 3.197 -1.026 3.142
INFO [ParseReceivedData][1993] end: -1.672 -2.256 1.646
INFO [HybridAStarPlan][2220] -------------------1-------------------
INFO [RSCurveQuickCalTraj][1197] RS cal time: 0.502ms
INFO [HybridAStarPlan][2231] 1_result: 1   (34)
INFO [HybridAStarPlan][2298] path send success 35
INFO [HybridAStarPlan][2315] traj: [0]	 x:3.197	 y:-1.026	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [1]	 x:2.897	 y:-1.026	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [2]	 x:2.597	 y:-1.026	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [3]	 x:2.297	 y:-1.026	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [4]	 x:1.997	 y:-1.026	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [5]	 x:1.697	 y:-1.026	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [6]	 x:1.397	 y:-1.026	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [7]	 x:1.097	 y:-1.026	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [8]	 x:0.797	 y:-1.026	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [9]	 x:0.497	 y:-1.025	 phi:179.005
INFO [HybridAStarPlan][2315] traj: [10]	 x:0.197	 y:-1.010	 phi:175.286
INFO [HybridAStarPlan][2315] traj: [11]	 x:-0.101	 y:-0.976	 phi:171.566
INFO [HybridAStarPlan][2315] traj: [12]	 x:-0.396	 y:-0.922	 phi:167.847
INFO [HybridAStarPlan][2315] traj: [13]	 x:-0.687	 y:-0.850	 phi:164.128
INFO [HybridAStarPlan][2315] traj: [14]	 x:-0.972	 y:-0.758	 phi:160.409
INFO [HybridAStarPlan][2315] traj: [15]	 x:-1.252	 y:-0.649	 phi:156.689
INFO [HybridAStarPlan][2315] traj: [16]	 x:-1.523	 y:-0.521	 phi:152.970
INFO [HybridAStarPlan][2315] traj: [17]	 x:-1.786	 y:-0.376	 phi:149.251
INFO [HybridAStarPlan][2315] traj: [18]	 x:-2.038	 y:-0.215	 phi:145.532
INFO [HybridAStarPlan][2315] traj: [19]	 x:-2.280	 y:-0.037	 phi:141.813
INFO [HybridAStarPlan][2315] traj: [20]	 x:-2.510	 y:0.156	 phi:138.093
INFO [HybridAStarPlan][2315] traj: [21]	 x:-2.726	 y:0.364	 phi:134.374
INFO [HybridAStarPlan][2315] traj: [22]	 x:-2.931	 y:0.583	 phi:133.551
INFO [HybridAStarPlan][2315] traj: [23]	 x:-2.732	 y:0.359	 phi:129.832
INFO [HybridAStarPlan][2315] traj: [24]	 x:-2.547	 y:0.122	 phi:126.112
INFO [HybridAStarPlan][2315] traj: [25]	 x:-2.378	 y:-0.126	 phi:122.393
INFO [HybridAStarPlan][2315] traj: [26]	 x:-2.226	 y:-0.384	 phi:118.674
INFO [HybridAStarPlan][2315] traj: [27]	 x:-2.091	 y:-0.652	 phi:114.955
INFO [HybridAStarPlan][2315] traj: [28]	 x:-1.973	 y:-0.928	 phi:111.236
INFO [HybridAStarPlan][2315] traj: [29]	 x:-1.873	 y:-1.211	 phi:107.516
INFO [HybridAStarPlan][2315] traj: [30]	 x:-1.792	 y:-1.499	 phi:103.797
INFO [HybridAStarPlan][2315] traj: [31]	 x:-1.730	 y:-1.793	 phi:100.078
INFO [HybridAStarPlan][2315] traj: [32]	 x:-1.687	 y:-2.090	 phi:96.359
INFO [HybridAStarPlan][2315] traj: [33]	 x:-1.672	 y:-2.256	 phi:94.292

