Received data from command line argument, length: 786
<<<<<<<<<<<<<<<<  ID: 2da8fe6edc9d  <<<<<<<<<<<<<<<<
INFO [ParseReceivedData][1838] plan_cnt: 5
INFO [ParseReceivedData][1840] xybounds: xmin: -9  xmax: 5  ymin: -5  ymax: 9
INFO [ParseReceivedData][1841] radarnums: 0  sidenums:0
INFO [ParseReceivedData][1842] endpos_correct_flag: 0
INFO [ParseReceivedData][1875] oblslot[6]: -0.351, 1.453
INFO [ParseReceivedData][1875] oblslot[6]: -0.351, 0.453
INFO [ParseReceivedData][1875] oblslot[6]: 4.960, 0.453
INFO [ParseReceivedData][1875] oblslot[6]: 4.960, -2.500
INFO [ParseReceivedData][1875] oblslot[6]: 0.533, -2.500
INFO [ParseReceivedData][1875] oblslot[6]: 0.533, -3.000
INFO [ParseReceivedData][1990] slot_type: 2
INFO [ParseReceivedData][1991] target_dir: 0
INFO [ParseReceivedData][1992] start: 3.697 -1.108 3.123
INFO [ParseReceivedData][1993] end: 1.994 -1.050 3.019
INFO [HybridAStarPlan][2220] -------------------1-------------------
INFO [RSCurveQuickCalTraj][1197] RS cal time: 1.257ms
INFO [HybridAStarPlan][2231] 1_result: 1   (52)
INFO [HybridAStarPlan][2298] path send success 53
INFO [HybridAStarPlan][2315] traj: [0]	 x:3.697	 y:-1.108	 phi:178.946
INFO [HybridAStarPlan][2315] traj: [1]	 x:3.397	 y:-1.103	 phi:178.946
INFO [HybridAStarPlan][2315] traj: [2]	 x:3.097	 y:-1.097	 phi:178.946
INFO [HybridAStarPlan][2315] traj: [3]	 x:2.797	 y:-1.092	 phi:178.946
INFO [HybridAStarPlan][2315] traj: [4]	 x:2.497	 y:-1.086	 phi:178.946
INFO [HybridAStarPlan][2315] traj: [5]	 x:2.197	 y:-1.081	 phi:178.946
INFO [HybridAStarPlan][2315] traj: [6]	 x:1.898	 y:-1.075	 phi:178.946
INFO [HybridAStarPlan][2315] traj: [7]	 x:1.598	 y:-1.070	 phi:178.946
INFO [HybridAStarPlan][2315] traj: [8]	 x:1.298	 y:-1.064	 phi:178.946
INFO [HybridAStarPlan][2315] traj: [9]	 x:0.998	 y:-1.059	 phi:178.946
INFO [HybridAStarPlan][2315] traj: [10]	 x:0.698	 y:-1.053	 phi:178.946
INFO [HybridAStarPlan][2315] traj: [11]	 x:0.398	 y:-1.048	 phi:178.946
INFO [HybridAStarPlan][2315] traj: [12]	 x:0.098	 y:-1.042	 phi:178.946
INFO [HybridAStarPlan][2315] traj: [13]	 x:-0.202	 y:-1.037	 phi:178.946
INFO [HybridAStarPlan][2315] traj: [14]	 x:-0.502	 y:-1.031	 phi:178.946
INFO [HybridAStarPlan][2315] traj: [15]	 x:-0.802	 y:-1.026	 phi:178.946
INFO [HybridAStarPlan][2315] traj: [16]	 x:-1.102	 y:-1.020	 phi:178.946
INFO [HybridAStarPlan][2315] traj: [17]	 x:-1.402	 y:-1.015	 phi:178.946
INFO [HybridAStarPlan][2315] traj: [18]	 x:-1.702	 y:-1.009	 phi:178.946
INFO [HybridAStarPlan][2315] traj: [19]	 x:-2.002	 y:-1.004	 phi:178.946
INFO [HybridAStarPlan][2315] traj: [20]	 x:-2.302	 y:-0.998	 phi:178.946
INFO [HybridAStarPlan][2315] traj: [21]	 x:-2.602	 y:-0.993	 phi:178.946
INFO [HybridAStarPlan][2315] traj: [22]	 x:-2.902	 y:-0.987	 phi:178.946
INFO [HybridAStarPlan][2315] traj: [23]	 x:-3.202	 y:-0.981	 phi:178.946
INFO [HybridAStarPlan][2315] traj: [24]	 x:-3.502	 y:-0.976	 phi:178.946
INFO [HybridAStarPlan][2315] traj: [25]	 x:-3.802	 y:-0.970	 phi:178.946
INFO [HybridAStarPlan][2315] traj: [26]	 x:-4.101	 y:-0.965	 phi:178.946
INFO [HybridAStarPlan][2315] traj: [27]	 x:-4.401	 y:-0.959	 phi:178.946
INFO [HybridAStarPlan][2315] traj: [28]	 x:-4.701	 y:-0.953	 phi:178.546
INFO [HybridAStarPlan][2315] traj: [29]	 x:-4.401	 y:-0.959	 phi:179.244
INFO [HybridAStarPlan][2315] traj: [30]	 x:-4.101	 y:-0.961	 phi:179.959
INFO [HybridAStarPlan][2315] traj: [31]	 x:-3.801	 y:-0.960	 phi:-179.325
INFO [HybridAStarPlan][2315] traj: [32]	 x:-3.501	 y:-0.954	 phi:-178.610
INFO [HybridAStarPlan][2315] traj: [33]	 x:-3.202	 y:-0.945	 phi:-177.894
INFO [HybridAStarPlan][2315] traj: [34]	 x:-2.902	 y:-0.933	 phi:-177.536
INFO [HybridAStarPlan][2315] traj: [35]	 x:-2.602	 y:-0.920	 phi:-177.536
INFO [HybridAStarPlan][2315] traj: [36]	 x:-2.302	 y:-0.907	 phi:-177.536
INFO [HybridAStarPlan][2315] traj: [37]	 x:-2.003	 y:-0.894	 phi:-177.536
INFO [HybridAStarPlan][2315] traj: [38]	 x:-1.703	 y:-0.882	 phi:-178.178
INFO [HybridAStarPlan][2315] traj: [39]	 x:-1.403	 y:-0.875	 phi:-178.893
INFO [HybridAStarPlan][2315] traj: [40]	 x:-1.103	 y:-0.871	 phi:-179.609
INFO [HybridAStarPlan][2315] traj: [41]	 x:-0.803	 y:-0.871	 phi:179.676
INFO [HybridAStarPlan][2315] traj: [42]	 x:-0.503	 y:-0.874	 phi:178.960
INFO [HybridAStarPlan][2315] traj: [43]	 x:-0.203	 y:-0.882	 phi:178.245
INFO [HybridAStarPlan][2315] traj: [44]	 x:0.097	 y:-0.893	 phi:177.529
INFO [HybridAStarPlan][2315] traj: [45]	 x:0.396	 y:-0.907	 phi:176.814
INFO [HybridAStarPlan][2315] traj: [46]	 x:0.696	 y:-0.926	 phi:176.098
INFO [HybridAStarPlan][2315] traj: [47]	 x:0.995	 y:-0.948	 phi:175.383
INFO [HybridAStarPlan][2315] traj: [48]	 x:1.294	 y:-0.974	 phi:174.667
INFO [HybridAStarPlan][2315] traj: [49]	 x:1.592	 y:-1.004	 phi:173.951
INFO [HybridAStarPlan][2315] traj: [50]	 x:1.890	 y:-1.038	 phi:173.236
INFO [HybridAStarPlan][2315] traj: [51]	 x:1.994	 y:-1.050	 phi:172.988

