Received data from command line argument, length: 782
<<<<<<<<<<<<<<<<  ID: 145fcf32f2f1  <<<<<<<<<<<<<<<<
INFO [ParseReceivedData][1838] plan_cnt: 0
INFO [ParseReceivedData][1840] xybounds: xmin: -9  xmax: 5  ymin: -5  ymax: 9
INFO [ParseReceivedData][1841] radarnums: 0  sidenums:0
INFO [ParseReceivedData][1842] endpos_correct_flag: 0
INFO [ParseReceivedData][1875] oblslot[6]: 0.081, 1.906
INFO [ParseReceivedData][1875] oblslot[6]: 0.081, 0.906
INFO [ParseReceivedData][1875] oblslot[6]: 4.960, 0.906
INFO [ParseReceivedData][1875] oblslot[6]: 4.960, -2.636
INFO [ParseReceivedData][1875] oblslot[6]: 0.023, -2.636
INFO [ParseReceivedData][1875] oblslot[6]: 0.023, -3.136
INFO [ParseReceivedData][1990] slot_type: 2
INFO [ParseReceivedData][1991] target_dir: 0
INFO [ParseReceivedData][1992] start: 3.197 -1.064 3.142
INFO [ParseReceivedData][1993] end: -2.554 -2.221 1.598
INFO [HybridAStarPlan][2220] -------------------1-------------------
INFO [RSCurveQuickCalTraj][1197] RS cal time: 0.425ms
INFO [HybridAStarPlan][2231] 1_result: 1   (37)
INFO [HybridAStarPlan][2298] path send success 38
INFO [HybridAStarPlan][2315] traj: [0]	 x:3.197	 y:-1.064	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [1]	 x:2.897	 y:-1.064	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [2]	 x:2.597	 y:-1.064	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [3]	 x:2.297	 y:-1.064	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [4]	 x:1.997	 y:-1.064	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [5]	 x:1.697	 y:-1.064	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [6]	 x:1.397	 y:-1.064	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [7]	 x:1.097	 y:-1.064	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [8]	 x:0.797	 y:-1.064	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [9]	 x:0.497	 y:-1.064	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [10]	 x:0.197	 y:-1.064	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [11]	 x:-0.103	 y:-1.064	 phi:179.488
INFO [HybridAStarPlan][2315] traj: [12]	 x:-0.403	 y:-1.051	 phi:175.769
INFO [HybridAStarPlan][2315] traj: [13]	 x:-0.701	 y:-1.020	 phi:172.050
INFO [HybridAStarPlan][2315] traj: [14]	 x:-0.997	 y:-0.968	 phi:168.331
INFO [HybridAStarPlan][2315] traj: [15]	 x:-1.288	 y:-0.898	 phi:164.611
INFO [HybridAStarPlan][2315] traj: [16]	 x:-1.575	 y:-0.809	 phi:160.892
INFO [HybridAStarPlan][2315] traj: [17]	 x:-1.855	 y:-0.702	 phi:157.173
INFO [HybridAStarPlan][2315] traj: [18]	 x:-2.127	 y:-0.577	 phi:153.454
INFO [HybridAStarPlan][2315] traj: [19]	 x:-2.391	 y:-0.434	 phi:149.735
INFO [HybridAStarPlan][2315] traj: [20]	 x:-2.645	 y:-0.275	 phi:146.015
INFO [HybridAStarPlan][2315] traj: [21]	 x:-2.888	 y:-0.099	 phi:142.296
INFO [HybridAStarPlan][2315] traj: [22]	 x:-3.119	 y:0.092	 phi:138.577
INFO [HybridAStarPlan][2315] traj: [23]	 x:-3.338	 y:0.298	 phi:134.858
INFO [HybridAStarPlan][2315] traj: [24]	 x:-3.542	 y:0.517	 phi:131.139
INFO [HybridAStarPlan][2315] traj: [25]	 x:-3.738	 y:0.745	 phi:131.970
INFO [HybridAStarPlan][2315] traj: [26]	 x:-3.545	 y:0.515	 phi:128.250
INFO [HybridAStarPlan][2315] traj: [27]	 x:-3.367	 y:0.274	 phi:124.531
INFO [HybridAStarPlan][2315] traj: [28]	 x:-3.205	 y:0.021	 phi:120.812
INFO [HybridAStarPlan][2315] traj: [29]	 x:-3.060	 y:-0.241	 phi:117.093
INFO [HybridAStarPlan][2315] traj: [30]	 x:-2.932	 y:-0.512	 phi:113.374
INFO [HybridAStarPlan][2315] traj: [31]	 x:-2.822	 y:-0.792	 phi:109.654
INFO [HybridAStarPlan][2315] traj: [32]	 x:-2.730	 y:-1.077	 phi:105.935
INFO [HybridAStarPlan][2315] traj: [33]	 x:-2.657	 y:-1.368	 phi:102.216
INFO [HybridAStarPlan][2315] traj: [34]	 x:-2.603	 y:-1.663	 phi:98.497
INFO [HybridAStarPlan][2315] traj: [35]	 x:-2.568	 y:-1.961	 phi:94.777
INFO [HybridAStarPlan][2315] traj: [36]	 x:-2.554	 y:-2.221	 phi:91.547

