Received data from command line argument, length: 784
<<<<<<<<<<<<<<<<  ID: 54db697f6946  <<<<<<<<<<<<<<<<
INFO [ParseReceivedData][1825] new: xmin: -13
INFO [ParseReceivedData][1838] plan_cnt: 0
INFO [ParseReceivedData][1840] xybounds: xmin: -13  xmax: 5  ymin: -5  ymax: 9
INFO [ParseReceivedData][1841] radarnums: 0  sidenums:0
INFO [ParseReceivedData][1842] endpos_correct_flag: 0
INFO [ParseReceivedData][1875] oblslot[6]: -0.860, 1.649
INFO [ParseReceivedData][1875] oblslot[6]: -0.860, 0.649
INFO [ParseReceivedData][1875] oblslot[6]: 4.960, 0.649
INFO [ParseReceivedData][1875] oblslot[6]: 4.960, -2.596
INFO [ParseReceivedData][1875] oblslot[6]: 0.635, -2.596
INFO [ParseReceivedData][1875] oblslot[6]: 0.635, -3.096
INFO [ParseReceivedData][1990] slot_type: 2
INFO [ParseReceivedData][1991] target_dir: 0
INFO [ParseReceivedData][1992] start: 3.197 -1.132 3.142
INFO [ParseReceivedData][1993] end: -2.461 -2.639 1.875
INFO [HybridAStarPlan][2220] -------------------1-------------------
INFO [RSCurveQuickCalTraj][1197] RS cal time: 0.563ms
INFO [HybridAStarPlan][2231] 1_result: 1   (38)
INFO [HybridAStarPlan][2298] path send success 39
INFO [HybridAStarPlan][2315] traj: [0]	 x:3.197	 y:-1.132	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [1]	 x:2.897	 y:-1.132	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [2]	 x:2.597	 y:-1.132	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [3]	 x:2.297	 y:-1.132	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [4]	 x:1.997	 y:-1.132	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [5]	 x:1.697	 y:-1.132	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [6]	 x:1.397	 y:-1.132	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [7]	 x:1.097	 y:-1.132	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [8]	 x:0.797	 y:-1.132	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [9]	 x:0.497	 y:-1.132	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [10]	 x:0.197	 y:-1.132	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [11]	 x:-0.103	 y:-1.132	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [12]	 x:-0.403	 y:-1.132	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [13]	 x:-0.703	 y:-1.132	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [14]	 x:-1.003	 y:-1.132	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [15]	 x:-1.303	 y:-1.132	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [16]	 x:-1.603	 y:-1.131	 phi:178.541
INFO [HybridAStarPlan][2315] traj: [17]	 x:-1.902	 y:-1.113	 phi:174.822
INFO [HybridAStarPlan][2315] traj: [18]	 x:-2.200	 y:-1.076	 phi:171.103
INFO [HybridAStarPlan][2315] traj: [19]	 x:-2.495	 y:-1.020	 phi:167.384
INFO [HybridAStarPlan][2315] traj: [20]	 x:-2.785	 y:-0.945	 phi:163.664
INFO [HybridAStarPlan][2315] traj: [21]	 x:-3.070	 y:-0.852	 phi:159.945
INFO [HybridAStarPlan][2315] traj: [22]	 x:-3.348	 y:-0.740	 phi:156.226
INFO [HybridAStarPlan][2315] traj: [23]	 x:-3.619	 y:-0.610	 phi:152.507
INFO [HybridAStarPlan][2315] traj: [24]	 x:-3.880	 y:-0.463	 phi:148.788
INFO [HybridAStarPlan][2315] traj: [25]	 x:-4.132	 y:-0.299	 phi:145.068
INFO [HybridAStarPlan][2315] traj: [26]	 x:-4.379	 y:-0.130	 phi:147.375
INFO [HybridAStarPlan][2315] traj: [27]	 x:-4.132	 y:-0.300	 phi:143.655
INFO [HybridAStarPlan][2315] traj: [28]	 x:-3.896	 y:-0.485	 phi:139.936
INFO [HybridAStarPlan][2315] traj: [29]	 x:-3.673	 y:-0.686	 phi:136.217
INFO [HybridAStarPlan][2315] traj: [30]	 x:-3.463	 y:-0.900	 phi:132.498
INFO [HybridAStarPlan][2315] traj: [31]	 x:-3.268	 y:-1.128	 phi:128.779
INFO [HybridAStarPlan][2315] traj: [32]	 x:-3.088	 y:-1.368	 phi:125.059
INFO [HybridAStarPlan][2315] traj: [33]	 x:-2.924	 y:-1.619	 phi:121.340
INFO [HybridAStarPlan][2315] traj: [34]	 x:-2.776	 y:-1.880	 phi:117.621
INFO [HybridAStarPlan][2315] traj: [35]	 x:-2.646	 y:-2.150	 phi:113.902
INFO [HybridAStarPlan][2315] traj: [36]	 x:-2.533	 y:-2.428	 phi:110.183
INFO [HybridAStarPlan][2315] traj: [37]	 x:-2.461	 y:-2.639	 phi:107.412

