Received data from command line argument, length: 709
<<<<<<<<<<<<<<<<  ID: 7b35baa8e31f  <<<<<<<<<<<<<<<<
INFO [ParseReceivedData][1838] plan_cnt: 0
INFO [ParseReceivedData][1840] xybounds: xmin: -9  xmax: 5  ymin: -7  ymax: 9
INFO [ParseReceivedData][1841] radarnums: 0  sidenums:0
INFO [ParseReceivedData][1842] endpos_correct_flag: 0
INFO [ParseReceivedData][1875] oblslot[6]: 0.200, 3.300
INFO [ParseReceivedData][1875] oblslot[6]: 0.200, 2.300
INFO [ParseReceivedData][1875] oblslot[6]: 5.086, 2.300
INFO [ParseReceivedData][1875] oblslot[6]: 5.086, -4.651
INFO [ParseReceivedData][1875] oblslot[6]: 0.200, -4.651
INFO [ParseReceivedData][1875] oblslot[6]: 0.200, -5.151
INFO [ParseReceivedData][1990] slot_type: 2
INFO [ParseReceivedData][1991] target_dir: 0
INFO [ParseReceivedData][1992] start: 3.197 -1.074 3.142
INFO [ParseReceivedData][1993] end: -2.921 -4.584 1.590
INFO [HybridAStarPlan][2220] -------------------1-------------------
INFO [RSCurveQuickCalTraj][1197] RS cal time: 0.650ms
INFO [HybridAStarPlan][2231] 1_result: 1   (43)
INFO [HybridAStarPlan][2298] path send success 44
INFO [HybridAStarPlan][2315] traj: [0]	 x:3.197	 y:-1.074	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [1]	 x:2.897	 y:-1.084	 phi:-176.022
INFO [HybridAStarPlan][2315] traj: [2]	 x:2.599	 y:-1.116	 phi:-172.045
INFO [HybridAStarPlan][2315] traj: [3]	 x:2.303	 y:-1.167	 phi:-168.068
INFO [HybridAStarPlan][2315] traj: [4]	 x:2.011	 y:-1.232	 phi:-167.454
INFO [HybridAStarPlan][2315] traj: [5]	 x:1.718	 y:-1.297	 phi:-167.454
INFO [HybridAStarPlan][2315] traj: [6]	 x:1.425	 y:-1.363	 phi:-167.454
INFO [HybridAStarPlan][2315] traj: [7]	 x:1.132	 y:-1.428	 phi:-167.454
INFO [HybridAStarPlan][2315] traj: [8]	 x:0.839	 y:-1.493	 phi:-167.454
INFO [HybridAStarPlan][2315] traj: [9]	 x:0.546	 y:-1.558	 phi:-167.454
INFO [HybridAStarPlan][2315] traj: [10]	 x:0.254	 y:-1.623	 phi:-167.454
INFO [HybridAStarPlan][2315] traj: [11]	 x:-0.039	 y:-1.688	 phi:-167.454
INFO [HybridAStarPlan][2315] traj: [12]	 x:-0.332	 y:-1.754	 phi:-167.454
INFO [HybridAStarPlan][2315] traj: [13]	 x:-0.625	 y:-1.819	 phi:-167.454
INFO [HybridAStarPlan][2315] traj: [14]	 x:-0.918	 y:-1.884	 phi:-167.454
INFO [HybridAStarPlan][2315] traj: [15]	 x:-1.212	 y:-1.945	 phi:-170.089
INFO [HybridAStarPlan][2315] traj: [16]	 x:-1.509	 y:-1.986	 phi:-174.067
INFO [HybridAStarPlan][2315] traj: [17]	 x:-1.808	 y:-2.007	 phi:-178.044
INFO [HybridAStarPlan][2315] traj: [18]	 x:-2.108	 y:-2.006	 phi:177.979
INFO [HybridAStarPlan][2315] traj: [19]	 x:-2.407	 y:-1.985	 phi:174.001
INFO [HybridAStarPlan][2315] traj: [20]	 x:-2.704	 y:-1.944	 phi:170.024
INFO [HybridAStarPlan][2315] traj: [21]	 x:-2.997	 y:-1.882	 phi:166.047
INFO [HybridAStarPlan][2315] traj: [22]	 x:-3.286	 y:-1.799	 phi:162.069
INFO [HybridAStarPlan][2315] traj: [23]	 x:-3.568	 y:-1.697	 phi:158.092
INFO [HybridAStarPlan][2315] traj: [24]	 x:-3.842	 y:-1.576	 phi:154.115
INFO [HybridAStarPlan][2315] traj: [25]	 x:-4.107	 y:-1.435	 phi:150.137
INFO [HybridAStarPlan][2315] traj: [26]	 x:-4.362	 y:-1.277	 phi:146.160
INFO [HybridAStarPlan][2315] traj: [27]	 x:-4.605	 y:-1.101	 phi:142.182
INFO [HybridAStarPlan][2315] traj: [28]	 x:-4.655	 y:-1.062	 phi:141.347
INFO [HybridAStarPlan][2315] traj: [29]	 x:-4.427	 y:-1.257	 phi:137.628
INFO [HybridAStarPlan][2315] traj: [30]	 x:-4.212	 y:-1.467	 phi:133.909
INFO [HybridAStarPlan][2315] traj: [31]	 x:-4.011	 y:-1.689	 phi:130.190
INFO [HybridAStarPlan][2315] traj: [32]	 x:-3.825	 y:-1.925	 phi:126.471
INFO [HybridAStarPlan][2315] traj: [33]	 x:-3.654	 y:-2.171	 phi:122.751
INFO [HybridAStarPlan][2315] traj: [34]	 x:-3.500	 y:-2.429	 phi:119.032
INFO [HybridAStarPlan][2315] traj: [35]	 x:-3.363	 y:-2.696	 phi:115.313
INFO [HybridAStarPlan][2315] traj: [36]	 x:-3.244	 y:-2.971	 phi:111.594
INFO [HybridAStarPlan][2315] traj: [37]	 x:-3.143	 y:-3.253	 phi:107.874
INFO [HybridAStarPlan][2315] traj: [38]	 x:-3.060	 y:-3.542	 phi:104.155
INFO [HybridAStarPlan][2315] traj: [39]	 x:-2.996	 y:-3.835	 phi:100.436
INFO [HybridAStarPlan][2315] traj: [40]	 x:-2.951	 y:-4.131	 phi:96.717
INFO [HybridAStarPlan][2315] traj: [41]	 x:-2.926	 y:-4.430	 phi:92.998
INFO [HybridAStarPlan][2315] traj: [42]	 x:-2.921	 y:-4.584	 phi:91.089

