Received data from command line argument, length: 770
<<<<<<<<<<<<<<<<  ID: 40c4100d6c4f  <<<<<<<<<<<<<<<<
INFO [ParseReceivedData][1825] new: xmin: -13
INFO [ParseReceivedData][1838] plan_cnt: 0
INFO [ParseReceivedData][1840] xybounds: xmin: -13  xmax: 5  ymin: -9  ymax: 9
INFO [ParseReceivedData][1841] radarnums: 0  sidenums:0
INFO [ParseReceivedData][1842] endpos_correct_flag: 0
INFO [ParseReceivedData][1875] oblslot[6]: -1.000, 1.200
INFO [ParseReceivedData][1875] oblslot[6]: -1.000, 0.200
INFO [ParseReceivedData][1875] oblslot[6]: 4.960, 0.200
INFO [ParseReceivedData][1875] oblslot[6]: 4.960, -3.543
INFO [ParseReceivedData][1875] oblslot[6]: 1.500, -3.543
INFO [ParseReceivedData][1875] oblslot[6]: 1.500, -4.043
INFO [ParseReceivedData][1990] slot_type: 2
INFO [ParseReceivedData][1991] target_dir: 0
INFO [ParseReceivedData][1992] start: 3.197 -1.270 3.142
INFO [ParseReceivedData][1993] end: -0.972 -6.274 2.082
INFO [HybridAStarPlan][2220] -------------------1-------------------
INFO [RSCurveQuickCalTraj][1197] RS cal time: 0.519ms
INFO [HybridAStarPlan][2231] 1_result: 1   (61)
INFO [HybridAStarPlan][2298] path send success 62
INFO [HybridAStarPlan][2315] traj: [0]	 x:3.197	 y:-1.270	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [1]	 x:2.897	 y:-1.270	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [2]	 x:2.597	 y:-1.270	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [3]	 x:2.297	 y:-1.270	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [4]	 x:1.997	 y:-1.270	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [5]	 x:1.697	 y:-1.270	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [6]	 x:1.397	 y:-1.270	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [7]	 x:1.097	 y:-1.270	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [8]	 x:0.797	 y:-1.270	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [9]	 x:0.497	 y:-1.270	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [10]	 x:0.197	 y:-1.270	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [11]	 x:-0.103	 y:-1.270	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [12]	 x:-0.403	 y:-1.270	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [13]	 x:-0.703	 y:-1.270	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [14]	 x:-1.003	 y:-1.270	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [15]	 x:-1.303	 y:-1.264	 phi:177.127
INFO [HybridAStarPlan][2315] traj: [16]	 x:-1.602	 y:-1.239	 phi:173.408
INFO [HybridAStarPlan][2315] traj: [17]	 x:-1.899	 y:-1.195	 phi:169.688
INFO [HybridAStarPlan][2315] traj: [18]	 x:-2.192	 y:-1.132	 phi:165.969
INFO [HybridAStarPlan][2315] traj: [19]	 x:-2.480	 y:-1.050	 phi:162.250
INFO [HybridAStarPlan][2315] traj: [20]	 x:-2.763	 y:-0.949	 phi:158.531
INFO [HybridAStarPlan][2315] traj: [21]	 x:-3.038	 y:-0.831	 phi:154.812
INFO [HybridAStarPlan][2315] traj: [22]	 x:-3.305	 y:-0.694	 phi:151.092
INFO [HybridAStarPlan][2315] traj: [23]	 x:-3.563	 y:-0.541	 phi:147.373
INFO [HybridAStarPlan][2315] traj: [24]	 x:-3.810	 y:-0.371	 phi:143.654
INFO [HybridAStarPlan][2315] traj: [25]	 x:-4.046	 y:-0.185	 phi:139.935
INFO [HybridAStarPlan][2315] traj: [26]	 x:-4.269	 y:0.015	 phi:136.216
INFO [HybridAStarPlan][2315] traj: [27]	 x:-4.479	 y:0.229	 phi:132.496
INFO [HybridAStarPlan][2315] traj: [28]	 x:-4.674	 y:0.457	 phi:128.777
INFO [HybridAStarPlan][2315] traj: [29]	 x:-4.854	 y:0.697	 phi:125.058
INFO [HybridAStarPlan][2315] traj: [30]	 x:-5.019	 y:0.948	 phi:121.339
INFO [HybridAStarPlan][2315] traj: [31]	 x:-5.168	 y:1.208	 phi:119.284
INFO [HybridAStarPlan][2315] traj: [32]	 x:-5.021	 y:0.946	 phi:119.284
INFO [HybridAStarPlan][2315] traj: [33]	 x:-4.874	 y:0.685	 phi:119.284
INFO [HybridAStarPlan][2315] traj: [34]	 x:-4.728	 y:0.423	 phi:119.284
INFO [HybridAStarPlan][2315] traj: [35]	 x:-4.581	 y:0.161	 phi:119.284
INFO [HybridAStarPlan][2315] traj: [36]	 x:-4.434	 y:-0.100	 phi:119.284
INFO [HybridAStarPlan][2315] traj: [37]	 x:-4.287	 y:-0.362	 phi:119.284
INFO [HybridAStarPlan][2315] traj: [38]	 x:-4.141	 y:-0.624	 phi:119.284
INFO [HybridAStarPlan][2315] traj: [39]	 x:-3.994	 y:-0.885	 phi:119.284
INFO [HybridAStarPlan][2315] traj: [40]	 x:-3.847	 y:-1.147	 phi:119.284
INFO [HybridAStarPlan][2315] traj: [41]	 x:-3.700	 y:-1.409	 phi:119.284
INFO [HybridAStarPlan][2315] traj: [42]	 x:-3.554	 y:-1.670	 phi:119.284
INFO [HybridAStarPlan][2315] traj: [43]	 x:-3.407	 y:-1.932	 phi:119.284
INFO [HybridAStarPlan][2315] traj: [44]	 x:-3.260	 y:-2.194	 phi:119.284
INFO [HybridAStarPlan][2315] traj: [45]	 x:-3.114	 y:-2.455	 phi:119.284
INFO [HybridAStarPlan][2315] traj: [46]	 x:-2.967	 y:-2.717	 phi:119.284
INFO [HybridAStarPlan][2315] traj: [47]	 x:-2.820	 y:-2.979	 phi:119.284
INFO [HybridAStarPlan][2315] traj: [48]	 x:-2.673	 y:-3.240	 phi:119.284
INFO [HybridAStarPlan][2315] traj: [49]	 x:-2.527	 y:-3.502	 phi:119.284
INFO [HybridAStarPlan][2315] traj: [50]	 x:-2.380	 y:-3.763	 phi:119.284
INFO [HybridAStarPlan][2315] traj: [51]	 x:-2.233	 y:-4.025	 phi:119.284
INFO [HybridAStarPlan][2315] traj: [52]	 x:-2.086	 y:-4.287	 phi:119.284
INFO [HybridAStarPlan][2315] traj: [53]	 x:-1.940	 y:-4.548	 phi:119.284
INFO [HybridAStarPlan][2315] traj: [54]	 x:-1.793	 y:-4.810	 phi:119.284
INFO [HybridAStarPlan][2315] traj: [55]	 x:-1.646	 y:-5.072	 phi:119.284
INFO [HybridAStarPlan][2315] traj: [56]	 x:-1.499	 y:-5.333	 phi:119.284
INFO [HybridAStarPlan][2315] traj: [57]	 x:-1.353	 y:-5.595	 phi:119.284
INFO [HybridAStarPlan][2315] traj: [58]	 x:-1.206	 y:-5.857	 phi:119.284
INFO [HybridAStarPlan][2315] traj: [59]	 x:-1.059	 y:-6.118	 phi:119.284
INFO [HybridAStarPlan][2315] traj: [60]	 x:-0.972	 y:-6.274	 phi:119.284

